Package,Version,Built
AnnotationDbi,1.74.0,R 4.6.0; ; 2026-05-29 06:40:05 UTC; windows
BH,1.90.0-1,R 4.6.0; ; 2026-04-21 00:41:53 UTC; windows
Biobase,2.72.0,R 4.6.0; x86_64-w64-mingw32; 2026-04-29 10:50:27 UTC; windows
BiocFileCache,3.2.0,R 4.6.0; ; 2026-05-04 08:53:21 UTC; windows
BiocGenerics,0.58.1,R 4.6.0; ; 2026-05-14 10:20:17 UTC; windows
BiocManager,1.30.27,R 4.6.1; ; 2026-07-21 01:05:27 UTC; windows
BiocParallel,1.46.0,R 4.6.0; x86_64-w64-mingw32; 2026-04-29 15:02:21 UTC; windows
BiocVersion,3.23.1,R 4.6.0; ; 2026-03-01 08:32:11 UTC; windows
Biostrings,2.80.1,R 4.6.0; x86_64-w64-mingw32; 2026-05-29 06:45:16 UTC; windows
ComplexHeatmap,2.28.0,R 4.6.0; ; 2026-05-01 09:32:49 UTC; windows
DBI,1.3.0,R 4.6.1; ; 2026-07-21 01:02:06 UTC; windows
DESeq2,1.52.0,R 4.6.0; x86_64-w64-mingw32; 2026-04-29 13:06:15 UTC; windows
DelayedArray,0.38.2,R 4.6.0; ; 2026-05-26 21:59:34 UTC; windows
Deriv,4.2.0,R 4.6.1; ; 2026-07-21 01:02:04 UTC; windows
EnhancedVolcano,1.30.0,R 4.6.0; ; 2026-04-29 15:14:28 UTC; windows
Formula,1.2-5,R 4.6.0; ; 2026-04-21 00:41:34 UTC; windows
GEOquery,2.80.0,R 4.6.0; ; 2026-04-29 13:04:58 UTC; windows
GO.db,3.23.1,R 4.6.1; ; 2026-07-25 14:21:34 UTC; windows
GenomicRanges,1.64.0,R 4.6.0; ; 2026-04-29 15:12:33 UTC; windows
GetoptLong,1.1.1,R 4.6.1; ; 2026-07-21 01:11:18 UTC; windows
GlobalOptions,0.1.4,R 4.6.1; ; 2026-07-21 01:08:13 UTC; windows
IRanges,2.46.0,R 4.6.0; x86_64-w64-mingw32; 2026-04-29 11:31:00 UTC; windows
KEGGREST,1.52.2,R 4.6.1; ; 2026-07-24 20:52:39 UTC; windows
KernSmooth,2.23-26,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:40 UTC; windows
MASS,7.3-65,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:25 UTC; windows
Matrix,1.7-5,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:58 UTC; windows
MatrixGenerics,1.24.0,R 4.6.0; ; 2026-04-29 11:26:40 UTC; windows
MatrixModels,0.5-4,R 4.6.1; ; 2026-07-21 02:10:49 UTC; windows
R.methodsS3,1.8.2,R 4.6.0; ; 2026-04-21 00:41:08 UTC; windows
R.oo,1.27.1,R 4.6.0; ; 2026-04-21 01:58:02 UTC; windows
R.utils,2.13.0,R 4.6.1; ; 2026-07-21 01:02:44 UTC; windows
R6,2.6.1,R 4.6.1; ; 2026-07-21 01:02:01 UTC; windows
RColorBrewer,1.1-3,R 4.6.0; ; 2026-04-21 00:40:53 UTC; windows
RSQLite,3.53.3,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:30:49 UTC; windows
Rcpp,1.1.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:08 UTC; windows
RcppArmadillo,15.4.0-1,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:40 UTC; windows
RcppEigen,0.3.4.0.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:43 UTC; windows
RcppNumerical,0.7-0,R 4.6.1; x86_64-w64-mingw32; 2026-08-05 02:44:48 UTC; windows
Rdpack,2.6.6,R 4.6.1; ; 2026-07-21 01:50:39 UTC; windows
S4Arrays,1.12.0,R 4.6.0; x86_64-w64-mingw32; 2026-04-29 11:28:31 UTC; windows
S4Vectors,0.50.1,R 4.6.0; x86_64-w64-mingw32; 2026-05-13 06:31:43 UTC; windows
S7,0.2.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:05 UTC; windows
Seqinfo,1.2.0,R 4.6.0; ; 2026-05-04 08:56:19 UTC; windows
SparseArray,1.12.2,R 4.6.0; x86_64-w64-mingw32; 2026-05-01 20:55:46 UTC; windows
SparseM,1.84-2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:04 UTC; windows
SummarizedExperiment,1.42.0,R 4.6.0; ; 2026-04-29 11:30:24 UTC; windows
TCGAbiolinks,2.40.0,R 4.6.0; ; 2026-04-29 14:04:44 UTC; windows
TCGAbiolinksGUI.data,1.32.0,R 4.6.1; ; 2026-07-25 13:49:30 UTC; windows
UpSetR,1.4.1,R 4.6.1; ; 2026-07-21 02:51:23 UTC; windows
XML,3.99-0.23,R 4.6.0; x86_64-w64-mingw32; 2026-06-04 01:26:52 UTC; windows
XVector,0.52.0,R 4.6.0; x86_64-w64-mingw32; 2026-04-29 10:56:17 UTC; windows
abind,1.4-8,R 4.6.0; ; 2026-04-21 00:41:32 UTC; windows
annotate,1.90.0,R 4.6.0; ; 2026-04-29 13:05:05 UTC; windows
apeglm,1.34.0,R 4.6.0; x86_64-w64-mingw32; 2026-05-03 16:17:52 UTC; windows
askpass,1.2.1,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:35 UTC; windows
assertthat,0.2.1,R 4.6.1; ; 2026-07-21 01:02:21 UTC; windows
babelgene,22.9,R 4.6.1; ; 2026-07-21 03:18:12 UTC; windows
backports,1.5.1,R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:41:08 UTC; windows
base,4.6.1,R 4.6.1; ; 2026-06-24 08:20:51 UTC; windows
base64enc,0.1-6,R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:40:54 UTC; windows
bbmle,1.0.25.1,R 4.6.1; ; 2026-08-05 02:45:12 UTC; windows
bdsmatrix,1.3-7,R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:41:43 UTC; windows
biomaRt,2.68.0,R 4.6.0; ; 2026-04-29 14:55:08 UTC; windows
bit,4.6.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:22 UTC; windows
bit64,4.8.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:38 UTC; windows
blob,1.3.0,R 4.6.1; ; 2026-07-21 02:30:28 UTC; windows
boot,1.3-32,R 4.6.1; ; 2026-06-24 08:32:04 UTC; windows
broom,1.0.13,R 4.6.1; ; 2026-07-21 03:50:20 UTC; windows
bslib,0.11.0,R 4.6.1; ; 2026-07-21 02:30:33 UTC; windows
cachem,1.1.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:45 UTC; windows
callr,3.8.0,R 4.6.1; ; 2026-07-21 02:10:58 UTC; windows
car,3.1-5,R 4.6.1; ; 2026-07-21 04:37:32 UTC; windows
carData,3.0-6,R 4.6.1; ; 2026-07-21 01:02:02 UTC; windows
cellranger,1.1.0,R 4.6.1; ; 2026-07-21 03:09:30 UTC; windows
circlize,0.4.18,R 4.6.1; ; 2026-07-21 01:52:26 UTC; windows
class,7.3-23,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:04 UTC; windows
cli,3.6.6,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:02 UTC; windows
clipr,0.8.1,R 4.6.1; ; 2026-07-21 01:02:17 UTC; windows
clue,0.3-68,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:03:23 UTC; windows
cluster,2.1.8.2,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:11 UTC; windows
coda,0.19-4.1,R 4.6.1; ; 2026-08-05 02:25:50 UTC; windows
codetools,0.2-20,R 4.6.1; ; 2026-06-24 08:32:25 UTC; windows
colorspace,2.1-3,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:06 UTC; windows
commonmark,2.0.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:52 UTC; windows
compiler,4.6.1,R 4.6.1; ; 2026-06-24 08:14:21 UTC; windows
conflicted,1.2.0,R 4.6.1; ; 2026-07-21 01:50:50 UTC; windows
corrplot,0.95,R 4.6.1; ; 2026-07-21 01:02:30 UTC; windows
cowplot,1.2.0,R 4.6.1; ; 2026-07-21 02:50:48 UTC; windows
cpp11,0.5.5,R 4.6.1; ; 2026-07-21 01:02:05 UTC; windows
crayon,1.5.3,R 4.6.1; ; 2026-07-21 01:02:18 UTC; windows
curl,7.1.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:11 UTC; windows
data.table,1.18.4,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:23 UTC; windows
datasets,4.6.1,R 4.6.1; ; 2026-06-24 08:19:02 UTC; windows
dbplyr,2.6.0,R 4.6.1; ; 2026-07-21 03:50:26 UTC; windows
digest,0.6.39,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:05 UTC; windows
doBy,4.7.2,R 4.6.1; ; 2026-07-21 04:33:54 UTC; windows
doParallel,1.0.17,R 4.6.1; ; 2026-07-21 01:50:51 UTC; windows
downloader,0.4.1,R 4.6.1; ; 2026-07-21 01:02:51 UTC; windows
dplyr,1.2.1,R 4.6.1; x86_64-w64-mingw32; 2026-07-18 03:33:23 UTC; windows
dtplyr,1.3.3,R 4.6.1; ; 2026-07-21 03:09:44 UTC; windows
edgeR,4.10.1,R 4.6.0; x86_64-w64-mingw32; 2026-05-23 06:38:53 UTC; windows
emdbook,1.3.14,R 4.6.1; ; 2026-08-05 02:49:58 UTC; windows
evaluate,1.0.5,R 4.6.1; ; 2026-07-21 01:02:45 UTC; windows
exactRankTests,0.8-37,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:03:23 UTC; windows
farver,2.1.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:04 UTC; windows
fastmap,1.2.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:04 UTC; windows
fastmatch,1.1-8,R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:44:57 UTC; windows
fgsea,1.38.0,R 4.6.0; x86_64-w64-mingw32; 2026-05-05 09:30:50 UTC; windows
filelock,1.0.3,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:05:49 UTC; windows
fontawesome,0.5.3,R 4.6.1; ; 2026-07-21 02:11:07 UTC; windows
forcats,1.0.1,R 4.6.1; ; 2026-07-21 03:09:30 UTC; windows
foreach,1.5.2,R 4.6.1; ; 2026-07-21 01:50:40 UTC; windows
forecast,9.0.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:50:49 UTC; windows
foreign,0.8-91,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:28 UTC; windows
formatR,1.14,R 4.6.1; ; 2026-07-21 01:03:41 UTC; windows
fracdiff,1.5-4,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:03 UTC; windows
fs,2.1.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:24 UTC; windows
futile.logger,1.4.9,R 4.6.1; ; 2026-07-21 02:11:52 UTC; windows
futile.options,1.0.1,R 4.6.0; ; 2026-04-21 00:49:44 UTC; windows
gargle,1.6.1,R 4.6.1; ; 2026-07-21 02:30:30 UTC; windows
genefilter,1.94.0,R 4.6.0; x86_64-w64-mingw32; 2026-04-29 14:59:23 UTC; windows
generics,0.1.4,R 4.6.1; ; 2026-07-21 01:02:05 UTC; windows
ggplot2,4.0.3,R 4.6.1; ; 2026-07-21 02:30:19 UTC; windows
ggpubr,1.0.0,R 4.6.1; ; 2026-07-21 04:41:38 UTC; windows
ggrepel,0.9.8,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:50:55 UTC; windows
ggsci,5.1.0,R 4.6.1; ; 2026-07-21 02:50:57 UTC; windows
ggsignif,0.6.4,R 4.6.1; ; 2026-07-21 02:50:57 UTC; windows
ggtext,0.1.2,R 4.6.1; ; 2026-07-11 04:04:19 UTC; windows
glue,1.8.1,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:02 UTC; windows
googledrive,2.1.2,R 4.6.1; ; 2026-07-21 03:09:45 UTC; windows
googlesheets4,1.1.2,R 4.6.1; ; 2026-07-21 03:29:57 UTC; windows
grDevices,4.6.1,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:16:14 UTC; windows
graphics,4.6.1,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:16:56 UTC; windows
grid,4.6.1,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:19:46 UTC; windows
gridExtra,2.3.1,R 4.6.1; ; 2026-07-21 02:10:56 UTC; windows
gridtext,0.1.6,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:30:36 UTC; windows
gtable,0.3.6,R 4.6.1; ; 2026-07-21 02:10:47 UTC; windows
haven,2.5.5,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 03:50:32 UTC; windows
here,1.0.2,R 4.6.1; ; 2026-07-21 01:50:38 UTC; windows
highr,0.12,R 4.6.1; ; 2026-07-21 01:50:43 UTC; windows
hms,1.1.4,R 4.6.1; ; 2026-07-21 02:30:21 UTC; windows
htmltools,0.5.9,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:38 UTC; windows
httr,1.4.8,R 4.6.1; ; 2026-07-21 02:30:15 UTC; windows
httr2,1.3.0,R 4.6.1; ; 2026-07-21 02:30:19 UTC; windows
ids,1.0.1,R 4.6.1; ; 2026-07-21 02:30:30 UTC; windows
isoband,0.3.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:35 UTC; windows
iterators,1.0.14,R 4.6.1; ; 2026-07-21 01:02:36 UTC; windows
janitor,2.2.1,R 4.6.1; ; 2026-07-21 03:50:53 UTC; windows
jpeg,0.1-11,R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:42:23 UTC; windows
jquerylib,0.1.4,R 4.6.1; ; 2026-07-21 02:11:06 UTC; windows
jsonlite,2.0.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:02 UTC; windows
knitr,1.51,R 4.6.1; ; 2026-07-21 02:11:05 UTC; windows
labeling,0.4.3,R 4.6.0; ; 2026-04-21 00:40:53 UTC; windows
lambda.r,1.2.4,R 4.6.1; ; 2026-07-21 01:51:02 UTC; windows
lattice,0.22-9,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:40 UTC; windows
lifecycle,1.0.5,R 4.6.1; ; 2026-07-21 01:50:35 UTC; windows
limma,3.68.4,R 4.6.0; x86_64-w64-mingw32; 2026-05-31 11:38:03 UTC; windows
litedown,0.10,R 4.6.1; ; 2026-07-21 01:03:21 UTC; windows
lme4,2.0-6,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:30:18 UTC; windows
lmtest,0.9-40,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:10:48 UTC; windows
locfit,1.5-9.12,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:04:35 UTC; windows
lubridate,1.9.5,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:40 UTC; windows
magrittr,2.0.5,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:04 UTC; windows
markdown,2.0,R 4.6.1; ; 2026-07-21 01:50:52 UTC; windows
matrixStats,1.5.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:22 UTC; windows
maxstat,0.7-26,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:56 UTC; windows
memoise,2.0.1,R 4.6.1; ; 2026-07-21 01:50:44 UTC; windows
methods,4.6.1,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:19:12 UTC; windows
mgcv,1.9-4,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:21 UTC; windows
mime,0.13,R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:40:54 UTC; windows
minqa,1.2.8,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:35 UTC; windows
modelr,0.1.11,R 4.6.1; ; 2026-07-21 04:15:27 UTC; windows
msigdbr,26.1.0,R 4.6.1; ; 2026-07-21 03:37:17 UTC; windows
mvtnorm,1.4-2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:05 UTC; windows
nlme,3.1-169,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:30:23 UTC; windows
nloptr,2.2.1,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:01 UTC; windows
nnet,7.3-20,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:09 UTC; windows
numDeriv,2016.8-1.1,R 4.6.0; ; 2026-04-21 00:41:07 UTC; windows
openssl,2.4.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:10:56 UTC; windows
org.Hs.eg.db,3.23.1,R 4.6.1; ; 2026-07-24 20:52:52 UTC; windows
otel,0.2.0,R 4.6.1; ; 2026-07-21 01:02:21 UTC; windows
parallel,4.6.1,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:20:30 UTC; windows
patchwork,1.3.2,R 4.6.1; ; 2026-07-21 02:50:56 UTC; windows
pbkrtest,0.5.5,R 4.6.1; ; 2026-07-21 04:36:34 UTC; windows
pheatmap,1.0.13,R 4.6.1; ; 2026-07-21 02:14:03 UTC; windows
pillar,1.11.1,R 4.6.1; ; 2026-07-21 02:30:17 UTC; windows
pkgconfig,2.0.3,R 4.6.1; ; 2026-07-21 01:02:04 UTC; windows
plyr,1.8.9,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:36 UTC; windows
png,0.1-9,R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:42:12 UTC; windows
polynom,1.4-1,R 4.6.1; ; 2026-07-21 01:02:49 UTC; windows
prettyunits,1.2.0,R 4.6.1; ; 2026-07-21 01:02:20 UTC; windows
processx,3.9.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:39 UTC; windows
progress,1.2.3,R 4.6.1; ; 2026-07-21 02:50:49 UTC; windows
ps,1.9.3,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:17 UTC; windows
purrr,1.2.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:30:18 UTC; windows
quantreg,6.1,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:30:18 UTC; windows
ragg,1.5.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:30:30 UTC; windows
rappdirs,0.3.4,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:04 UTC; windows
rbibutils,2.4.1,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:02 UTC; windows
readr,2.2.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 03:29:53 UTC; windows
readxl,1.5.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 03:29:53 UTC; windows
reformulas,0.4.4,R 4.6.1; ; 2026-07-21 02:10:47 UTC; windows
rematch,2.0.0,R 4.6.1; ; 2026-07-21 01:02:21 UTC; windows
rematch2,2.1.2,R 4.6.1; ; 2026-07-21 03:09:45 UTC; windows
rentrez,1.2.4,R 4.6.1; ; 2026-07-21 02:31:43 UTC; windows
reprex,2.1.1,R 4.6.1; ; 2026-07-21 03:09:45 UTC; windows
rjson,0.2.23,R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:44:27 UTC; windows
rlang,1.3.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:06 UTC; windows
rmarkdown,2.31,R 4.6.1; ; 2026-07-21 02:50:59 UTC; windows
rpart,4.1.27,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:48 UTC; windows
rprojroot,2.1.1,R 4.6.1; ; 2026-07-21 01:02:05 UTC; windows
rstatix,1.1.0,R 4.6.1; ; 2026-07-25 13:48:53 UTC; windows
rstudioapi,0.19.0,R 4.6.1; ; 2026-07-21 01:02:05 UTC; windows
rvest,1.0.5,R 4.6.1; ; 2026-07-21 03:09:35 UTC; windows
sass,0.4.10,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:11:08 UTC; windows
scales,1.4.0,R 4.6.1; ; 2026-07-21 02:10:49 UTC; windows
selectr,0.6-0,R 4.6.1; ; 2026-07-21 01:02:33 UTC; windows
shape,1.4.6.1,R 4.6.0; ; 2026-04-21 00:41:08 UTC; windows
snakecase,0.11.1,R 4.6.1; ; 2026-07-21 02:31:01 UTC; windows
snow,0.4-4,R 4.6.0; ; 2026-04-21 00:41:25 UTC; windows
spatial,7.3-18,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:14 UTC; windows
splines,4.6.1,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:20:12 UTC; windows
statmod,1.5.2,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:03:16 UTC; windows
stats,4.6.1,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:17:23 UTC; windows
stats4,4.6.1,R 4.6.1; ; 2026-06-24 08:20:17 UTC; windows
