symbol,gene_id,main_beta,main_fdr
ACADM,ENSG00000117054.14,-0.4468059642593538,9.377309451710414e-7
C1QTNF6,ENSG00000133466.14,0.4136467928666512,4.564268607863544e-6
CLCN5,ENSG00000171365.17,-0.4190167593585776,4.293556759549975e-6
CRYL1,ENSG00000165475.15,-0.45253769305489067,1.940333443811019e-8
CYFIP2,ENSG00000055163.20,-0.43845579669981655,1.9281006354457825e-8
DDC,ENSG00000132437.18,-0.41310529264800505,9.377309451710414e-7
EMCN,ENSG00000164035.10,-0.4076054375755899,5.745284437604415e-6
GJB1,ENSG00000169562.13,-0.421223333757009,7.407143291051463e-7
HHLA2,ENSG00000114455.13,-0.46102400084933876,2.5462415374406383e-8
HIBCH,ENSG00000198130.16,-0.4081460844506718,5.300723025439599e-5
KL,ENSG00000133116.8,-0.40892044990231236,7.407143291051463e-7
KNTC1,ENSG00000184445.12,0.4124942138369963,3.0477916076592847e-6
LRBA,ENSG00000198589.14,-0.41522905524426923,1.4647004473302275e-5
PANK1,ENSG00000152782.16,-0.47759738812733304,4.772562506307065e-7
PODXL,ENSG00000128567.17,-0.41119270559964255,8.172707315040674e-6
TCIRG1,ENSG00000110719.10,0.42471284631142003,1.7904088610698904e-5
TEK,ENSG00000120156.22,-0.40758925368701615,3.162212196319465e-6
TMEM140,ENSG00000146859.6,-0.40742119306925856,3.994045684092749e-6
TNIP1,ENSG00000145901.16,-0.40883169297322036,5.46278839950744e-6
