symbol,gene_id,main_beta,main_fdr
ACADM,ENSG00000117054.14,-0.4477385173037322,8.729781338304565e-7
C1QTNF6,ENSG00000133466.14,0.4200009431871042,4.231758794847122e-6
CADPS2,ENSG00000081803.16,-0.4063313695680214,4.878070378792979e-6
CLCN5,ENSG00000171365.17,-0.41782354037526126,4.319132178679641e-6
CRYL1,ENSG00000165475.15,-0.45117808200879805,1.963004511001378e-8
CYFIP2,ENSG00000055163.20,-0.4394935534316012,1.5518688281120307e-8
DDC,ENSG00000132437.18,-0.40982484513284556,9.89524781518317e-7
EMCN,ENSG00000164035.10,-0.40577641386709895,5.76470540041876e-6
GJB1,ENSG00000169562.13,-0.4176434253189481,8.320675310792577e-7
HHLA2,ENSG00000114455.13,-0.4574756242554433,3.1121346510655434e-8
HIBCH,ENSG00000198130.16,-0.4079614520627967,5.136053947115387e-5
KL,ENSG00000133116.8,-0.4078959463331962,8.320675310792577e-7
KNTC1,ENSG00000184445.12,0.4109412003981211,3.4482017450525107e-6
LRBA,ENSG00000198589.14,-0.41859783102931125,1.327603582514584e-5
PANK1,ENSG00000152782.16,-0.4768603061253599,4.741615010246427e-7
PODXL,ENSG00000128567.17,-0.41112525324869953,8.041323318853678e-6
TCIRG1,ENSG00000110719.10,0.422954093078751,1.9180754241025484e-5
TMEM140,ENSG00000146859.6,-0.40730096734567955,4.123156037394154e-6
TNFAIP2,ENSG00000185215.11,0.4065863802702708,1.3709925651931104e-4
TNIP1,ENSG00000145901.16,-0.40881079551763144,5.701400127825992e-6
