symbol,gene_id,main_beta,main_fdr
ACADM,ENSG00000117054.14,-0.4466631831530052,9.44908894397277e-7
C1QTNF6,ENSG00000133466.14,0.4236343076802569,4.604764414720286e-6
CADPS2,ENSG00000081803.16,-0.4085717799718177,4.6252102804088275e-6
CLCN5,ENSG00000171365.17,-0.4177310495277372,4.604764414720286e-6
CRYL1,ENSG00000165475.15,-0.4497438617080579,2.171389418610623e-8
CYFIP2,ENSG00000055163.20,-0.43574525375223544,1.6696301093888536e-8
DDC,ENSG00000132437.18,-0.4060310444384986,9.44908894397277e-7
GJB1,ENSG00000169562.13,-0.4131250823388134,7.406004851129754e-7
HHLA2,ENSG00000114455.13,-0.4519405211872459,2.9878272748636576e-8
HIBCH,ENSG00000198130.16,-0.4084164028902125,5.115712071363526e-5
KL,ENSG00000133116.8,-0.4076841357734177,7.406004851129754e-7
KNTC1,ENSG00000184445.12,0.40917567605704996,4.604764414720286e-6
LRBA,ENSG00000198589.14,-0.4253423146723452,1.2841962413788218e-5
PANK1,ENSG00000152782.16,-0.4753463449647719,4.3492060545984535e-7
PODXL,ENSG00000128567.17,-0.4095025377845833,9.396364282129135e-6
TCIRG1,ENSG00000110719.10,0.42654811450219654,1.8161559925380825e-5
TMEM140,ENSG00000146859.6,-0.4066138269278756,4.604764414720286e-6
TNFAIP2,ENSG00000185215.11,0.40732421602850283,1.3859909208615244e-4
TNIP1,ENSG00000145901.16,-0.4067005042115462,7.148418684993667e-6
