symbol,n,events,clinical_concordance,gene_model_concordance,composition_model_concordance,delta_concordance_gene_vs_clinical,gene_lrt_p_vs_clinical,base_log_hr,base_hr,base_p_value,gene_log_hr,gene_hr,gene_p_value,composition_adjusted_log_hr,composition_adjusted_hr,composition_adjusted_p_value,same_direction_after_composition,gene_lrt_fdr_vs_clinical,gene_fdr,composition_adjusted_fdr
CYFIP2,525,170,0.7657026742624914,0.7879277187125803,0.7939511593308901,0.022225044450088882,8.119994382045e-10,-0.44123008987349144,0.6432446854562286,4.685990550830553e-12,-0.44123008987349144,0.6432446854562286,4.685990550830553e-12,-0.2908307651201497,0.7476421944492412,6.771818380951242e-4,TRUE,1.0364944697792488e-8,1.2652174487242493e-10,0.0020315455142853726
CRYL1,525,170,0.7657026742624914,0.7825211364708444,0.789469864654015,0.016818462208353036,9.80835206739595e-10,-0.4532002843034422,0.6355908220125198,2.7807240476611386e-11,-0.4532002843034422,0.6355908220125198,2.7807240476611386e-11,-0.3379506774899359,0.7132304653475602,5.72932608574545e-4,TRUE,1.0364944697792488e-8,3.7539774643425374e-10,0.0020315455142853726
PANK1,525,170,0.7657026742624914,0.7870024311477195,0.7928807286186002,0.021299756885228116,1.2725108114805595e-9,-0.4768214482591282,0.6207533559913572,1.1861354782051334e-9,-0.4768214482591282,0.6207533559913572,1.1861354782051334e-9,-0.36133244198215914,0.6967473318970796,4.8604995318253866e-4,TRUE,1.0364944697792488e-8,5.337609651923101e-9,0.0020315455142853726
HHLA2,525,170,0.7657026742624914,0.780144417431692,0.7872927174425777,0.01444174316920066,1.535547362635924e-9,-0.46871237804694216,0.6258075532641013,5.743556548523005e-11,-0.46871237804694216,0.6258075532641013,5.743556548523005e-11,-0.3094079204486126,0.7338813437523936,0.003361737567634169,TRUE,1.0364944697792488e-8,5.169200893670704e-10,0.006982070332778659
ACADM,525,170,0.7657026742624914,0.7835915671831344,0.7913204397837368,0.017888892920642996,4.96843845558157e-9,-0.44954477780770535,0.6379184801838119,3.579113976789544e-9,-0.44954477780770535,0.6379184801838119,3.579113976789544e-9,-0.28302762346548016,0.7534989733193549,0.003632554322031444,TRUE,2.682956766014048e-8,1.3805153910473956e-8,0.0070056404782035
IQGAP2,525,170,0.7657026742624914,0.7830654232737038,0.7925178707500272,0.017362749011212375,8.641905290607963e-9,-0.4156362728911144,0.6599202577242479,6.01523369498904e-10,-0.4156362728911144,0.6599202577242479,6.01523369498904e-10,-0.21630582146725363,0.805488928396312,0.010422325538328435,TRUE,3.888857380773583e-8,3.248226195294082e-9,0.016553105266756924
RBM47,525,170,0.7657026742624914,0.7792554156536884,0.7929351572988861,0.013552741391196998,1.5281627716291242e-8,-0.4090358003875217,0.6642904500409734,1.9899218046492143e-10,-0.4090358003875217,0.6642904500409734,1.9899218046492143e-10,-0.28975957369502964,0.7484434914516114,1.369739284958047e-4,TRUE,5.8943421191409077e-8,1.3431972181382196e-9,0.0014506393172298599
KL,525,170,0.7657026742624914,0.7763162669182482,0.7836459958634203,0.010613592655756787,2.6778247986878804e-8,-0.4133638758779611,0.6614215636823719,4.246557209357981e-9,-0.4133638758779611,0.6614215636823719,4.246557209357981e-9,-0.18190144347269754,0.8336835013176814,0.09251450060641372,TRUE,9.037658695571597e-8,1.4332130581583187e-8,0.10860397897274655
C1QTNF6,525,170,0.7657026742624914,0.7812329910374107,0.7945498748140354,0.01553031677491934,5.4975493004678496e-8,0.4485051545354674,1.5659695525060933,3.397124247127468e-8,0.4485051545354674,1.5659695525060933,3.397124247127468e-8,0.32797219415525825,1.3881503730590212,4.8765504847942493e-4,TRUE,1.649264790140355e-7,7.643529556036802e-8,0.0020315455142853726
DDC,525,170,0.7657026742624914,0.7776588410319678,0.784426140280852,0.011956166769476417,6.949672132935644e-8,-0.41680674469636053,0.659148291539331,8.883340653003287e-9,-0.41680674469636053,0.659148291539331,8.883340653003287e-9,-0.19931537294547524,0.8192914702210722,0.12508123321332185,TRUE,1.8764114758926238e-7,2.6650021959009863e-8,0.14071638736498707
