symbol,tcga_gene_id,successful_repeats,bootstrap_mean_log_hr,bootstrap_median_log_hr,bootstrap_se,bootstrap_ci_low,bootstrap_ci_high,full_fit_log_hr,bootstrap_bias,direction_agreement,ci_excludes_zero
PANK1,ENSG00000152782.16,1000,-0.4858119184085805,-0.48800354350048936,0.0811054905704946,-0.6349528904225171,-0.32269305584556834,-0.4755956336922395,-0.010216284716341006,TRUE,TRUE
HHLA2,ENSG00000114455.13,1000,-0.4607876344601417,-0.4586618376257857,0.0645000624594699,-0.5938070817744405,-0.33924777244480087,-0.4534307797409708,-0.007356854719170913,TRUE,TRUE
CRYL1,ENSG00000165475.15,1000,-0.4618492979500771,-0.45845420336154563,0.06705039082502724,-0.5959724438483421,-0.3347785728019385,-0.45035105629036676,-0.011498241659710362,TRUE,TRUE
ACADM,ENSG00000117054.14,1000,-0.46065426521098873,-0.46118903779177844,0.07561419064384572,-0.6073014384233103,-0.3082363425937469,-0.4474548085551104,-0.01319945665587835,TRUE,TRUE
CYFIP2,ENSG00000055163.20,1000,-0.4587679946994431,-0.45210562809891264,0.07517902363029601,-0.634451939800991,-0.3352152255908015,-0.4373207095360415,-0.021447285163401608,TRUE,TRUE
TCIRG1,ENSG00000110719.10,1000,0.43348111163132946,0.431444125081601,0.08583055483081942,0.2635910645428314,0.6076784850605776,0.4263843659361591,0.007096745695170381,TRUE,TRUE
C1QTNF6,ENSG00000133466.14,1000,0.43516164974510857,0.43436092591472436,0.08073274785237568,0.2809512765000086,0.5921437803350676,0.4243687281019968,0.010792921643111797,TRUE,TRUE
LRBA,ENSG00000198589.14,1000,-0.42894696663783183,-0.4282333973658785,0.08640874364567327,-0.5969313289363277,-0.26406217907212814,-0.4197927082011577,-0.009154258436674112,TRUE,TRUE
CLCN5,ENSG00000171365.17,1000,-0.42969055618938606,-0.43101646683801775,0.0793111786391202,-0.5873138798947446,-0.27933082075042426,-0.4175075158096139,-0.012183040379772136,TRUE,TRUE
GJB1,ENSG00000169562.13,1000,-0.4222322820809348,-0.4203961717174801,0.07011528354847979,-0.5635179948514457,-0.2889284051314613,-0.41480227071927783,-0.007430011361656941,TRUE,TRUE
KNTC1,ENSG00000184445.12,1000,0.4115228033489591,0.41258112693092286,0.08121098677812376,0.241514254569264,0.5652024669309279,0.4111418947474111,3.809086015479912e-4,TRUE,TRUE
PODXL,ENSG00000128567.17,1000,-0.41051156265401134,-0.41337858871784394,0.08204027409794466,-0.5631271245904559,-0.2487280936692934,-0.410039455452646,-4.721072013653682e-4,TRUE,TRUE
CADPS2,ENSG00000081803.16,1000,-0.41094142124499267,-0.4158154616398917,0.07805872307047526,-0.5539723282385705,-0.2537125053906147,-0.4082217406069029,-0.00271968063808975,TRUE,TRUE
TNIP1,ENSG00000145901.16,1000,-0.4168836674806859,-0.4200271975009661,0.07918517828197152,-0.5735348869329036,-0.2626452898514675,-0.40813405684561865,-0.00874961063506724,TRUE,TRUE
KL,ENSG00000133116.8,1000,-0.4166355033350504,-0.4154669939113128,0.07110148338689902,-0.5569772535666567,-0.274820855344364,-0.4076926451777757,-0.008942858157274691,TRUE,TRUE
TNFAIP2,ENSG00000185215.11,1000,0.40762541922285916,0.4077544460720556,0.10557930662290617,0.18952503112549446,0.6071086602380749,0.40750292907212804,1.224901507311249e-4,TRUE,TRUE
HIBCH,ENSG00000198130.16,1000,-0.41338731170123943,-0.4131173496963888,0.09131369751094136,-0.5909925567368071,-0.23506278999944807,-0.4073597531238157,-0.006027558577423708,TRUE,TRUE
DDC,ENSG00000132437.18,1000,-0.4122735602693728,-0.4131979296694398,0.06597235464004547,-0.5402004265957394,-0.2876949390893301,-0.40711932946782187,-0.005154230801550919,TRUE,TRUE
TMEM140,ENSG00000146859.6,1000,-0.4122710599843827,-0.41016749671464336,0.07684122739419985,-0.5663346565928282,-0.2684172081443688,-0.40711838586219457,-0.005152674122188117,TRUE,TRUE
GRAMD1A,ENSG00000089351.14,1000,0.4116128542724308,0.40987280533303205,0.08165004281115029,0.25371773110201196,0.5663320141758609,0.40463019308440396,0.0069826611880268175,TRUE,TRUE
LTB4R,ENSG00000213903.9,1000,0.4110640026835821,0.4106440620601933,0.09045390094417864,0.23215654376805966,0.5896510566961418,0.403671237057426,0.007392765626156095,TRUE,TRUE
RBM47,ENSG00000163694.15,1000,-0.42177263437760054,-0.416418297215279,0.07646638907143433,-0.5913767718778338,-0.2882288434918596,-0.4019760009591535,-0.019796633418447063,TRUE,TRUE
IFFO1,ENSG00000010295.20,1000,0.4077949001102145,0.4076048826299732,0.08905961655107814,0.22240956749685456,0.5830829002090807,0.4018079772831342,0.005986922827080299,TRUE,TRUE
