symbol,repeats,mean_clinical_c_index,mean_clinical_gene_c_index,mean_delta_c_index,median_delta_c_index,delta_ci_low,delta_ci_high,positive_delta_frequency,main_log_hr
CYFIP2,20,0.7438452337136547,0.7659376150165624,0.02209238130290763,0.02193595877806398,0.016389860139860095,0.02816157526683847,1,-0.4403276873957715
PANK1,20,0.7438452337136547,0.764758925285241,0.02091369157158631,0.020831799779168214,0.016883051159366898,0.025985921972764083,1,-0.4732407037257613
CRYL1,20,0.7438452337136547,0.7630631210894369,0.0192178873757821,0.01942399705557596,0.013105447184394483,0.025299503128450453,1,-0.4562451822719112
ACADM,20,0.7438452337136547,0.7622957305852043,0.018450496871549503,0.01897313213102686,0.012792142068457822,0.022776499815973454,1,-0.4484141243283115
HHLA2,20,0.7438452337136547,0.7613645564961354,0.017519322782480685,0.017436510857563536,0.011148785425101263,0.02523647405226357,1,-0.46651200190082415
CLCN5,20,0.7438452337136547,0.7610471107839529,0.017201877070298112,0.016682002208317948,0.012980309164519678,0.024000276039749763,1,-0.4176541545204886
KNTC1,20,0.7438452337136547,0.7605097534044902,0.01666451969083549,0.01674641148325362,0.011640136179609845,0.020362072138387866,1,0.41317926152804135
C1QTNF6,20,0.7438452337136547,0.7587476996687523,0.014902465955097538,0.015918292234081644,0.009583179977916814,0.019160839160839205,1,0.43509983532112984
RBM47,20,0.7438452337136547,0.7583502024291497,0.014504968715495031,0.014170040485829927,0.008793706293706249,0.01869801251380198,1,-0.406043543125073
TCIRG1,20,0.7438452337136547,0.7582453073242547,0.01440007361059994,0.01355355171144651,0.008622561648877394,0.02084468163415533,1,0.4257531411377312
TMEM140,20,0.7438452337136547,0.7579931910195068,0.014147957305852055,0.013535149061464857,0.005714482885535441,0.024025119617224863,1,-0.4073424327415841
PODXL,20,0.7438452337136547,0.7576877070298123,0.013842473316157533,0.014814133235185822,0.006945620169304395,0.01961032388663968,1,-0.41295393620776416
TNIP1,20,0.7438452337136547,0.7571880750828119,0.013342841369157143,0.013314317261685693,0.0061911115200588614,0.020157802723592196,1,-0.414945866298316
GRAMD1A,20,0.7438452337136547,0.7570252116304748,0.013179977916820023,0.012421788737578154,0.006758833271991126,0.018668568273831485,1,0.4057580580941821
KL,20,0.7438452337136547,0.7564915347810085,0.01264630106735371,0.012311372837688683,0.00871733529628262,0.020171144644828824,1,-0.4143562134600067
DDC,20,0.7438452337136547,0.7564252852410747,0.01258005152741995,0.012044534412955443,0.007963286713286652,0.01917970187707031,1,-0.4170476451847731
LTB4R,20,0.7438452337136547,0.7558768862716231,0.01203165255796836,0.012348178137651877,0.006351674641148325,0.018334560176665435,1,0.4152348937982004
LRBA,20,0.7438452337136547,0.7557177033492823,0.011872469635627525,0.01132683106367316,0.00731459330143536,0.017232241442767783,1,-0.42337150345977026
IFFO1,20,0.7438452337136547,0.7556284504968716,0.011783216783216782,0.012210158262789872,0.007992730953257317,0.01583179977916825,1,0.4086497996244981
TNFAIP2,20,0.7438452337136547,0.7553376886271623,0.011492454913507555,0.011133603238866419,0.00563443135811555,0.018520887007729085,1,0.42728551519013547
GJB1,20,0.7438452337136547,0.7544295178505704,0.01058428413691571,0.01160287081339717,0.003375506072874463,0.017638940007361124,1,-0.4272749730657404
CADPS2,20,0.7438452337136547,0.7533400809716599,0.009494847258005156,0.010139860139860124,0.001974604343025419,0.014887283768862695,1,-0.41010601450174866
HIBCH,20,0.7438452337136547,0.7523334560176665,0.008488222304011788,0.008382407066617636,0.0051766654398234056,0.012787081339712854,1,-0.4099623749107515
