symbol,tcga_gene_id,matched_baseline_log_hr,gene_log_hr,gene_hr,gene_hr_ci_low,gene_hr_ci_high,gene_p_value,gene_ph_p_value,purity_log_hr,purity_hr,purity_p_value,n,events,gene_fdr,same_direction_after_purity,absolute_log_hr_attenuation,relative_log_hr_attenuation
CYFIP2,ENSG00000055163.20,-0.43868393460341226,-0.4378171320130012,0.645443803074895,0.5695880929612762,0.7314017060326901,6.719788432920099e-12,0.10937711711418349,-0.023350546259589846,0.976919968102254,0.7532737501721372,516,170,1.5455513395716228e-10,TRUE,8.668025904110532e-4,0.001975915966001107
CRYL1,ENSG00000165475.15,-0.44958600417202077,-0.44831732590063555,0.6387019751917191,0.5601281053868107,0.7282980610874542,2.177389024224922e-11,0.18601794919119832,-0.01507325491698976,0.9850397779528315,0.834955913203888,516,170,2.04163730742586e-10,TRUE,0.0012686782713852152,0.0028218811520204223
HHLA2,ENSG00000114455.13,-0.4522363384691969,-0.46562925696163765,0.6277399711353168,0.5474005036816819,0.7198704946572647,2.663005183598948e-11,0.05509765370700999,-0.11519881950698184,0.8911889405458857,0.1122343060927649,516,170,2.04163730742586e-10,TRUE,-0.01339291849244073,-0.029614865841553595
RBM47,ENSG00000163694.15,-0.4019527570026836,-0.4006800965170814,0.6698643186938552,0.5909692732556414,0.7592919391345011,3.6819208489640135e-10,0.04057600366946846,-0.017735453266959005,0.9824208942220193,0.8113622062799491,516,170,2.1171044881543078e-9,TRUE,0.0012726604856022061,0.003166194194293648
PANK1,ENSG00000152782.16,-0.474254223746071,-0.4905282006868715,0.6123028899473137,0.5219536983233224,0.7182913546588046,1.721670466665207e-9,0.30325528831763626,0.05225508886065024,1.0536444812060253,0.4916337740959146,516,170,7.919684146659952e-9,TRUE,-0.01627397694080046,-0.03431488034466934
KL,ENSG00000133116.8,-0.4077813953886766,-0.40604923178565255,0.6662773645930232,0.5811433519287745,0.7638829990839029,5.834012101992986e-9,0.19683817246885896,-0.011246005970061972,0.98881699396802325,0.87904267113946,516,170,1.916889690654838e-8,TRUE,0.0017321636030240284,0.004247774966224305
GJB1,ENSG00000169562.13,-0.414001120813337,-0.41136686924289834,0.6627437466983376,0.5771833144931664,0.7609874761772079,5.449281549418115e-9,0.05564842121666998,-0.041415005185119674,0.9594308785259601,0.5651538110262261,516,170,1.916889690654838e-8,TRUE,0.0026342515704386726,0.006362909272476069
ACADM,ENSG00000117054.14,-0.44595122861737596,-0.4483131150554239,0.6387046646725355,0.5484532131746837,0.7438075643920514,8.028231103285758e-9,0.24175591864704338,0.01061551228715823,1.010672056743384,0.885562298775384,516,170,2.3081164421946554e-8,TRUE,-0.0023618864380479665,-0.005296288666746696
DDC,ENSG00000132437.18,-0.4058484979153769,-0.4041690862875662,0.6675312413465406,0.5815410451548396,0.766236470987202,9.233667459418843e-9,0.14791780993180745,-0.05629236713554085,0.9452627317294096,0.4333538221881322,516,170,2.3597150174070377e-8,TRUE,0.0016794116278107118,0.00413802597875057
KNTC1,ENSG00000184445.12,0.41089975652651783,0.406217521248025,1.5011290444104508,1.295328240333245,1.7396273298209812,6.6834139240558e-8,0.6293740171301376,-0.06687203553451027,0.9353148807480368,0.36447393737064393,516,170,1.5371852025328337e-7,TRUE,0.004682235278492819,0.011395079223393667
