symbol,evidence_score,tcga_log2fc,main_log_hr,main_hr,main_fdr,gse40435_log2fc,gse40435_pvalue,gse40435_nominal,gse53757_log2fc,gse53757_pvalue,gse53757_nominal,gse29609_present,gse29609_log_hr,gse29609_fdr,gse29609_same_direction,emtab_present,emtab_log_hr,emtab_fdr,emtab_same_direction,marker_fdr,marker_fdr_support,purity_fdr,purity_fdr_support,nested_folds,tracerx_fixed_direction,tracerx_fixed_median_log_hr,os_interaction_log_hr,os_interaction_fdr,any_interaction_fdr_lt_0.05,retained_under_every_aliquot_rule,evidence_profile
CYFIP2,9.618290613836376,-2.281149711391933,-0.4403276873957715,0.6438254130397608,1.6496039075833828e-8,-1.131520208693071,6.015535549302543e-41,TRUE,-1.6858177738871676,4.92606073192595e-22,TRUE,TRUE,0.35907083247409527,0.30450071346976954,FALSE,FALSE,NA,NA,FALSE,0.00234669905158075,TRUE,1.5455513395716228e-10,TRUE,22,0.941,-0.26549701316379426,-0.31259476701612127,0.3282242350122289,FALSE,TRUE,discovery association with mixed external direction
CRYL1,9.511789311895216,-1.0664355766496707,-0.4562451822719112,0.6336584562310958,1.975230044002204e-8,-1.69578909706931,2.892818540103826e-38,TRUE,-1.7178349940872006,2.92482523379928e-27,TRUE,TRUE,0.34405317944990815,0.30450071346976954,FALSE,TRUE,-0.6765943634233695,0.00289546795722018,TRUE,0.00234669905158075,TRUE,2.04163730742586e-10,TRUE,9,1,-0.5898705395745865,-0.1962913429828662,0.5447567652891703,FALSE,TRUE,transportable association on one inspected cohort
HHLA2,9.243401235123986,3.11873156630403,-0.46651200190082415,0.6271860813603375,3.0568553030833886e-8,0.725911554316831,1.484222956180103e-10,TRUE,1.1893418509342688,1.0899896770891065e-6,TRUE,TRUE,0.4514257351737937,0.28613355230193127,FALSE,TRUE,-0.3351974219437983,0.1127376059523639,TRUE,0.00526297889456783,TRUE,2.04163730742586e-10,TRUE,11,1,-0.9140677041604212,-0.1974142660594708,0.5447567652891703,FALSE,TRUE,discovery association with mixed external direction
DDC,8.78183018980297,-1.7003611404692802,-0.4170476451847731,0.6589895215186183,9.44690794637647e-7,-3.0840942365643587,1.9090027989269638e-35,TRUE,-3.2261870369353054,2.724808022301518e-21,TRUE,TRUE,0.8301386856599177,0.02144477661235515,FALSE,TRUE,-0.6310423539514355,0.00261404769456728,TRUE,0.11771775826648624,FALSE,2.3597150174070377e-8,TRUE,1,0.957,-0.3262589789277344,-0.16750580590779568,0.5447567652891703,FALSE,TRUE,external reversal
KL,8.473842632193326,-1.6393396573462955,-0.4143562134600067,0.6607655357615693,7.828983753766447e-7,-2.4495173085544577,2.401672777281093e-36,TRUE,-2.426454328769745,7.680470694543072e-22,TRUE,FALSE,NA,NA,FALSE,TRUE,-0.5074587069755868,0.0075074872683583,TRUE,0.10545415876311402,FALSE,1.916889690654838e-8,TRUE,1,0.373,0.0999102534233168,-0.2928108047374497,0.3282242350122289,FALSE,TRUE,composition-sensitive association
RBM47,8.192422724685382,-1.1026128043972716,-0.406043543125073,0.6662811548295828,1.2074892654362825e-7,-0.9786751691732682,3.4852946474027225e-36,TRUE,-0.964544528574704,1.4111713189133389e-19,TRUE,TRUE,0.5558203907609339,0.09424675721073908,FALSE,TRUE,-0.40572733832828306,0.09277828114041332,TRUE,0.00196911113544793,TRUE,2.1171044881543078e-9,TRUE,0,1,-0.6414057255442892,-0.03608267975517309,0.8584143553732847,FALSE,FALSE,discovery association with mixed external direction
PANK1,7.9597997926115,-1.487264489340242,-0.4732407037257613,0.6229800994979866,4.4522162039132833e-7,-0.973737281943896,3.30729988958142e-33,TRUE,-1.539310028910279,5.527400043499938e-21,TRUE,TRUE,0.3246128267607624,0.30450071346976954,FALSE,TRUE,-0.5263700329697365,0.02963830081376704,TRUE,0.00234669905158075,TRUE,7.919684146659952e-9,TRUE,0,0.842,-0.2686927347389114,-0.11601388529723888,0.6702307042144062,FALSE,TRUE,discovery association with mixed external direction
GJB1,7.917060136021672,-1.4671804841832965,-0.4272749730657404,0.6522841669888453,7.54660946779054e-7,-1.3689824870792098,1.1692968150459496e-45,TRUE,-1.8533203396129423,1.8370589777002304e-29,TRUE,TRUE,-0.06416747452303483,0.8876189084560949,TRUE,TRUE,-0.7475769967189155,4.850366942546149e-4,TRUE,0.05173659382161495,FALSE,1.916889690654838e-8,TRUE,0,0.974,-0.4942966865444093,-0.1327808882270398,0.6702307042144062,FALSE,TRUE,composition-sensitive association
ACADM,7.831126054359602,-1.5448144413983544,-0.4484141243283115,0.6386401528369687,9.375513631424824e-7,-1.5002221826782205,7.167990533424086e-39,TRUE,-1.6370101513545092,4.4370881441658225e-28,TRUE,TRUE,0.3741311786226243,0.28613355230193127,FALSE,TRUE,-0.6564527051716585,0.0075074872683583,TRUE,0.00667670976593395,TRUE,2.3081164421946554e-8,TRUE,0,1,-0.9130896460540048,-0.29101419547773794,0.3282242350122289,FALSE,TRUE,concordant metabolic association
CLCN5,6.882179867317559,-1.4344904567828498,-0.4176541545204886,0.6585899594030037,4.710585633141151e-6,-0.7521511659009913,7.133944145023383e-37,TRUE,-1.7999564079798147,1.8146495981523263e-26,TRUE,TRUE,0.5220036332117834,0.1843476699704856,FALSE,TRUE,-0.548321826880415,0.01944415432991016,TRUE,0.05173659382161495,FALSE,1.8517441571899514e-7,TRUE,0,0.597,-0.05955173694830431,-0.07779285548784891,0.7521029449860466,FALSE,TRUE,composition-sensitive association
TMEM140,6.832837784652118,1.3873551467780825,-0.4073424327415841,0.6654162909588421,4.415510186849692e-6,1.0434245526138617,5.1214618533808135e-30,TRUE,1.3355910881908064,1.1518157821247538e-23,TRUE,TRUE,0.14466109252650103,0.648725355857341,FALSE,TRUE,-0.4113594889335694,0.03858146158244542,TRUE,0.00502212970785244,TRUE,1.7365800669988633e-7,TRUE,0,1,-0.4516631877961963,-0.2482683893095592,0.5437472956271178,FALSE,TRUE,discovery association with mixed external direction
C1QTNF6,6.7553047224262235,2.326695021877266,0.43509983532112984,1.5451173085341128,4.415510186849692e-6,0.2773809349306929,5.5543452091200636e-30,TRUE,1.222159386398144,1.3873789879709632e-17,TRUE,TRUE,-0.3867307601447098,0.30450071346976954,FALSE,TRUE,0.2833680281921315,0.21928195816045443,TRUE,0.00234669905158075,TRUE,2.1224334879054765e-7,TRUE,0,0.928,0.31058775230714003,0.18502721092969843,0.5447567652891703,FALSE,TRUE,discovery association with mixed external direction
CADPS2,6.622703495304001,-1.6281903545786902,-0.41010601450174866,0.6635798973149913,4.925349015628294e-6,-0.4524209350594058,4.5405662754445397e-38,TRUE,-1.2857683261208852,6.480042259739784e-28,TRUE,TRUE,-0.33808531497175026,0.30450071346976954,TRUE,TRUE,-0.28474986809950903,0.23924632642946417,TRUE,0.00356269105583552,TRUE,2.1224334879054765e-7,TRUE,0,1,-0.5585695333874732,-0.19697755213868184,0.5447567652891703,FALSE,FALSE,directionally concordant association
