symbol,tcga_gene_id,tcga_log2fc,tcga_apeglm_log2fc,tcga_apeglm_lfc_se,tcga_padj,tcga_significant,tcga_direction,gse40435_log2fc,gse40435_pvalue,gse40435_padj,gse40435_direction,gse40435_nominal,gse53757_log2fc,gse53757_pvalue,gse53757_padj,gse53757_direction,gse53757_nominal,same_direction_gse40435,same_direction_gse53757,same_direction_count,nominal_support_count,reproducible_deg,grade_complete_log_hr,stage_complete_log_hr,stage_grade_complete_log_hr,grade_complete_hr,stage_complete_hr,stage_grade_complete_hr,grade_complete_log_hr_ci_low,stage_complete_log_hr_ci_low,stage_grade_complete_log_hr_ci_low,grade_complete_log_hr_ci_high,stage_complete_log_hr_ci_high,stage_grade_complete_log_hr_ci_high,grade_complete_hr_ci_low,stage_complete_hr_ci_low,stage_grade_complete_hr_ci_low,grade_complete_hr_ci_high,stage_complete_hr_ci_high,stage_grade_complete_hr_ci_high,grade_complete_std_error,stage_complete_std_error,stage_grade_complete_std_error,grade_complete_p_value,stage_complete_p_value,stage_grade_complete_p_value,grade_complete_fdr,stage_complete_fdr,stage_grade_complete_fdr,grade_complete_ph_p_value,stage_complete_ph_p_value,stage_grade_complete_ph_p_value,grade_complete_n,stage_complete_n,stage_grade_complete_n,grade_complete_events,stage_complete_events,stage_grade_complete_events,grade_complete_covariates,stage_complete_covariates,stage_grade_complete_covariates,grade_complete_warning_count,stage_complete_warning_count,stage_grade_complete_warning_count,grade_complete_warning_text,stage_complete_warning_text,stage_grade_complete_warning_text,pathway_class,main_log_hr,main_hr,main_hr_ci_low,main_hr_ci_high,main_log_hr_ci_low,main_log_hr_ci_high,main_std_error,main_p_value,main_fdr,main_ph_p_value,main_n,main_events,main_warning_count,main_warning_text,stage_sensitivity_same_direction,grade_sensitivity_same_direction,stage_sensitivity_nominal,grade_sensitivity_nominal,ph_diagnostic_p_ge_0_05,meaningful_survival_effect,geo_effect_support,prognostic,sensitivity_pass,strict_candidate,high_confidence_candidate,candidate,abs_tcga_log2fc,abs_log_hr,evidence_score
CYFIP2,ENSG00000055163.20,-2.281149711391933,-2.2701762940745227,0.10688889381217428,1.534839078553261e-98,TRUE,-1,-1.131520208693071,6.015535549302542e-41,3.2931902131269206e-39,-1,TRUE,-1.6858177738871676,4.92606073192595e-22,9.783703953686261e-21,-1,TRUE,TRUE,TRUE,2,2,TRUE,-0.5011742289302678,-0.4525244848724998,-0.4403276873957715,0.6058188718476414,0.6360204990997607,0.6438254130397608,-0.6180340421254797,-0.576637713224339,-0.5652845220047545,-0.38431441573505576,-0.3284112565206606,-0.3153708527867886,0.5390030539544406,0.5617840738067906,0.5681984587921453,0.6809173024050641,0.720066826626047,0.7295182802096486,0.05962344926589841,0.06332423928747084,0.06375465855221145,4.254750648053571e-17,8.924582102425174e-13,4.964200745059834e-12,1.413853640348202e-13,2.4444716597807093e-9,1.6496039075833828e-8,0.17254535274573085,0.11453431078770436,0.11023851345074288,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Metabolism,-0.4403276873957715,0.6438254130397608,0.5681984587921453,0.7295182802096486,-0.5652845220047545,-0.3153708527867886,0.06375465855221145,4.964200745059834e-12,1.6496039075833828e-8,0.11023851345074288,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.281149711391933,0.4403276873957715,9.618290613836376
CRYL1,ENSG00000165475.15,-1.0664355766496707,-1.049632365895624,0.10300132677990358,4.0724701953703004e-24,TRUE,-1,-1.69578909706931,2.892818540103826e-38,1.1437590879395356e-36,-1,TRUE,-1.7178349940872006,2.92482523379928e-27,1.9976119805769417e-25,-1,TRUE,TRUE,TRUE,2,2,TRUE,-0.4659200899864024,-0.4686872323445526,-0.4562451822719112,0.6275574301665034,0.6258232898324415,0.6336584562310958,-0.5913568049135095,-0.5984862413309979,-0.5881062415918767,-0.34048337505929527,-0.33888822335810737,-0.3243841229519457,0.5535756807561758,0.549643033574625,0.5553780413163518,0.7114263538803266,0.7125620924358084,0.7229724787128592,0.06399949994823166,0.06622520108036847,0.0672772869093865,3.3367597606598973e-13,1.4712438518090338e-12,1.1888233788758372e-11,3.337179714013829e-10,2.4444716597807093e-9,1.9752300440022042e-8,0.4411495789428391,0.22729303879661708,0.18056452806814727,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Unclassified,-0.4562451822719112,0.6336584562310958,0.5553780413163518,0.7229724787128592,-0.5881062415918767,-0.3243841229519457,0.0672772869093865,1.1888233788758372e-11,1.9752300440022042e-8,0.18056452806814727,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0664355766496707,0.4562451822719112,9.511789311895217
HHLA2,ENSG00000114455.13,3.11873156630403,3.099780677028017,0.2144939195091656,1.9324878811283214e-47,TRUE,1,0.725911554316831,1.484222956180103e-10,5.769951291101644e-10,1,TRUE,1.1893418509342688,1.0899896770891065e-6,3.1991709498393217e-6,1,TRUE,TRUE,TRUE,2,2,TRUE,-0.38122638206946663,-0.46045983091712855,-0.46651200190082415,0.6830232479001505,0.6309934284997343,0.6271860813603375,-0.5120049484647958,-0.5947559638831295,-0.6038249446719526,-0.25044781567413743,-0.32616369795112765,-0.32919905912969577,0.5992928222587676,0.5516971834797268,0.5467164714494546,0.7784521019519772,0.7216870390720059,0.7194997794912849,0.06672498445221133,0.0685196942521963,0.0700589112117546,1.1074236655683729e-8,1.815883649237417e-11,2.759724920027133e-11,3.999966131177939e-7,1.2705214132303472e-8,3.0568553030833886e-8,0.6352856612537239,0.21701448931234452,0.05642705568169961,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Unclassified,-0.46651200190082415,0.6271860813603375,0.5467164714494546,0.7194997794912849,-0.6038249446719526,-0.32919905912969577,0.0700589112117546,2.759724920027133e-11,3.0568553030833886e-8,0.05642705568169961,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.11873156630403,0.46651200190082415,9.243401235123986
DDC,ENSG00000132437.18,-1.7003611404692802,-1.6661161220014276,0.21356918928138496,8.329677565963838e-15,TRUE,-1,-3.0840942365643587,1.909002798926964e-35,5.366114330843712e-34,-1,TRUE,-3.2261870369353054,2.724808022301518e-21,4.7016295286771287e-20,-1,TRUE,TRUE,TRUE,2,2,TRUE,-0.37592167673655097,-0.4155695358933498,-0.4170476451847731,0.6866561120837642,0.6599643002906305,0.6589895215186183,-0.5072754503385568,-0.5513692520263549,-0.5566488825008351,-0.2445679031345451,-0.27976981976034465,-0.27744640786871116,0.6021338896543872,0.5761603612842471,0.5731264634596904,0.7830428154984277,0.755957727961821,0.7577161711393926,0.06701846290957779,0.06928684261760726,0.071226429881987,2.032339727944992e-8,1.99992444193278e-9,4.7632954692419524e-9,5.976517624744432e-7,3.2295687525341544e-7,9.44690794637647e-7,0.8246363239486523,0.32896749676252346,0.15749640782673807,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Metabolism,-0.4170476451847731,0.6589895215186183,0.5731264634596904,0.7577161711393926,-0.5566488825008351,-0.27744640786871116,0.071226429881987,4.7632954692419524e-9,9.44690794637647e-7,0.15749640782673807,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.7003611404692802,0.4170476451847731,8.78183018980297
GLYAT,ENSG00000149124.11,-1.5174808239268225,-1.4886799882108597,0.19423959725013185,2.5701033208732587e-14,TRUE,-1,-2.345229150059409,2.3875775769496223e-36,7.521589964245519e-35,-1,TRUE,-3.0334648938973636,3.479705023511038e-25,1.356314326029515e-23,-1,TRUE,TRUE,TRUE,2,2,TRUE,-0.34594686132895885,-0.38540833263391794,-0.3987985962068608,0.7075500843787372,0.6801728427239867,0.6711258550356348,-0.4732795103620516,-0.511036763544901,-0.5287489064815356,-0.2186142122958661,-0.25977990172293486,-0.26884828593218607,0.6229559242049333,0.5998733295057145,0.5893418303855698,0.8036316895826924,0.7712213116066232,0.7642591957245538,0.06496683104254795,0.06409731602311276,0.06630239703367319,1.009659829446132e-7,1.822759043963965e-9,1.8005965787191235e-9,1.9620465574558463e-6,3.18790963320645e-7,5.439438573712407e-7,0.9799942170794192,0.41757550116103054,0.10463739095848434,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Unclassified,-0.3987985962068608,0.6711258550356348,0.5893418303855698,0.7642591957245538,-0.5287489064815356,-0.26884828593218607,0.06630239703367319,1.8005965787191235e-9,5.439438573712407e-7,0.10463739095848434,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.5174808239268225,0.3987985962068608,8.748483734277325
KL,ENSG00000133116.8,-1.6393396573462955,-1.6195203618009648,0.1599234562515115,9.826182851926433e-24,TRUE,-1,-2.4495173085544577,2.401672777281093e-36,7.558390085204036e-35,-1,TRUE,-2.426454328769745,7.680470694543071e-22,1.4917586544239858e-20,-1,TRUE,TRUE,TRUE,2,2,TRUE,-0.40961791516422486,-0.43199741095291744,-0.4143562134600067,0.6639038692820842,0.649211057520966,0.6607655357615693,-0.5381239849226508,-0.5653793741791351,-0.5513495221798896,-0.2811118454057989,-0.29861544772669985,-0.2773629047401237,0.5838425229948997,0.5681445664887906,0.5761717289518554,0.7549438937519343,0.7418446326297949,0.7577794454520288,0.06556552608724725,0.06805327254904556,0.06989582961751784,4.171845926800827e-10,2.1823132181701677e-10,3.062798338819254e-9,3.4772368782530263e-8,7.251826823979469e-8,7.828983753766447e-7,0.7107445751709639,0.2408872335120643,0.1948643174723704,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Unclassified,-0.4143562134600067,0.6607655357615693,0.5761717289518554,0.7577794454520288,-0.5513495221798896,-0.2773629047401237,0.06989582961751784,3.062798338819254e-9,7.828983753766447e-7,0.1948643174723704,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.6393396573462955,0.4143562134600067,8.473842632193326
SPATA18,ENSG00000163071.11,1.6644510749564514,1.6595425556339791,0.11481149233067416,1.2412771345340318e-46,TRUE,1,0.7487162074752467,2.9143149231307543e-16,1.6469745082641477e-15,1,TRUE,1.3550647949788486,1.3268728106439664e-12,7.352591404101224e-12,1,TRUE,TRUE,TRUE,2,2,TRUE,-0.3878115921985762,-0.39168638692842034,-0.383409778306642,0.6785401734838844,0.6759160568355752,0.6815335643872742,-0.4992079957099017,-0.5091736845315592,-0.5023337657941147,-0.2764151886872507,-0.27419908932528153,-0.26448579081916923,0.6070112248769175,0.6009919826626137,0.6051168096450839,0.7584979456103103,0.7601807163285023,0.7676005557651863,0.05683594412448706,0.05994360025483308,0.06067661876724779,8.894102845845795e-12,6.392967432479594e-11,2.6342346371446686e-10,2.1426971114218166e-9,2.6554788472662113e-8,1.250508814175962e-7,0.8376591697594186,0.7351886106425913,0.736839316318689,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Unclassified,-0.383409778306642,0.6815335643872742,0.6051168096450839,0.7676005557651863,-0.5023337657941147,-0.26448579081916923,0.06067661876724779,2.6342346371446686e-10,1.250508814175962e-7,0.736839316318689,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.6644510749564514,0.383409778306642,8.320473570259631
RBM47,ENSG00000163694.15,-1.1026128043972716,-1.0973052662304683,0.0829110957318784,3.4776122468332216e-39,TRUE,-1,-0.9786751691732682,3.4852946474027225e-36,1.0658058260621958e-34,-1,TRUE,-0.964544528574704,1.4111713189133389e-19,1.8407981628698507e-18,-1,TRUE,TRUE,TRUE,2,2,TRUE,-0.4257494764272216,-0.422463091946278,-0.406043543125073,0.653279983657319,0.6554304445424891,0.6662811548295828,-0.546493016093499,-0.5458148414043404,-0.5314091944270252,-0.30500593676094423,-0.29911134248821564,-0.280677891823121,0.5789767161659364,0.5793694966923039,0.5877760949953241,0.7371189982793576,0.7414768469616452,0.7552715754535306,0.06160497877445048,0.06293572250870183,0.06396324233037974,4.813885198581292e-12,1.911708415934919e-11,2.180239419987269e-10,1.4542309558986938e-9,1.2705214132303472e-8,1.2074892654362825e-7,0.12460451532913214,0.02676524110479334,0.03994246936590942,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Unclassified,-0.406043543125073,0.6662811548295828,0.5877760949953241,0.7552715754535306,-0.5314091944270252,-0.280677891823121,0.06396324233037974,2.180239419987269e-10,1.2074892654362825e-7,0.03994246936590942,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.1026128043972716,0.406043543125073,8.192422724685382
PANK1,ENSG00000152782.16,-1.487264489340242,-1.4727604141173936,0.13479494636096423,2.5398256989087052e-27,TRUE,-1,-0.973737281943896,3.30729988958142e-33,7.397484910168042e-32,-1,TRUE,-1.539310028910279,5.527400043499938e-21,9.033350928234184e-20,-1,TRUE,TRUE,TRUE,2,2,TRUE,-0.5352030465217477,-0.4986741199540799,-0.4732407037257613,0.585550384104673,0.6073353799749657,0.6229800994979866,-0.6840578194652047,-0.6495461701869717,-0.626234913435089,-0.3863482735782906,-0.3478020697211881,-0.3202464940164337,0.5045653973886932,0.5222827504670747,0.5346008349615079,0.6795338207883483,0.7062386483939392,0.7259700677393544,0.07594770828321568,0.07697695030263378,0.07805970462525155,1.8282416580646612e-12,9.280696330199361e-11,1.339818297897467e-9,8.67892432821267e-10,3.4266393228058314e-8,4.4522162039132833e-7,0.7629229925779978,0.3051535118019743,0.3007884399605408,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Unclassified,-0.4732407037257613,0.6229800994979866,0.5346008349615079,0.7259700677393544,-0.626234913435089,-0.3202464940164337,0.07805970462525155,1.339818297897467e-9,4.4522162039132833e-7,0.3007884399605408,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.487264489340242,0.4732407037257613,7.9597997926115
GJB1,ENSG00000169562.13,-1.4671804841832965,-1.4472395705904917,0.16229885722426815,9.257993695212607e-19,TRUE,-1,-1.3689824870792098,1.1692968150459496e-45,1.216457158350461e-43,-1,TRUE,-1.8533203396129423,1.8370589777002304e-29,2.5096038127064156e-27,-1,TRUE,TRUE,TRUE,2,2,TRUE,-0.4129555060983059,-0.413226381090322,-0.4272749730657404,0.6616917234193738,0.6615125119521236,0.6522841669888453,-0.5457474236134449,-0.5499885574161956,-0.5680845666064064,-0.2801635885831669,-0.2764642047644485,-0.28646537952507445,0.5794085578205759,0.5769564122148139,0.566609703096362,0.755660113976578,0.7584607679276134,0.7509130750483677,0.06775222328705258,0.069777902759763,0.07184294948853862,1.093798590866854e-9,3.180041343504904e-9,2.725227614008019e-9,6.608532213546467e-8,4.064337455564152e-7,7.54660946779054e-7,0.5992064431687778,0.17537153646647738,0.05705100752767134,520,525,517,171,171,170,expr;age;sex;grade,expr;age;sex;stage,expr;age;sex;stage;grade,0,0,0,NA,NA,NA,Unclassified,-0.4272749730657404,0.6522841669888453,0.566609703096362,0.7509130750483677,-0.5680845666064064,-0.28646537952507445,0.07184294948853862,2.725227614008019e-9,7.54660946779054e-7,0.05705100752767134,517,170,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.4671804841832965,0.4272749730657404,7.9170601360216715
