symbol,tcga_gene_id,primary_log2fc,paired_log2fc,paired_padj,paired_significant,same_direction
CYFIP2,ENSG00000055163.20,-2.281149711391933,-2.027439438834006,3.657605641535423e-53,TRUE,TRUE
CRYL1,ENSG00000165475.15,-1.0664355766496707,-0.8532665078268156,4.8840753377501706e-15,FALSE,TRUE
HHLA2,ENSG00000114455.13,3.11873156630403,4.26045601171499,6.646877848751158e-51,TRUE,TRUE
DDC,ENSG00000132437.18,-1.7003611404692802,-0.5074816332576038,0.1108890936790787,FALSE,TRUE
KL,ENSG00000133116.8,-1.6393396573462955,-1.2684531100195091,9.634270079871982e-16,TRUE,TRUE
RBM47,ENSG00000163694.15,-1.1026128043972716,-0.9710354949940124,6.147434003980505e-35,FALSE,TRUE
PANK1,ENSG00000152782.16,-1.487264489340242,-1.4700869398055278,1.0609490756751736e-26,TRUE,TRUE
GJB1,ENSG00000169562.13,-1.4671804841832965,-1.396106861346627,1.791527993337704e-16,TRUE,TRUE
ACADM,ENSG00000117054.14,-1.5448144413983544,-1.17172622527236,3.3077807467557067e-26,TRUE,TRUE
CLCN5,ENSG00000171365.17,-1.4344904567828498,-1.3394342267494648,5.836788790731466e-24,TRUE,TRUE
TMEM140,ENSG00000146859.6,1.3873551467780825,1.66876055619696,5.80759792954812e-99,TRUE,TRUE
C1QTNF6,ENSG00000133466.14,2.326695021877266,1.9026463697687537,8.135917208608649e-72,TRUE,TRUE
CADPS2,ENSG00000081803.16,-1.6281903545786902,-1.461326442247158,1.6197666792872964e-76,TRUE,TRUE
KNTC1,ENSG00000184445.12,1.15604029023953,0.8237210706351739,3.2787024132678876e-22,FALSE,TRUE
PODXL,ENSG00000128567.17,-1.368538589150184,-1.007912972168158,3.5148802629047825e-10,TRUE,TRUE
HIBCH,ENSG00000198130.16,-1.2854921757226656,-1.047643615371305,2.588115821070063e-18,TRUE,TRUE
TNIP1,ENSG00000145901.16,1.0467509822977,1.1369736512825972,3.2686216841001806e-51,TRUE,TRUE
TCIRG1,ENSG00000110719.10,1.4554861719595853,1.0145525866825054,2.120515430362346e-23,TRUE,TRUE
LTB4R,ENSG00000213903.9,2.5859607018151056,1.6024735412847424,3.596740570158713e-55,TRUE,TRUE
LRBA,ENSG00000198589.14,-1.250798957117597,-0.9534921296274362,1.681260769857968e-31,FALSE,TRUE
GRAMD1A,ENSG00000089351.14,1.3173645507784109,1.1760487138009568,2.8437233986018708e-61,TRUE,TRUE
IFFO1,ENSG00000010295.20,1.7787928189403293,1.2922128520320977,4.326274375404101e-41,TRUE,TRUE
TNFAIP2,ENSG00000185215.11,1.2899352747304058,0.9097980354126556,8.573432921244106e-14,FALSE,TRUE
