symbol,tier,pathway_class,main_hr,main_hr_ci_low,main_hr_ci_high,main_log_hr,main_fdr,main_ph_p_value,main_n,main_events,ph_diagnostic_p_ge_0_05,main_warning_count,main_warning_text,stage_complete_log_hr,stage_complete_p_value,grade_complete_log_hr,grade_complete_p_value,sensitivity_pass
SPATA18,strict_only,Unclassified,0.6815335643872742,0.6051168096450839,0.7676005557651863,-0.383409778306642,1.250508814175962e-7,0.736839316318689,517,170,TRUE,0,NA,-0.39168638692842034,6.392967432479594e-11,-0.3878115921985762,8.894102845845795e-12,TRUE
IQGAP2,strict_only,Unclassified,0.670331440558702,0.5896356104629227,0.7620710693655773,-0.3999830015135524,3.6361464557693185e-7,0.09696431767590025,517,170,TRUE,0,NA,-0.4215947319631435,5.6703649549873154e-11,-0.42505363015577285,3.3736175997176924e-11,TRUE
GLYAT,strict_only,Unclassified,0.6711258550356348,0.5893418303855698,0.7642591957245538,-0.3987985962068608,5.439438573712407e-7,0.10463739095848434,517,170,TRUE,0,NA,-0.38540833263391794,1.822759043963965e-9,-0.34594686132895885,1.009659829446132e-7,TRUE
CHDH,strict_only,Unclassified,0.6914507164381523,0.6110845466906738,0.7823861621963852,-0.3689634009332368,9.44690794637647e-7,0.38169039657828147,517,170,TRUE,0,NA,-0.37866579878526857,2.139286521422643e-9,-0.36208456312575305,4.394942789245473e-10,TRUE
RGS17,strict_only,Unclassified,1.4772382945756275,1.288638774570379,1.693440413267284,0.3901743274184662,3.118505761914799e-6,0.7137956210931996,517,170,TRUE,0,NA,0.4207905177962431,6.203666879074473e-10,0.5065524698540484,1.2059102584577428e-13,TRUE
ANK3,strict_only,Unclassified,0.702824863700257,0.6210560064548061,0.7953594907728022,-0.3526475452354263,3.1779409845492565e-6,0.33699046707521485,517,170,TRUE,0,NA,-0.37863115651470974,9.769984302085276e-10,-0.38763164023106106,6.088997606039383e-10,TRUE
TLR3,strict_only,Immune,0.6843465485841319,0.5982833544005042,0.7827899524771049,-0.37929083968655014,3.6438713409188103e-6,0.4936370694065613,517,170,TRUE,0,NA,-0.3464376309094629,2.97136544552614e-7,-0.3607434136313084,5.28332140594821e-8,TRUE
TEK,strict_only,Unclassified,0.6685386397276678,0.5793868855063782,0.7714084042794582,-0.40266108347078944,3.757491126479207e-6,0.4211877126998294,517,170,TRUE,0,NA,-0.4228546602954152,1.3858188879640222e-9,-0.4508755664342121,1.703763391323511e-10,TRUE
TROAP,strict_only,Unclassified,1.4939526314801144,1.2940823238357344,1.7246927989023877,0.4014253803713814,4.08255487434012e-6,0.9963347915313668,517,170,TRUE,0,NA,0.4178093590715968,1.1368598006430916e-8,0.4688811065711726,2.544137779925297e-12,TRUE
FUT6,strict_only,Unclassified,0.6681111272532735,0.5779025843240582,0.7724009036604983,-0.4033007611178931,4.415510186849692e-6,0.2481223267450381,517,170,TRUE,0,NA,-0.39479257282693814,3.0600585036155125e-8,-0.3849335692168237,2.0616919880357932e-8,TRUE
GATM,strict_only,Unclassified,0.6904429260678143,0.6039511450443543,0.7893211861069913,-0.37042196549711415,4.710585633141151e-6,0.38161087860859866,517,170,TRUE,0,NA,-0.35540926062919215,3.1635497818484735e-8,-0.3681997374995573,3.3985680047795185e-8,TRUE
SLC7A9,strict_only,Unclassified,0.6726485786299152,0.5822330069803648,0.7771048788171913,-0.3965322571429608,5.263289316083222e-6,0.9825793871791888,517,170,TRUE,0,NA,-0.3802697189781212,1.210425431412209e-7,-0.3209891781732238,2.4357986852147316e-6,TRUE
PBLD,strict_only,Unclassified,0.6723882938769133,0.5819710532846853,0.7768531015262501,-0.396919287062469,5.263289316083222e-6,0.985234417328116,517,170,TRUE,0,NA,-0.40431535651554906,1.8383023981997705e-8,-0.3836725137026435,1.316385634532213e-7,TRUE
ARHGAP24,strict_only,Unclassified,0.6983239289260363,0.6120679659741577,0.7967355535991004,-0.35907220231637876,6.150236302165394e-6,0.1991329560632088,517,170,TRUE,0,NA,-0.3833851480741065,6.0781314588197765e-9,-0.42075598258632385,7.987347867213542e-12,TRUE
TLN2,strict_only,Unclassified,0.6961423079110953,0.609424560311258,0.7951995118415871,-0.3622011741584116,6.150236302165394e-6,0.10046399734630966,517,170,TRUE,0,NA,-0.3553697554878258,8.298571233101612e-8,-0.3910031327374277,1.180364903764735e-9,TRUE
LYPD6,strict_only,Unclassified,1.4629106730843928,1.2720272454776669,1.6824385208986512,0.38042806281532776,6.150236302165394e-6,0.560693617738414,517,170,TRUE,0,NA,0.3587473473384174,4.552381424008168e-7,0.33150880231961494,5.263766624938348e-7,TRUE
EMCN,strict_only,Unclassified,0.6668968944883441,0.5748053187763918,0.773742784469976,-0.4051198259923793,6.150236302165394e-6,0.39539891086045464,517,170,TRUE,0,NA,-0.4358113752531364,1.4830850067842082e-9,-0.4353381296545734,2.7661689646367743e-9,TRUE
CLDN10,strict_only,Unclassified,0.7165255109882941,0.6331451714237027,0.8108863986794288,-0.33334142733966715,7.36010265721646e-6,0.27608567175614845,517,170,TRUE,0,NA,-0.3397669559682919,3.909974659552376e-8,-0.3307562015044299,1.3838734107788931e-8,TRUE
CSNK1E,strict_only,Unclassified,1.4835384601213029,1.2815404051196888,1.7173757096277709,0.39443008567140014,7.36010265721646e-6,0.091494184082115515,517,170,TRUE,0,NA,0.39374749967792017,1.219329849473395e-7,0.4006359296345139,2.4767405548777707e-8,TRUE
MIAT,strict_only,Unclassified,1.4903239482642994,1.2839736170315823,1.7298373123156294,0.3989935112686471,8.551979339267525e-6,0.13616296034117828,517,170,TRUE,0,NA,0.4143770248653833,3.838911465500743e-8,0.4458011880331637,4.834375682434089e-9,TRUE
CCNF,strict_only,Unclassified,1.4519470064211992,1.262762007816993,1.6694754010694053,0.37290541878147726,8.824119755347088e-6,0.6318378148457996,517,170,TRUE,0,NA,0.39726261622611087,1.3945484578471896e-8,0.4323009483814879,1.4064002218592852e-11,TRUE
CEL,strict_only,Metabolism,1.3733244491575127,1.2187889578614246,1.547454159712058,0.3172344056123373,9.734896119954547e-6,0.06819104471635173,517,170,TRUE,0,NA,0.2958984346545666,2.3501101281944128e-6,0.25797671709942965,4.442771956826139e-6,TRUE
AGXT2,strict_only,Unclassified,0.6907132148987292,0.60045914206745,0.794533236005168,-0.3700305704529939,1.0888535686039695e-5,0.3353270786485634,517,170,TRUE,0,NA,-0.3625632504276547,2.027481180630232e-7,-0.3544759484214712,1.4020524013017128e-7,TRUE
CDH13,strict_only,Immune,0.7015773838917387,0.6133316925861412,0.8025197972616523,-0.3544240734897065,1.1255423105558152e-5,0.2835551503237309,517,170,TRUE,0,NA,-0.36667656281636907,6.226468203442496e-8,-0.3810532332111168,2.5132075065128804e-8,TRUE
PAQR5,strict_only,Unclassified,0.7070809628940353,0.6198951006346636,0.806529181429699,-0.34661010352600125,1.1411722343965997e-5,0.20597356284878,517,170,TRUE,0,NA,-0.372644898083588,1.1788669622930037e-8,-0.3911301562721687,7.06666831648461e-10,TRUE
SLC5A12,strict_only,Unclassified,0.680976598816355,0.5877639877538565,0.7889716583481654,-0.3842273363946237,1.3653295546111364e-5,0.8297922915749399,517,170,TRUE,0,NA,-0.39036422458301134,1.4477534788271848e-7,-0.35610080827178103,7.076897406956357e-7,TRUE
ST6GALNAC3,strict_only,Unclassified,0.6794244462641119,0.5854372064691615,0.7885005822663087,-0.38650924176565055,1.5412540402008072e-5,0.454395543171999,517,170,TRUE,0,NA,-0.4054465433229254,3.378693556304913e-8,-0.4184971199287893,7.26010042774982e-8,TRUE
PDGFD,strict_only,Unclassified,0.7016924513227425,0.6119366696044575,0.804613158027575,-0.35426007448057206,1.6463005308540694e-5,0.7515671763542894,517,170,TRUE,0,NA,-0.37194959697847,3.8030623685638847e-8,-0.4153985182414335,4.5587916978719375e-9,TRUE
VWF,strict_only,Unclassified,0.6834465446873914,0.5897899701653385,0.7919754540996864,-0.3806068340881252,1.7176546673779324e-5,0.2530910286483258,517,170,TRUE,0,NA,-0.3904176853285762,1.3624257259674974e-7,-0.419701743053756,1.2298141400143262e-8,TRUE
AURKB,strict_only,Unclassified,1.465021180092484,1.2635965660644963,1.6985540446696843,0.3818696997655363,1.7176546673779324e-5,0.6587741655152346,517,170,TRUE,0,NA,0.41067909628797705,2.6340462382707172e-8,0.4727695907146848,9.02731253683582e-12,TRUE
CDCA3,strict_only,Unclassified,1.4515587161849055,1.254828058769603,1.6791326045086774,0.37263795573803626,2.0751191643281212e-5,0.6175679738703709,517,170,TRUE,0,NA,0.3977327718786422,5.5289060503004784e-8,0.4990936652686114,4.017068569381679e-13,TRUE
SIM2,strict_only,Unclassified,1.393853748531557,1.2236893762592889,1.5876809180402698,0.332072391864183,2.178724925768697e-5,0.4696484958389262,517,170,TRUE,0,NA,0.32152870732139377,1.2254904448796384e-6,0.3457224073727207,1.358979842593627e-7,TRUE
SUCLA2,strict_only,Metabolism,0.677620159885252,0.5814318641252113,0.7897212199984149,-0.3891683841901003,2.2944176588173777e-5,0.2724048768890899,517,170,TRUE,0,NA,-0.4060482349467492,1.1806193902895053e-7,-0.4178764271834178,7.581616047639828e-9,TRUE
