symbol,n,events,linear_log_hr,nonlinear_lrt_p,time_varying_lrt_p,time_varying_coefficient,nonlinear_fdr,time_varying_fdr
CYFIP2,517,170,-0.4373207095360415,0.09071968957780889,0.35160291386322456,-0.050421745544441135,0.6955176200965348,0.8131669538098262
CRYL1,517,170,-0.45035105629036676,0.4331094897966904,0.6793487492724737,-0.022598069730413613,0.804654695746042,0.8131669538098262
HHLA2,517,170,-0.4534307797409708,0.5463701487431326,0.265205036744489,-0.06373371015660435,0.804654695746042,0.8131669538098262
DDC,517,170,-0.40711932946782187,0.6940130784355015,0.4103038987558902,-0.048292257619729724,0.804654695746042,0.8131669538098262
KL,517,170,-0.4076926451777757,0.6996997354313409,0.5744846752045684,-0.031055670944074337,0.804654695746042,0.8131669538098262
RBM47,517,170,-0.4019760009591535,0.17485622865171827,0.16390700326125002,-0.07919208170560765,0.804654695746042,0.8131669538098262
PANK1,517,170,-0.4755956336922395,0.32251734781250774,0.7469256555633721,-0.02087202579535648,0.804654695746042,0.8180614322836933
GJB1,517,170,-0.41480227071927783,0.564779796224871,0.18435213239161422,-0.07630126479889786,0.804654695746042,0.8131669538098262
ACADM,517,170,-0.4474548085551104,0.21126326547430938,0.41267284432303303,-0.05369088700670902,0.804654695746042,0.8131669538098262
CLCN5,517,170,-0.4175075158096139,0.46939710951851404,0.3656746757856819,0.056820393275976544,0.804654695746042,0.8131669538098262
TMEM140,517,170,-0.40711838586219457,0.6540332481237906,0.9293172903629154,0.005015122942744254,0.804654695746042,0.9293172903629154
C1QTNF6,517,170,0.4243687281019968,0.5125188728164999,0.2614778818867876,0.07229849022543851,0.804654695746042,0.8131669538098262
CADPS2,517,170,-0.4082217406069029,0.26714922881630715,0.6661502148475005,-0.024362849700116082,0.804654695746042,0.8131669538098262
KNTC1,517,170,0.4111418947474111,0.7770786662026755,0.631003644130771,-0.029433462921187006,0.8510861582219781,0.8131669538098262
PODXL,517,170,-0.410039455452646,0.4027689463021309,0.6124940632003244,-0.03235198264682965,0.804654695746042,0.8131669538098262
HIBCH,517,170,-0.4073597531238157,0.9833181733476826,0.5672851283062865,-0.03958263813781398,0.9833181733476826,0.8131669538098262
TNIP1,517,170,-0.40813405684561865,0.4823284640707377,0.529316541965529,-0.03965433534277881,0.804654695746042,0.8131669538098262
TCIRG1,517,170,0.4263843659361591,0.454683799345269,0.5193751765037097,0.045044021006254015,0.804654695746042,0.8131669538098262
LTB4R,517,170,0.403671237057426,0.07757527931460433,0.35964016569831453,0.06354487647585105,0.6955176200965348,0.8131669538098262
LRBA,517,170,-0.4197927082011577,0.9581316946727795,0.7071016989650662,-0.025526992895363233,0.9833181733476826,0.8131669538098262
GRAMD1A,517,170,0.40463019308440396,0.667350047812122,0.8050242131622024,0.016706362641166882,0.804654695746042,0.8416162228513934
IFFO1,517,170,0.4018079772831342,0.48575606754903095,0.673686822373111,0.02958001948413484,0.804654695746042,0.8131669538098262
TNFAIP2,517,170,0.40750292907212804,0.002345387980866043,0.5311528436703222,-0.04760136710606519,0.053943923559918984,0.8131669538098262
