published_symbol,subtype,sign,mapped_symbol
MAPT,ccA,-1,MAPT
STK32B,ccA,-1,STK32B
FZD1,ccA,-1,FZD1
RGS5,ccA,-1,RGS5
GIPC2,ccA,-1,GIPC2
PDGFD,ccA,-1,PDGFD
EPAS1,ccA,-1,EPAS1
MAOB,ccA,-1,MAOB
CDH5,ccA,-1,CDH5
TCEA3,ccA,-1,TCEA3
LEPROTL1,ccA,-1,LEPROTL1
BNIP3L,ccA,-1,BNIP3L
EHBP1,ccA,-1,EHBP1
VCAM1,ccA,-1,VCAM1
PHYH,ccA,-1,PHYH
PRKAA2,ccA,-1,PRKAA2
SLC4A4,ccA,-1,SLC4A4
ESD,ccA,-1,ESD
TLR3,ccA,-1,TLR3
NRP1,ccA,-1,NELL1
C11orf1,ccA,-1,CFAP68
ST13,ccA,-1,ST13
ARNT,ccA,-1,ARNT
C13orf1,ccA,-1,SPRYD7
SERPINA3,ccB,1,SERPINA3
SLC4A3,ccB,1,SLC4A3
MOXD1,ccB,1,MOXD1
KCNN4,ccB,1,KCNN4
ROR2,ccB,1,RORA
FLJ23867,ccB,1,FLJ23867
FOXM1,ccB,1,FOXM1
UNG2,ccB,1,UNG
GALNT10,ccB,1,GALNT10
GALNT4,ccB,1,GALNT4
