symbol,adjustment,fdr,log_hr,failed_marker
CRYL1,marker scores,0.00234669905158075,-0.34975507204694006,FALSE
CYFIP2,marker scores,0.00234669905158075,-0.2884131006372785,FALSE
HHLA2,marker scores,0.00526297889456783,-0.31076926374818475,FALSE
PANK1,marker scores,0.00234669905158075,-0.352592651568289,FALSE
ACADM,marker scores,0.00667670976593395,-0.27805316574380534,FALSE
RBM47,marker scores,0.00196911113544793,-0.28559888667551164,FALSE
KL,marker scores,0.10545415876311402,-0.18131360789914333,TRUE
GJB1,marker scores,0.05173659382161495,-0.21538825263634775,TRUE
DDC,marker scores,0.11771775826648624,-0.20466067197116675,TRUE
KNTC1,marker scores,0.01641549639225889,0.23974294142095043,FALSE
C1QTNF6,marker scores,0.00234669905158075,0.3144439812261868,FALSE
CLCN5,marker scores,0.05173659382161495,-0.22457656520181404,TRUE
TNIP1,marker scores,0.00460116752601851,-0.2709588848991511,FALSE
CADPS2,marker scores,0.00356269105583552,-0.25005324416908775,FALSE
TMEM140,marker scores,0.00502212970785244,-0.25868819081221184,FALSE
LRBA,marker scores,0.0052853107971037,-0.2686723426804396,FALSE
TCIRG1,marker scores,0.00234669905158075,0.3800958816444982,FALSE
PODXL,marker scores,0.3388560826130368,-0.1848865155099791,TRUE
LTB4R,marker scores,0.00234669905158075,0.3041292172105371,FALSE
IFFO1,marker scores,0.00487925118513611,0.28936567086847836,FALSE
HIBCH,marker scores,0.10545415876311402,-0.20973676049350032,TRUE
GRAMD1A,marker scores,0.03214868085067399,0.2102363686978581,FALSE
TNFAIP2,marker scores,0.00196911113544793,0.3708153409385944,FALSE
CYFIP2,consensus purity,1.5455513395716228e-10,-0.4378171320130012,FALSE
CRYL1,consensus purity,2.04163730742586e-10,-0.4483173259006355,FALSE
HHLA2,consensus purity,2.04163730742586e-10,-0.4656292569616377,FALSE
RBM47,consensus purity,2.1171044881543078e-9,-0.4006800965170814,FALSE
PANK1,consensus purity,7.919684146659952e-9,-0.4905282006868715,FALSE
KL,consensus purity,1.916889690654838e-8,-0.40604923178565255,TRUE
GJB1,consensus purity,1.916889690654838e-8,-0.41136686924289834,TRUE
ACADM,consensus purity,2.3081164421946554e-8,-0.4483131150554239,FALSE
DDC,consensus purity,2.3597150174070377e-8,-0.4041690862875662,TRUE
KNTC1,consensus purity,1.5371852025328337e-7,0.406217521248025,FALSE
TMEM140,consensus purity,1.7365800669988633e-7,-0.404587774784886,FALSE
CLCN5,consensus purity,1.8517441571899514e-7,-0.4296904356559305,TRUE
C1QTNF6,consensus purity,2.1224334879054765e-7,0.4277730475818599,FALSE
CADPS2,consensus purity,2.1224334879054765e-7,-0.4034989441212815,FALSE
PODXL,consensus purity,2.1224334879054765e-7,-0.41916951367607713,TRUE
TNIP1,consensus purity,3.003590177956194e-7,-0.40406944173068265,FALSE
LRBA,consensus purity,8.792151223677897e-7,-0.4158178588242626,FALSE
TCIRG1,consensus purity,9.434132399485624e-7,0.4550657632202778,FALSE
LTB4R,consensus purity,1.3867595803947628e-6,0.3986728802200585,FALSE
IFFO1,consensus purity,3.620043676547192e-6,0.39971679233895857,FALSE
GRAMD1A,consensus purity,3.646120840534906e-6,0.39738681485552646,FALSE
HIBCH,consensus purity,3.6474489815714822e-6,-0.4232903679931724,TRUE
TNFAIP2,consensus purity,1.4397043323849407e-5,0.404765052216273,FALSE
