symbol,list,rank,abs_tcga_log2fc,abs_log_hr,main_fdr,strict_candidate,high_confidence_candidate,appears_in_both_lists
THBS3,top_abs_survival_effect,1,1.424040166292848,0.5012667655563798,1.348370964118001e-7,FALSE,FALSE,FALSE
RPL36A,top_abs_survival_effect,2,1.3785035454093406,0.49832719489266,9.956818866808277e-8,FALSE,FALSE,FALSE
PANK1,top_abs_survival_effect,3,1.487264489340242,0.4732407037257613,4.4522162039132833e-7,TRUE,TRUE,FALSE
CNTNAP1,top_abs_survival_effect,4,1.6001902321435877,0.4720031197830695,3.44578061225781e-6,FALSE,FALSE,FALSE
MICALL2,top_abs_survival_effect,5,2.062912283706249,0.4692613416896022,1.7101187696715611e-6,FALSE,FALSE,FALSE
HHLA2,top_abs_survival_effect,6,3.11873156630403,0.46651200190082415,3.0568553030833886e-8,TRUE,TRUE,FALSE
NOL12,top_abs_survival_effect,7,1.618443652091885,0.45854635450367504,2.1894314784759866e-6,FALSE,FALSE,FALSE
CRYL1,top_abs_survival_effect,8,1.0664355766496707,0.4562451822719112,1.975230044002204e-8,TRUE,TRUE,FALSE
CHTF18,top_abs_survival_effect,9,1.558275678779278,0.4518423741925809,9.761000868128231e-7,FALSE,FALSE,FALSE
GSDMB,top_abs_survival_effect,10,1.8870535110118132,0.4509376682113403,5.1188944122456276e-6,FALSE,FALSE,FALSE
ACADM,top_abs_survival_effect,11,1.5448144413983544,0.4484141243283115,9.375513631424824e-7,TRUE,TRUE,FALSE
MAP3K12,top_abs_survival_effect,12,1.3325109687935033,0.44270506480298766,3.254676388478218e-6,FALSE,FALSE,FALSE
PRCD,top_abs_survival_effect,13,1.0608734905536714,0.4422467552794567,5.183976132482635e-6,FALSE,FALSE,FALSE
CYFIP2,top_abs_survival_effect,14,2.281149711391933,0.4403276873957715,1.6496039075833828e-8,TRUE,TRUE,FALSE
C1QTNF6,top_abs_survival_effect,15,2.326695021877266,0.43509983532112984,4.415510186849692e-6,TRUE,TRUE,FALSE
PIF1,top_abs_survival_effect,16,2.2739254128905153,0.4315035944778637,9.44690794637647e-7,FALSE,FALSE,FALSE
CHFR,top_abs_survival_effect,17,1.1117526034919796,0.4298743062916482,7.140946014222073e-6,FALSE,FALSE,FALSE
CLK2,top_abs_survival_effect,18,1.0489344803455116,0.42856388305285503,4.710585633141151e-6,FALSE,FALSE,FALSE
KRTCAP2,top_abs_survival_effect,19,2.257200563855636,0.42787831660995057,6.150236302165394e-6,FALSE,FALSE,FALSE
