symbol,cohort,log_hr,ci_low,ci_high,label
CYFIP2,TCGA-KIRC,-0.4403276873957715,-0.5652845220047544,-0.3153708527867886,CYFIP2
CRYL1,TCGA-KIRC,-0.4562451822719112,-0.5881062415918767,-0.32438412295194574,CRYL1
HHLA2,TCGA-KIRC,-0.46651200190082415,-0.6038249446719526,-0.3291990591296957,HHLA2
DDC,TCGA-KIRC,-0.4170476451847731,-0.5566488825008351,-0.2774464078687112,DDC *
KL,TCGA-KIRC,-0.4143562134600067,-0.5513495221798896,-0.27736290474012376,KL
RBM47,TCGA-KIRC,-0.406043543125073,-0.53140919442702506,-0.280677891823121,RBM47
PANK1,TCGA-KIRC,-0.4732407037257613,-0.626234913435089,-0.3202464940164337,PANK1
GJB1,TCGA-KIRC,-0.4272749730657404,-0.5680845666064063,-0.2864653795250745,GJB1
ACADM,TCGA-KIRC,-0.4484141243283115,-0.5977234044955645,-0.2991048441610586,ACADM
CLCN5,TCGA-KIRC,-0.4176541545204886,-0.5683636785889622,-0.2669446304520149,CLCN5
TMEM140,TCGA-KIRC,-0.4073424327415841,-0.5537150783371445,-0.2609697871460236,TMEM140
C1QTNF6,TCGA-KIRC,0.43509983532112984,0.2786488500440201,0.5915508205982395,C1QTNF6
CADPS2,TCGA-KIRC,-0.41010601450174866,-0.5586208249432008,-0.26159120406029657,CADPS2
KNTC1,TCGA-KIRC,0.41317926152804135,0.26547372126259505,0.5608848017934877,KNTC1
PODXL,TCGA-KIRC,-0.41295393620776416,-0.5674306922498701,-0.25847718016565824,PODXL
HIBCH,TCGA-KIRC,-0.4099623749107515,-0.5794150071003143,-0.2405097427211888,HIBCH
TNIP1,TCGA-KIRC,-0.414945866298316,-0.5676409834679742,-0.26225074912865787,TNIP1
TCIRG1,TCGA-KIRC,0.4257531411377312,0.2599995189830988,0.5915067632923636,TCIRG1 *
LTB4R,TCGA-KIRC,0.4152348937982004,0.25108188269341214,0.5793879049029884,LTB4R
LRBA,TCGA-KIRC,-0.42337150345977026,-0.5852191158200298,-0.26152389109951074,LRBA
GRAMD1A,TCGA-KIRC,0.4057580580941821,0.24135016508555385,0.5701659511028103,GRAMD1A
IFFO1,TCGA-KIRC,0.4086497996244981,0.2416877182170396,0.5756118810319565,IFFO1
TNFAIP2,TCGA-KIRC,0.42728551519013547,0.23991968691923632,0.6146513434610343,TNFAIP2
ACADM,GSE29609,0.3741311786226243,-0.06556978241881614,0.8138321396640645,ACADM
C1QTNF6,GSE29609,-0.3867307601447098,-0.9199280748236145,0.14646655453419502,C1QTNF6
CADPS2,GSE29609,-0.33808531497175026,-0.849280639260972,0.17311000931747145,CADPS2
CLCN5,GSE29609,0.5220036332117834,0.03643771840086242,1.0075695480227045,CLCN5
CRYL1,GSE29609,0.34405317944990815,-0.11124363146920607,0.7993499903690224,CRYL1
CYFIP2,GSE29609,0.35907083247409527,-0.1473802967099341,0.8655219616581247,CYFIP2
DDC,GSE29609,0.8301386856599177,0.30256388827099745,1.3577134830488382,DDC *
GJB1,GSE29609,-0.06416747452303483,-0.6422383508984221,0.5139034018523523,GJB1
GRAMD1A,GSE29609,0.02972420456905957,-0.38252662944438454,0.44197503858250364,GRAMD1A
HHLA2,GSE29609,0.4514257351737937,-0.07822742183083958,0.9810788921784271,HHLA2
HIBCH,GSE29609,0.2855619338449482,-0.15078004569965361,0.7219039133895501,HIBCH
KNTC1,GSE29609,-0.25794274703216596,-0.7472100805137145,0.23132458644938264,KNTC1
LRBA,GSE29609,0.40494740499473175,-0.055012412212249055,0.8649072222017123,LRBA
LTB4R,GSE29609,0.17187667916761845,-0.4003361084196308,0.7440894667548676,LTB4R
PANK1,GSE29609,0.3246128267607624,-0.1751552082580932,0.824380861779618,PANK1
PODXL,GSE29609,0.19689746508539877,-0.2294774730285924,0.6232724031993897,PODXL
RBM47,GSE29609,0.5558203907609339,0.1149973536250571,0.9966434278968105,RBM47
TCIRG1,GSE29609,-0.7659006109987655,-1.2242430816681424,-0.30755814032938855,TCIRG1 *
TMEM140,GSE29609,0.14466109252650103,-0.3098940242558021,0.5992162093088043,TMEM140
TNFAIP2,GSE29609,0.03767974552637499,-0.44209507154832156,0.5174545626010717,TNFAIP2
TNIP1,GSE29609,0.40202737908897784,-0.11355876268240418,0.91761352086036,TNIP1
ACADM,E-MTAB-1980,-0.6564527051716585,-1.0897276027143534,-0.22317780762896378,ACADM
C1QTNF6,E-MTAB-1980,0.2833680281921315,-0.130310767016575,0.6970468234008379,C1QTNF6
CADPS2,E-MTAB-1980,-0.28474986809950903,-0.7266656474958015,0.1571659112967835,CADPS2
CLCN5,E-MTAB-1980,-0.548321826880415,-0.9587837052667603,-0.13785994849406966,CLCN5
CRYL1,E-MTAB-1980,-0.6765943634233695,-1.0716917254493632,-0.28149700139737605,CRYL1
DDC,E-MTAB-1980,-0.6310423539514355,-0.9849945845132577,-0.2770901233896132,DDC *
GJB1,E-MTAB-1980,-0.7475769967189155,-1.1148235347940485,-0.3803304586437825,GJB1
GRAMD1A,E-MTAB-1980,0.22893550358398912,-0.21036078077796483,0.668231787945943,GRAMD1A
HHLA2,E-MTAB-1980,-0.3351974219437983,-0.7065451108296672,0.03615026694207046,HHLA2
HIBCH,E-MTAB-1980,-0.6370928957855956,-1.1301118151369207,-0.14407397643427045,HIBCH
IFFO1,E-MTAB-1980,0.0938524804636526,-0.3266069743937337,0.514311935321039,IFFO1
KL,E-MTAB-1980,-0.5074587069755868,-0.8434139573438902,-0.1715034566072834,KL
KNTC1,E-MTAB-1980,0.987533138049533,0.6297947444585348,1.345271531640531,KNTC1
LRBA,E-MTAB-1980,-0.3584281640198857,-0.8058728596869074,0.08901653164713615,LRBA
LTB4R,E-MTAB-1980,0.32504800777152887,-0.12176769582562487,0.7718637113686826,LTB4R
PANK1,E-MTAB-1980,-0.5263700329697365,-0.955312643845563,-0.09742742209390999,PANK1
PODXL,E-MTAB-1980,-0.7327433557986237,-1.0624550015695817,-0.4030317100276655,PODXL
RBM47,E-MTAB-1980,-0.40572733832828306,-0.8269441393733885,0.01548946271682218,RBM47
TCIRG1,E-MTAB-1980,0.7344246635611534,0.3118022403968665,1.1570470867254403,TCIRG1 *
TMEM140,E-MTAB-1980,-0.4113594889335694,-0.7654747272963285,-0.0572442505708103,TMEM140
TNFAIP2,E-MTAB-1980,-0.009783479846663,-0.43046646208511785,0.41089950239179185,TNFAIP2
TNIP1,E-MTAB-1980,-0.5602286470700154,-0.9055941191156371,-0.21486317502439362,TNIP1
