symbol,external_present,external_n,external_events,external_log_hr,external_hr,external_hr_ci_low,external_hr_ci_high,external_p_value,external_adjusted_log_hr,external_adjusted_p_value,external_same_direction,external_fdr,external_directional_nominal_support,external_interpretation,main_log_hr,main_hr,main_fdr,manuscript_role,survival_direction,tumor_direction
ACADM,TRUE,39,17,0.3741311786226243,1.4537278359648405,0.9365336908930558,2.2565388107328017,0.09537785076731042,0.21759583628067372,0.4648136734707665,FALSE,0.28613355230193127,FALSE,not externally supported in this small cohort,-0.4484141243283115,0.6386401528369687,9.375513631424824e-7,fatty-acid oxidation and mitochondrial metabolism,higher expression associated with lower hazard,lower in tumor
C1QTNF6,TRUE,39,17,-0.3867307601447098,0.6792739579306635,0.3985477056676774,1.1577362091441337,0.15515054425727928,-0.09444830042336146,0.7439910934370452,FALSE,0.30450071346976954,FALSE,not externally supported in this small cohort,0.43509983532112984,1.5451173085341128,4.415510186849692e-6,secreted inflammatory/metabolic risk,higher expression associated with higher hazard,higher in tumor
CADPS2,TRUE,39,17,-0.33808531497175026,0.7131344442579164,0.42772250808587986,1.1889968986269397,0.19489064731032255,-0.517475534075984,0.069522808496438,TRUE,0.30450071346976954,FALSE,same direction but not nominally significant,-0.41010601450174866,0.6635798973149913,4.925349015628294e-6,weak ccRCC-specific biological support,higher expression associated with lower hazard,lower in tumor
CLCN5,TRUE,39,17,0.5220036332117834,1.6854011947057654,1.0371097091550676,2.7389360663008713,0.035113841899140116,0.17723654020963317,0.5053019567293033,FALSE,0.1843476699704856,FALSE,opposite-direction nominal external signal,-0.4176541545204886,0.6585899594030037,4.710585633141151e-6,proximal-tubule endosomal/metabolic differentiation,higher expression associated with lower hazard,lower in tumor
CRYL1,TRUE,39,17,0.34405317944990815,1.4106536512981984,0.8947207402447463,2.2240947755124134,0.13858476524664073,-0.157511079936666,0.5641078797291591,FALSE,0.30450071346976954,FALSE,not externally supported in this small cohort,-0.4562451822719112,0.6336584562310958,1.9752300440022042e-8,renal metabolic differentiation,higher expression associated with lower hazard,lower in tumor
CYFIP2,TRUE,39,17,0.35907083247409527,1.4319982299569325,0.8629657319762886,2.376246071676148,0.16464952961916585,0.2542020233141335,0.29276930941297846,FALSE,0.30450071346976954,FALSE,not externally supported in this small cohort,-0.4403276873957715,0.6438254130397608,1.6496039075833828e-8,cytoskeletal and broad tumor-suppressor-like signal,higher expression associated with lower hazard,lower in tumor
DDC,TRUE,39,17,0.8301386856599177,2.293636812742614,1.3533241351983887,3.8872947669679316,0.0020423596773671577,0.8027227013763872,0.0145415376501259,FALSE,0.021444776612355155,FALSE,opposite-direction nominal external signal,-0.4170476451847731,0.6589895215186183,9.44690794637647e-7,amino-acid and biogenic-amine metabolism,higher expression associated with lower hazard,lower in tumor
GJB1,TRUE,39,17,-0.06416747452303483,0.9378479207445434,0.5261134785110868,1.671804198847052,0.8277708220987942,-0.20351334208385138,0.46360444742702234,TRUE,0.8876189084560949,FALSE,same direction but not nominally significant,-0.4272749730657404,0.6522841669888453,7.54660946779054e-7,gap-junction and epithelial-compartment association,higher expression associated with lower hazard,lower in tumor
GRAMD1A,TRUE,39,17,0.02972420456905957,1.0301703784874514,0.6821357258392156,1.555776905552552,0.8876189084560949,-0.4894043494794337,0.13965067318691746,TRUE,0.8876189084560949,FALSE,same direction but not nominally significant,0.4057580580941821,1.500439489350083,3.76711391744721e-5,cholesterol-contact-site biology,higher expression associated with higher hazard,higher in tumor
HHLA2,TRUE,39,17,0.4514257351737937,1.570549778064697,0.9247540933582787,2.667332454211069,0.09482324743453878,0.3603770815657721,0.2156706858243485,FALSE,0.28613355230193127,FALSE,not externally supported in this small cohort,-0.46651200190082415,0.6271860813603375,3.0568553030833886e-8,immune-checkpoint paradox,higher expression associated with lower hazard,higher in tumor
HIBCH,TRUE,39,17,0.2855619338449482,1.3305094763993761,0.860036846659364,2.058348399449087,0.19960101643505565,-0.4290552292628111,0.18222255671545706,FALSE,0.30450071346976954,FALSE,not externally supported in this small cohort,-0.4099623749107515,0.6636752205059637,5.252857699169451e-5,plausible but under-validated metabolic signal,higher expression associated with lower hazard,lower in tumor
IFFO1,FALSE,39,17,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,not present on GSE29609 platform annotation,0.4086497996244981,1.504784652050967,4.320803847783538e-5,weak ccRCC-specific biological support,higher expression associated with higher hazard,higher in tumor
KL,FALSE,39,17,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,not present on GSE29609 platform annotation,-0.4143562134600067,0.6607655357615693,7.828983753766447e-7,renal epithelial/metabolic retention,higher expression associated with lower hazard,lower in tumor
KNTC1,TRUE,39,17,-0.25794274703216596,0.7726394667431706,0.4736862574701364,1.2602682390607611,0.30146490555488525,-0.012563283716605271,0.9598850719325631,FALSE,0.4220508677768393,FALSE,not externally supported in this small cohort,0.41317926152804135,1.5116159762374974,4.08255487434012e-6,candidate prognostic association requiring validation,higher expression associated with higher hazard,higher in tumor
LRBA,TRUE,39,17,0.40494740499473175,1.4992236463075526,0.9464734000518458,2.3747857483629127,0.08442892303758859,0.09451217950465787,0.7774806597916454,FALSE,0.28613355230193127,FALSE,not externally supported in this small cohort,-0.42337150345977026,0.6548353143328662,1.304810499897916e-5,immune-composition signal,higher expression associated with lower hazard,lower in tumor
LTB4R,TRUE,39,17,0.17187667916761845,1.1875313768256603,0.6700947836827268,2.1045243229548216,0.556050305020578,0.43562027019221566,0.14803535104843749,TRUE,0.648725355857341,FALSE,same direction but not nominally significant,0.4152348937982004,1.51472649876826,2.3639185338214345e-5,inflammatory and renal-compartment association,higher expression associated with higher hazard,higher in tumor
PANK1,TRUE,39,17,0.3246128267607624,1.3834948900742106,0.8393267402178399,2.2804684030019997,0.20300047564651302,-0.2611464094757034,0.42685208419914766,FALSE,0.30450071346976954,FALSE,not externally supported in this small cohort,-0.4732407037257613,0.6229800994979866,4.4522162039132833e-7,CoA metabolism and mitochondrial function,higher expression associated with lower hazard,lower in tumor
