rule,rank,symbol,gene_id,tcga_log_hr
complete_rule,1,CYFIP2,ENSG00000055163.20,-0.4403276873957715
complete_rule,2,CRYL1,ENSG00000165475.15,-0.4562451822719112
complete_rule,3,HHLA2,ENSG00000114455.13,-0.46651200190082415
complete_rule,4,DDC,ENSG00000132437.18,-0.4170476451847731
complete_rule,5,KL,ENSG00000133116.8,-0.4143562134600067
complete_rule,6,RBM47,ENSG00000163694.15,-0.406043543125073
complete_rule,7,PANK1,ENSG00000152782.16,-0.4732407037257613
complete_rule,8,GJB1,ENSG00000169562.13,-0.4272749730657404
complete_rule,9,ACADM,ENSG00000117054.14,-0.4484141243283115
complete_rule,10,CLCN5,ENSG00000171365.17,-0.4176541545204886
complete_rule,11,TMEM140,ENSG00000146859.6,-0.4073424327415841
complete_rule,12,C1QTNF6,ENSG00000133466.14,0.43509983532112984
complete_rule,13,CADPS2,ENSG00000081803.16,-0.41010601450174866
complete_rule,14,KNTC1,ENSG00000184445.12,0.41317926152804135
complete_rule,15,PODXL,ENSG00000128567.17,-0.41295393620776416
complete_rule,16,HIBCH,ENSG00000198130.16,-0.4099623749107515
complete_rule,17,TNIP1,ENSG00000145901.16,-0.414945866298316
complete_rule,18,TCIRG1,ENSG00000110719.10,0.4257531411377312
complete_rule,19,LTB4R,ENSG00000213903.9,0.4152348937982004
complete_rule,20,LRBA,ENSG00000198589.14,-0.42337150345977026
complete_rule,21,GRAMD1A,ENSG00000089351.14,0.4057580580941821
complete_rule,22,IFFO1,ENSG00000010295.20,0.4086497996244981
survival_only,1,CRYZ,ENSG00000116791.14,-0.49828176525841417
survival_only,2,CYFIP2,ENSG00000055163.20,-0.4373207095360415
survival_only,3,STX1A,ENSG00000106089.12,0.4128956569049099
survival_only,4,MOB3B,ENSG00000120162.10,-0.4207897089588943
survival_only,5,BBOX1,ENSG00000129151.9,-0.4392204356508576
survival_only,6,DONSON,ENSG00000159147.18,0.5367011777667018
survival_only,7,CORO6,ENSG00000167549.18,0.5195607959473542
survival_only,8,CRYL1,ENSG00000165475.15,-0.4503510562903667
survival_only,9,LOC128966610,ENSG00000175711.8,0.5380942253925217
survival_only,10,GBA3,ENSG00000249948.6,-0.44393912751705983
survival_only,11,SEC61A2,ENSG00000065665.21,0.5589669118948148
survival_only,12,HHLA2,ENSG00000114455.13,-0.4534307797409708
survival_only,13,DVL3,ENSG00000161202.20,0.5539677551518131
survival_only,14,COL7A1,ENSG00000114270.17,0.4752330413151511
survival_only,15,GCKR,ENSG00000084734.9,0.4185730979465408
