accession,symbol,log2FoldChange,AveExpr,t,pvalue,padj,B,significant
GSE40435,AQP2,-6.58726764336634,10.237695830861385,-62.39722264225288,7.627331075412247e-83,2.388422452954591e-78,178.16302977297158,TRUE
GSE40435,UMOD,-7.069748681351495,10.571950777200495,-60.99147055929551,7.280231760634355e-82,1.139865886762521e-77,175.984060334768,TRUE
GSE40435,KNG1,-5.726378417475256,9.688261568173267,-56.025671519611855,3.1834121382357477e-78,2.4983790658774387e-74,167.8527523783744,TRUE
GSE40435,KCNJ1,-2.995747229356437,8.319867830737623,-56.02424755226605,3.191389239161319e-78,2.4983790658774387e-74,167.85031726623035,TRUE
GSE40435,GGT6,-2.3779305017128722,7.939121722094059,-44.52848583368589,1.7527344952344511e-68,1.0977025596754322e-64,145.878688031755,TRUE
GSE40435,CLCNKA,-5.424752416594061,10.3481950910099,-44.42282895016788,2.2054056212703528e-68,1.151001193740997e-64,145.65226388585688,TRUE
GSE40435,C12orf59,-3.4651388084653463,8.7324248524901,-43.59081944382911,1.3700156148165528e-67,6.128666994623648e-64,143.85125836453767,TRUE
GSE40435,GCGR,-3.229600947544558,8.273046129326733,-43.47855002619251,1.757135151543266e-67,6.877866266928229e-64,143.6057568286411,TRUE
GSE40435,CLCNKB,-3.6567278672376258,8.683950776727723,-43.24432141120345,2.958711417912521e-67,1.0294343260056965e-63,143.09163955938027,TRUE
GSE40435,SLC36A2,-5.1228693379504975,9.395942048638615,-41.1959433569684,3.1497305643211543e-65,9.863066289115263e-62,138.48119843487493,TRUE
GSE40435,SFRP1,-3.74342444332673,9.427376713683168,-40.83453712694137,7.3320433646411345e-65,1.9443613502118156e-61,137.6457115035809,TRUE
GSE40435,RALYL,-2.4370113280495076,7.9194687526089105,-40.82767557614804,7.451087757086858e-65,1.9443613502118156e-61,137.6297832175832,TRUE
GSE40435,CA10,-1.1498655495544565,7.295193126163366,-40.060532634392104,4.5801713096525336e-64,1.1032575722343034e-60,135.83321312923223,TRUE
GSE40435,CA9,4.049062281019804,8.834023671014851,39.34608813043252,2.555298007795189e-63,5.715471558292754e-60,134.13144258824414,TRUE
GSE40435,ATP6V1B1,-4.552438503198023,9.7739813694901,-39.16808201762358,3.9382452447942795e-63,7.9544531911675e-60,133.70305080397313,TRUE
GSE40435,PHYHD1,-1.0755152482673271,7.334221704282179,-39.1551387887319,4.0643562323139807e-63,7.9544531911675e-60,133.67183233106093,TRUE
GSE40435,PRRG2,-2.092513167673267,8.275574304163367,-38.945333755375074,6.783294853142345e-63,1.1989151944830043e-59,133.16447793731388,TRUE
GSE40435,C7orf68,3.756364858831684,9.31298624219802,38.93885891969869,6.891637446731199e-63,1.1989151944830043e-59,133.14878086571312,TRUE
GSE40435,SLC16A3,3.2031224178811897,10.168319758148515,38.445050888620614,2.323457998499149e-62,3.8293033560527555e-59,131.94459602568168,TRUE
GSE40435,ACSF2,-3.3885768849207936,9.146987746846534,-38.18769155574383,4.40115781563231e-62,6.890892791935509e-59,131.31144461631405,TRUE
GSE40435,NPHS2,-3.570158846356435,8.56062095419802,-38.03618395323135,6.421760600710196e-62,9.575762450030433e-59,130.93690344024438,TRUE
GSE40435,SERPINA5,-3.533736030960398,8.839094544321782,-37.862617582903574,9.91589492152758e-62,1.411392425330521e-58,130.50617418985885,TRUE
GSE40435,XPNPEP2,-4.176339410861388,9.18456262831188,-37.836774014009194,1.0580101128750698e-61,1.4404577684595624e-58,130.44188770796072,TRUE
GSE40435,DCXR,-2.7515530911386157,9.81430805620297,-37.750053518646915,1.3155232454996347e-61,1.7164289545656485e-58,130.2258793134331,TRUE
GSE40435,C16orf11,-1.1497769485693077,7.264652039205446,-37.47603916559842,2.625924400907332e-61,3.2891278676004874e-58,129.54040525344675,TRUE
GSE40435,SLC34A1,-4.273331633326734,9.088680013732674,-37.057473571972416,7.612243182476797e-61,9.168068577541478e-58,128.48459680538767,TRUE
