accession,symbol,log2FoldChange,log2fc_ci_low,log2fc_ci_high,AveExpr,t,pvalue,padj,B,significant
GSE53757,ANGPTL4,6.148464483202985,5.707403009840891,6.589525956565079,9.590585862299976,27.77986342880113,1.0606831154116328e-40,2.426842968061816e-36,82.33110313576788,TRUE
GSE53757,EGLN3,3.817481089016522,3.5398431876743395,4.095118990358705,9.884843567747822,27.400639757936144,2.6664097045385557e-40,3.050372701992108e-36,81.42618424872134,TRUE
GSE53757,HYKK,-2.308028257345626,-2.490317693605619,-2.125738821085633,7.9801603520430255,-25.23144837677724,6.412954008773168e-38,3.8555321081024776e-34,76.0311469291823,TRUE
GSE53757,HILPDA,4.615869468021665,4.251029912603074,4.980709023440256,10.911180577422986,25.212398488657318,6.740440748430905e-38,3.8555321081024776e-34,75.98204413648732,TRUE
GSE53757,CA9,4.7790670965662105,4.397876792134195,5.160257400998226,9.051525897700815,24.984107716475034,1.2272040280773445e-37,5.615685632481928e-34,75.39117254396682,TRUE
GSE53757,MIR6787,2.7571158897746333,2.53410206999267,2.9801297095565964,9.092553042049643,24.63688557061679,3.078568118711688e-37,1.173960642602057e-33,74.48378442824354,TRUE
GSE53757,PDK1,2.6946697007745937,2.4753609725976626,2.9139784289515247,8.331863270509837,24.485680839998697,4.609750820911996e-37,1.506729982606664e-33,74.08532489014004,TRUE
GSE53757,KNG1,-7.197650040128317,-7.805689780418639,-6.589610299837995,7.903679210747096,-23.589640561957,5.2528185027686716e-36,1.50230609179184e-32,71.68172444278723,TRUE
GSE53757,GPD1L,-2.002053417053328,-2.1727916307761337,-1.8313152033305224,10.353103982484724,-23.36724375087497,9.715629274261849e-36,2.3934902414396578e-32,71.07368758919799,TRUE
GSE53757,RP11-999E24.3,-4.014746847882589,-4.357804104557995,-3.6716895912071825,8.56215982525829,-23.321373102540928,1.1035701225836008e-35,2.3934902414396578e-32,70.9476979912133,TRUE
GSE53757,CALB1,-8.464597492633283,-9.188358302923456,-7.740836682343109,9.068405937473996,-23.306325600365,1.1507164622306047e-35,2.3934902414396578e-32,70.90632480874075,TRUE
GSE53757,NETO2,3.385072673612851,3.0947916708327208,3.675353676392981,8.855218589072953,23.238706118065476,1.3890670421252207e-35,2.648487826985421e-32,70.72014011619488,TRUE
GSE53757,ABAT,-3.5795404225781735,-3.8869639249553574,-3.2721169202009897,9.970192738731713,-23.20346089812033,1.532527621120974e-35,2.6972486131729144e-32,70.62292334895628,TRUE
GSE53757,NDUFA4L2,6.440049591351456,5.880740926200293,6.999358256502619,9.678170789132068,22.94564263746009,3.1561780119254387e-35,4.8285534047394275e-32,69.90817877684808,TRUE
GSE53757,SEMA5B,3.2817470153497994,2.996719081031788,3.5667749496678107,9.822165143239113,22.94458648682994,3.1655725992609883e-35,4.8285534047394275e-32,69.90523771979628,TRUE
GSE53757,ENO2,4.42571653138663,4.040116043412839,4.8113170193604216,9.102925877276956,22.87223373564414,3.881383939538018e-35,5.550379033539366e-32,69.70350127637047,TRUE
GSE53757,ZNF395,2.9802174927283867,2.719942055642481,3.2404929298142924,9.037019829575753,22.817987433529698,4.5238091870138543e-35,6.088514952875117e-32,69.55191798590806,TRUE
GSE53757,KCNJ1,-7.06274302370591,-7.681132523115296,-6.444353524296525,8.441539481945757,-22.760083969205763,5.328911929269405e-35,6.773639163426887e-32,69.38980050488281,TRUE
GSE53757,PLK2,2.6528804960817935,2.4199726082116846,2.8857883839519025,10.21708406147673,22.69844214330975,6.346229237681058e-35,7.642196050428557e-32,69.2168581457174,TRUE
GSE53757,HRG,-5.282868576412867,-5.749799296429007,-4.815937856396728,7.965582426597146,-22.546540843833462,9.776013659845073e-35,1.1183759626862764e-31,68.78909954631445,TRUE
GSE53757,IKBIP,1.9950059716510147,1.8172877363729114,2.172724206929118,8.565574771626785,22.370452528493963,1.617628130787542e-34,1.7624443634485222e-31,68.2903905015469,TRUE
GSE53757,SLC12A1,-5.72713992380256,-6.240046921709921,-5.214232925895199,8.081972897254868,-22.25162492871378,2.276155221193872e-34,2.367201430041627e-31,67.95211700831878,TRUE
GSE53757,SLC22A8,-7.745282289652871,-8.439456685019945,-7.051107894285797,8.848454117440186,-22.234697323111913,2.389897883507176e-34,2.3774288510714863e-31,67.90381380133621,TRUE
GSE53757,FBXO16,2.1637757960217834,1.969484115775646,2.358067476267921,9.758248677875098,22.193235209063282,2.6934057077982055e-34,2.448301387551393e-31,67.78538008663382,TRUE
GSE53757,EHD2,2.7936344271940015,2.5426795125527546,3.0445893418352483,8.508300107067184,22.18382499008263,2.767554095384355e-34,2.448301387551393e-31,67.75847650600596,TRUE
GSE53757,ERO1L,1.529724919219308,1.3922711872155926,1.6671786512230236,9.724213565368004,22.177846185619902,2.8157339401334723e-34,2.448301387551393e-31,67.74137865028261,TRUE
GSE53757,IGFBP3,3.546088458579365,3.2273258314794355,3.864851085679294,12.658421479743408,22.168929852236083,2.8891668471978852e-34,2.448301387551393e-31,67.71587356369426,TRUE
GSE53757,RALYL,-6.474404510710664,-7.062695183358004,-5.8861138380633236,7.0350581785153015,-21.931605677304887,5.749230270565926e-34,4.697942449662443e-31,67.0340727870046,TRUE
GSE53757,NOL3,2.524514948712746,2.2947285621170317,2.7543013353084604,9.526310511263565,21.893551260334956,6.423179377354912e-34,5.067667039788979e-31,66.92421831944972,TRUE
