accession,symbol,log2FoldChange,log2fc_ci_low,log2fc_ci_high,AveExpr,t,pvalue,padj,B,significant
GSE53757,EGLN3,3.8174810890165225,3.58061765797551,4.054344520057535,9.884843567747822,31.854916449771206,3.039276980538453e-67,6.953865731471982e-63,142.72434592909798,TRUE
GSE53757,ANGPTL4,6.148464483202981,5.7226420997359115,6.574286866670051,9.590585862299976,28.538804343736846,2.7837217819952257e-61,2.884633500452665e-57,129.15572264625538,TRUE
GSE53757,CA9,4.779067096566206,4.44725817090554,5.110876022226872,9.051525897700815,28.467718023761844,3.782299170173948e-61,2.884633500452665e-57,128.8522774105952,TRUE
GSE53757,PDK1,2.694669700774591,2.504807983524521,2.884531418024661,8.331863270509837,28.052122476428544,2.2948663549356379e-60,1.3126635550231848e-56,127.06720319785619,TRUE
GSE53757,HILPDA,4.615869468021664,4.28207879151733,4.949660144525998,10.911180577422986,27.33234595382865,5.445061224093939e-59,2.4916600161453864e-55,123.93046430598208,TRUE
GSE53757,KNG1,-7.1976500401283126,-7.724842278870883,-6.6704578013857425,7.903679210747096,-26.9848066544672,2.563699614789077e-58,9.776241197729013e-55,122.39509585119272,TRUE
GSE53757,HYKK,-2.308028257345623,-2.4803280522462257,-2.13572846244502,7.9801603520430255,-26.476096358799726,2.537023661986076e-57,8.292443055177345e-54,120.12285767385444,TRUE
GSE53757,KCNJ1,-7.062743023705905,-7.590938764966872,-6.534547282444938,8.441539481945757,-26.428718274391187,3.14542628172148e-57,8.995919165723432e-54,119.9097192283114,TRUE
GSE53757,CALB1,-8.464597492633274,-9.108784607422244,-7.820410377844303,9.068405937473996,-25.971191205580258,2.5404515787535333e-56,6.45839245798676e-53,117.83802579476338,TRUE
GSE53757,HRG,-5.282868576412862,-5.68680584040495,-4.878931312420774,7.965582426597146,-25.849579283750476,4.444334590436162e-56,1.0168637542917939e-52,117.28324503592596,TRUE
GSE53757,MIR6787,2.757115889774633,2.545254936810704,2.9689768427385617,9.092553042049643,25.721819816004476,8.012698492600301e-56,1.6666412864608627e-52,116.69854405624163,TRUE
GSE53757,NDUFA4L2,6.440049591351453,5.933958438063497,6.9461407446394094,9.678170789132068,25.15116218999678,1.1407111539867065e-54,2.1749559336013206e-51,114.0632433293049,TRUE
GSE53757,GPD1L,-2.0020534170533253,-2.1596161883017118,-1.8444906458049388,10.353103982484724,-25.114216972077653,1.3564965344988648e-54,2.387433900718002e-51,113.89128966092541,TRUE
GSE53757,ENO2,4.425716531386628,4.075029098086223,4.776403964687032,9.102925877276956,24.943706182067107,3.0240422655377184e-54,4.9421490739644996e-51,113.09555684723387,TRUE
GSE53757,SLC22A8,-7.745282289652864,-8.369017392667418,-7.12154718663831,8.848454117440186,-24.54339610913516,2.0131082377961403e-53,3.070661098718379e-50,111.21359862623369,TRUE
GSE53757,RALYL,-6.474404510710662,-6.996911637727257,-5.951897383694067,7.0350581785153015,-24.490925839307987,2.5845930394940225e-53,3.695968046476452e-50,110.96547979948508,TRUE
