symbol,paired_log2fc,paired_pvalue,paired_padj,unpaired_log2fc,unpaired_pvalue,unpaired_padj,reproducible_unpaired_gate,same_sign,paired_nominal,unpaired_nominal,paired_effect,unpaired_effect
CYFIP2,-1.6858177738871676,4.92606073192595e-22,9.78370395368626e-21,-1.6858177738871658,3.80930343305521e-29,8.839438392322839e-28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CRYL1,-1.7178349940872006,2.92482523379928e-27,1.9976119805769417e-25,-1.7178349940872006,1.7440092181149006e-33,7.241911236019769e-32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HHLA2,1.1893418509342688,1.0899896770891065e-6,3.1991709498393217e-6,1.18934185093427,4.239294420341397e-8,1.4526742000510884e-7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DDC,-3.2261870369353054,2.724808022301518e-21,4.7016295286771287e-20,-3.2261870369353045,6.168788245985395e-26,1.0205486266677209e-24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
KL,-2.426454328769745,7.680470694543072e-22,1.4917586544239858e-20,-2.426454328769742,3.960217773742485e-28,8.061368564344135e-27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RBM47,-0.964544528574704,1.4111713189133389e-19,1.8407981628698507e-18,-0.9645445285747024,1.2815143364013916e-21,1.4309930706131696e-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PANK1,-1.539310028910279,5.527400043499938e-21,9.033350928234184e-20,-1.5393100289102783,2.937221137010499e-23,3.788253642322448e-22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GJB1,-1.8533203396129423,1.8370589777002304e-29,2.5096038127064156e-27,-1.8533203396129416,6.534558693257946e-35,3.264425827548948e-33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACADM,-1.6370101513545092,4.4370881441658225e-28,3.8896772696748673e-26,-1.6370101513545086,2.9381642968471104e-33,1.1877243659339555e-31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CLCN5,-1.7999564079798147,1.8146495981523263e-26,1.0226399705843652e-24,-1.7999564079798136,2.5894758874754627e-30,6.890402819629966e-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TMEM140,1.3355910881908064,1.1518157821247538e-23,3.209932411085795e-22,1.3355910881908064,4.5589549928113674e-30,1.170694615437981e-28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
C1QTNF6,1.222159386398144,1.3873789879709632e-17,1.390292007195294e-16,1.2221593863981433,8.967716181114723e-18,7.097244767343651e-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CADPS2,-1.2857683261208852,6.480042259739784e-28,5.314099172145027e-26,-1.2857683261208843,2.0277003332442088e-38,1.711947735226107e-36,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
KNTC1,1.112857677034536,1.425745341148925e-23,3.8880874142416457e-22,1.1128576770345353,2.796417240264805e-31,8.429779506885207e-30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PODXL,-1.2562460577918564,1.9062139593809767e-14,1.2980409342451413e-13,-1.2562460577918546,1.5193292241151838e-14,9.284789702926123e-14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HIBCH,-1.7581557606878162,1.6188534456300275e-28,1.646194081600668e-26,-1.7581557606878144,1.5230383664271603e-35,8.19932184090669e-34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TNIP1,0.29285205852519614,9.8738566870768e-5,2.2739188827409885e-4,0.2928520585251962,2.74645913474505e-5,6.999998329393645e-5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TCIRG1,1.7192551968262653,1.026195242328085e-23,2.887988578655177e-22,1.7192551968262637,3.509509124476125e-28,7.182251231486025e-27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LTB4R,1.037832061672287,2.490263261641404e-15,1.8847907187017973e-14,1.0378320616722865,2.101735759384065e-17,1.6191149553773535e-16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LRBA,-0.7159572724128622,5.576014715336925e-22,1.0998208335078347e-20,-0.7159572724128619,1.3868495398440566e-25,2.2050811307596952e-24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GRAMD1A,0.571925550758587,1.704583101659085e-15,1.31670700087643e-14,0.5719255507585868,2.671001623093372e-16,1.881707847827128e-15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IFFO1,0.8862488549559129,2.2663368338277386e-19,2.8664337621878753e-18,0.8862488549559124,1.4994095189910906e-25,2.37415154287309e-24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TNFAIP2,0.43736887473448943,1.7758623330415297e-5,4.5206642389842235e-5,0.43736887473448927,1.2868981550281187e-4,3.003593776093375e-4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
