symbol,pathway_class,evidence_score,tcga_gene_id,tcga_log2fc,gse40435_log2fc,gse53757_log2fc,main_log_hr,main_hr,main_hr_ci_low,main_hr_ci_high,main_fdr,main_ph_p_value,main_warning_count,stage_complete_log_hr,stage_complete_p_value,grade_complete_log_hr,grade_complete_p_value
CYFIP2,Metabolism,9.618290613836376,ENSG00000055163.20,-2.281149711391933,-1.131520208693071,-1.6858177738871676,-0.4403276873957715,0.6438254130397608,0.5681984587921453,0.7295182802096486,1.6496039075833828e-8,0.11023851345074288,0,-0.4525244848724998,8.924582102425174e-13,-0.5011742289302678,4.254750648053571e-17
CRYL1,Unclassified,9.511789311895217,ENSG00000165475.15,-1.0664355766496707,-1.69578909706931,-1.7178349940872006,-0.4562451822719112,0.6336584562310958,0.5553780413163518,0.7229724787128592,1.9752300440022042e-8,0.18056452806814727,0,-0.4686872323445526,1.4712438518090338e-12,-0.4659200899864024,3.3367597606598973e-13
HHLA2,Unclassified,9.243401235123986,ENSG00000114455.13,3.11873156630403,0.725911554316831,1.1893418509342688,-0.46651200190082415,0.6271860813603375,0.5467164714494546,0.7194997794912849,3.0568553030833886e-8,0.05642705568169961,0,-0.46045983091712855,1.815883649237417e-11,-0.38122638206946663,1.1074236655683729e-8
DDC,Metabolism,8.78183018980297,ENSG00000132437.18,-1.7003611404692802,-3.0840942365643587,-3.2261870369353054,-0.4170476451847731,0.6589895215186183,0.5731264634596904,0.7577161711393926,9.44690794637647e-7,0.15749640782673807,0,-0.4155695358933498,1.99992444193278e-9,-0.37592167673655097,2.032339727944992e-8
KL,Unclassified,8.473842632193326,ENSG00000133116.8,-1.6393396573462955,-2.4495173085544577,-2.426454328769745,-0.4143562134600067,0.6607655357615693,0.5761717289518554,0.7577794454520288,7.828983753766447e-7,0.1948643174723704,0,-0.43199741095291744,2.1823132181701677e-10,-0.40961791516422486,4.171845926800827e-10
RBM47,Unclassified,8.192422724685382,ENSG00000163694.15,-1.1026128043972716,-0.9786751691732682,-0.964544528574704,-0.406043543125073,0.6662811548295828,0.5877760949953241,0.7552715754535306,1.2074892654362825e-7,0.03994246936590942,0,-0.422463091946278,1.911708415934919e-11,-0.4257494764272216,4.813885198581292e-12
PANK1,Unclassified,7.9597997926115,ENSG00000152782.16,-1.487264489340242,-0.973737281943896,-1.539310028910279,-0.4732407037257613,0.6229800994979866,0.5346008349615079,0.7259700677393544,4.4522162039132833e-7,0.3007884399605408,0,-0.4986741199540799,9.280696330199361e-11,-0.5352030465217477,1.8282416580646612e-12
GJB1,Unclassified,7.9170601360216715,ENSG00000169562.13,-1.4671804841832965,-1.3689824870792098,-1.8533203396129423,-0.4272749730657404,0.6522841669888453,0.566609703096362,0.7509130750483677,7.54660946779054e-7,0.05705100752767134,0,-0.413226381090322,3.180041343504904e-9,-0.4129555060983059,1.093798590866854e-9
ACADM,Metabolism,7.831126054359602,ENSG00000117054.14,-1.5448144413983544,-1.5002221826782205,-1.6370101513545092,-0.4484141243283115,0.6386401528369687,0.5500624814917955,0.7414816653364318,9.375513631424824e-7,0.23934569085226448,0,-0.4662070721762217,5.900910624131833e-10,-0.4638276377426374,5.948195830008001e-11
CLCN5,Unclassified,6.882179867317559,ENSG00000171365.17,-1.4344904567828498,-0.7521511659009913,-1.7999564079798147,-0.4176541545204886,0.6585899594030037,0.5664515776071813,0.7657154676109622,4.710585633141151e-6,0.8247506220942223,0,-0.44203368937327303,6.231818368473172e-9,-0.459375020714434,4.28409952283586e-10
TMEM140,Immune,6.832837784652118,ENSG00000146859.6,1.3873551467780825,1.0434245526138617,1.3355910881908064,-0.4073424327415841,0.6654162909588421,0.5748103731873818,0.7703041923515904,4.415510186849692e-6,0.5361685228911856,0,-0.3985110645431239,1.2033425733369406e-7,-0.3269205459324186,1.56563694356937e-5
C1QTNF6,Unclassified,6.7553047224262235,ENSG00000133466.14,2.326695021877266,0.2773809349306929,1.222159386398144,0.43509983532112984,1.5451173085341128,1.3213432727629684,1.8067882482495268,4.415510186849692e-6,0.12634156331541554,0,0.4565766856851785,7.767345238491417e-9,0.4642935256848007,8.73601630319934e-10
CADPS2,Unclassified,6.622703495304001,ENSG00000081803.16,-1.6281903545786902,-0.4524209350594058,-1.2857683261208852,-0.41010601450174866,0.6635798973149913,0.5719974046469152,0.7698256609964659,4.925349015628294e-6,0.4780768221578261,0,-0.42509189426389193,1.5175055584996462e-8,-0.40412892350631446,2.5036960202833383e-8
KNTC1,Unclassified,6.607724426535875,ENSG00000184445.12,1.15604029023953,0.6099497364752481,1.112857677034536,0.41317926152804135,1.5116159762374974,1.3040485850216854,1.7522221839445078,4.08255487434012e-6,0.6471389094840807,0,0.4050758691100193,5.2504145353415367e-8,0.4744295201707827,2.890337923586806e-10
PODXL,Unclassified,6.3239787049017995,ENSG00000128567.17,-1.368538589150184,-0.4851630748250821,-1.2562460577918564,-0.41295393620776416,0.6616927622037673,0.56698031580525,0.7722266529324141,8.773091522225725e-6,0.3994800387810609,0,-0.4249013519786907,1.4869431930285052e-8,-0.4327660692927539,6.866197097673142e-9
