rank,symbol,gene_name,pathway_class,final_rank_score,evidence_score,tcga_log2fc,gse40435_log2fc,gse53757_log2fc,main_log_hr,main_hr,main_hr_ci_low,main_hr_ci_high,main_fdr,main_ph_p_value,stage_complete_log_hr,grade_complete_log_hr,kidney_cell_type_sanity,literature_prior,manual_review_note,pubmed_ccrcc_query,interpretation_status
1,DDC,dopa decarboxylase,Metabolism,0.7911017001204106,8.78183018980297,-1.7003611404692802,-3.0840942365643587,-3.2261870369353054,-0.4170476451847731,0.6589895215186183,0.5731264634596904,0.7577161711393926,9.44690794637647e-7,0.15749640782673807,-0.4155695358933498,-0.37592167673655097,Metabolic/decarboxylase signal compatible with epithelial metabolic rewiring.,Kidney cancer literature requires manual confirmation.,"Check whether expression is kidney-lineage, neuroendocrine-like, or stromal.",https://pubmed.ncbi.nlm.nih.gov/?term=DDC%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
2,CYFIP2,cytoplasmic FMR1 interacting protein 2,Metabolism,0.7682080258726708,9.618290613836376,-2.281149711391933,-1.131520208693071,-1.6858177738871676,-0.4403276873957715,0.6438254130397608,0.5681984587921453,0.7295182802096486,1.6496039075833828e-8,0.11023851345074288,-0.4525244848724998,-0.5011742289302678,Broad cytoskeletal/regulatory signal; not kidney-cell-type specific from this pipeline alone.,ccRCC-specific role requires manual confirmation.,Prioritize whether the survival signal reflects tumor biology or tissue composition.,https://pubmed.ncbi.nlm.nih.gov/?term=CYFIP2%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
3,KL,klotho,Unclassified,0.6736932210676871,8.473842632193326,-1.6393396573462955,-2.4495173085544577,-2.426454328769745,-0.4143562134600067,0.6607655357615693,0.5761717289518554,0.7577794454520288,7.828983753766447e-7,0.1948643174723704,-0.43199741095291744,-0.40961791516422486,Kidney-enriched aging/mineral-axis gene; plausible renal epithelial context.,Strong kidney biology prior; ccRCC prognostic agreement needs review.,A lower tumor expression signal may reflect loss of normal kidney program.,https://pubmed.ncbi.nlm.nih.gov/?term=KL%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
4,CRYL1,crystallin lambda 1,Unclassified,0.6541468715254624,9.511789311895216,-1.0664355766496707,-1.69578909706931,-1.7178349940872006,-0.4562451822719112,0.6336584562310958,0.5553780413163518,0.7229724787128592,1.975230044002204e-8,0.18056452806814727,-0.4686872323445526,-0.4659200899864024,Metabolic enzyme signal compatible with renal epithelial biology.,Kidney cancer literature requires manual confirmation.,Check whether downregulation is a renal identity/metabolic-loss signal.,https://pubmed.ncbi.nlm.nih.gov/?term=CRYL1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
5,ACADM,acyl-CoA dehydrogenase medium chain,Metabolism,0.6295824015067546,7.831126054359602,-1.5448144413983544,-1.5002221826782205,-1.6370101513545092,-0.4484141243283115,0.6386401528369687,0.5500624814917955,0.7414816653364318,9.375513631424824e-7,0.23934569085226448,-0.4662070721762217,-0.4638276377426374,Mitochondrial fatty-acid metabolism; plausible renal epithelial metabolism.,"Metabolic cancer relevance likely, ccRCC specificity needs review.",Strong candidate for metabolic-adaptation interpretation.,https://pubmed.ncbi.nlm.nih.gov/?term=ACADM%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
6,HHLA2,HHLA2 member of B7 family,Unclassified,0.6210180176556903,9.243401235123986,3.11873156630403,0.725911554316831,1.1893418509342688,-0.46651200190082415,0.6271860813603375,0.5467164714494546,0.7194997794912849,3.0568553030833886e-8,0.05642705568169961,-0.46045983091712855,-0.38122638206946663,Immune-checkpoint-like signal; may reflect tumor-immune interaction.,Known cancer immunology gene; ccRCC-specific direction needs review.,Interpret as immune/microenvironmental until cell source is resolved.,https://pubmed.ncbi.nlm.nih.gov/?term=HHLA2%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
7,GJB1,gap junction protein beta 1,Unclassified,0.5135727974108822,7.917060136021672,-1.4671804841832965,-1.3689824870792098,-1.8533203396129423,-0.4272749730657404,0.6522841669888453,0.566609703096362,0.7509130750483677,7.54660946779054e-7,0.05705100752767134,-0.413226381090322,-0.4129555060983059,Gap-junction protein with renal epithelial expression but stronger expression in other normal tissues.,Connexin biology is established; ccRCC-specific prognostic evidence needs review.,Treat as a compartment-sensitive epithelial hypothesis and report the non-proportional-hazards diagnostic.,https://pubmed.ncbi.nlm.nih.gov/?term=GJB1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
8,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,Metabolism,0.494792147528883,6.172182532887441,-1.2854921757226656,-1.9183963153564372,-1.7581557606878162,-0.4099623749107515,0.6636752205059637,0.5602259989563562,0.786226985420492,5.252857699169451e-5,0.30512006682564013,-0.4469703347312199,-0.5121753569520837,Mitochondrial branched-chain amino-acid metabolism.,"Metabolic cancer relevance likely, ccRCC specificity needs review.",Candidate metabolic-adaptation gene.,https://pubmed.ncbi.nlm.nih.gov/?term=HIBCH%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
9,PANK1,pantothenate kinase 1,Unclassified,0.4933974186693505,7.9597997926115,-1.487264489340242,-0.973737281943896,-1.539310028910279,-0.4732407037257613,0.6229800994979866,0.5346008349615079,0.7259700677393544,4.4522162039132833e-7,0.3007884399605408,-0.4986741199540799,-0.5352030465217477,Metabolism/coenzyme A pathway signal; plausible metabolic adaptation.,Kidney cancer literature requires manual confirmation.,Review whether signal is tumor-intrinsic metabolism or normal-tissue retention.,https://pubmed.ncbi.nlm.nih.gov/?term=PANK1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
10,RBM47,RNA binding motif protein 47,Unclassified,0.486603288736998,8.192422724685382,-1.1026128043972716,-0.9786751691732682,-0.964544528574704,-0.406043543125073,0.6662811548295828,0.5877760949953241,0.7552715754535306,1.2074892654362825e-7,0.03994246936590942,-0.422463091946278,-0.4257494764272216,RNA-binding and splicing-regulatory signal with broad normal-tissue expression.,Cancer-regulatory literature exists; ccRCC-specific evidence needs review.,Interpret cautiously because HPA mapping is immune-dominant and the TCGA proportional-hazards diagnostic is nominally significant.,https://pubmed.ncbi.nlm.nih.gov/?term=RBM47%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
