symbol,compartment,max_expression,mean_expression,top_cell_type,compartment_rank,dominant_compartment,main_log_hr
ACADM,other,740,70.5719696969697,esophageal apical cells,1,other,-0.44954477780770535
ACADM,renal_epithelial,108,70.54,proximal tubule cells,2,other,-0.44954477780770535
ACADM,stromal,76.6,52.125,ovarian stromal cells,3,other,-0.44954477780770535
ACADM,vascular,76.3,55.62,smooth muscle cells,4,other,-0.44954477780770535
ACADM,immune,69.5,49.2625,neutrophil progenitors,5,other,-0.44954477780770535
ACAT1,other,804.5,74.12121212121212,hepatocytes,1,other,-0.4087572707425221
ACAT1,renal_epithelial,165.5,78.98,renal collecting duct intercalated cells,2,other,-0.4087572707425221
ACAT1,stromal,140.4,87.45,decidual stromal cells,3,other,-0.4087572707425221
ACAT1,vascular,103.1,76.4,smooth muscle cells,4,other,-0.4087572707425221
ACAT1,immune,55.1,42.125,t-cells,5,other,-0.4087572707425221
C1QTNF6,other,598.7,9.93560606060606,extravillous trophoblasts,1,other,0.4485051545354674
C1QTNF6,stromal,30,17.075,decidual stromal cells,2,other,0.4485051545354674
C1QTNF6,renal_epithelial,10,4.56,proximal tubule cells,3,other,0.4485051545354674
C1QTNF6,vascular,7.7,5.28,vascular endothelial cells,4,other,0.4485051545354674
C1QTNF6,immune,7.1,3.35,neutrophils,5,other,0.4485051545354674
CADPS2,other,2383,182.3121212121212,renal connecting tubule cells,1,other,-0.4246365505457781
CADPS2,renal_epithelial,946.8,319.96,renal collecting duct principal cells,2,other,-0.4246365505457781
CADPS2,vascular,478.7,170.6,vascular endothelial cells,3,other,-0.4246365505457781
CADPS2,stromal,339.9,162.39999999999998,decidual stromal cells,4,other,-0.4246365505457781
CADPS2,immune,18.7,6.8,macrophages,5,other,-0.4246365505457781
CLCN5,other,714.4,40.96060606060606,myosatellite cells,1,other,-0.4179705520742072
CLCN5,renal_epithelial,173.6,94.38,proximal tubule cells,2,other,-0.4179705520742072
CLCN5,immune,61.5,24.3875,macrophages,3,other,-0.4179705520742072
CLCN5,stromal,25.9,17.875,endometrial stromal cells,4,other,-0.4179705520742072
CLCN5,vascular,20.2,12.959999999999999,vascular endothelial cells,5,other,-0.4179705520742072
CRYL1,other,574.8,55.415151515151514,enterocytes,1,other,-0.4532002843034422
CRYL1,renal_epithelial,573,191.94,proximal tubule cells,2,other,-0.4532002843034422
CRYL1,immune,87.6,38.8375,macrophages,3,other,-0.4532002843034422
CRYL1,vascular,40.2,27.2,vascular endothelial cells,4,other,-0.4532002843034422
CRYL1,stromal,34.9,25,fibroblasts,5,other,-0.4532002843034422
CYFIP2,immune,606.9,189.75,neutrophils,1,immune,-0.44123008987349144
CYFIP2,other,519.8,56.054545454545455,loop of henle epithelial cells,2,immune,-0.44123008987349144
CYFIP2,renal_epithelial,363.8,173.84,renal collecting duct principal cells,3,immune,-0.44123008987349144
CYFIP2,vascular,46.2,22.98,smooth muscle cells,4,immune,-0.44123008987349144
CYFIP2,stromal,7.6,5.3,fibroblasts,5,immune,-0.44123008987349144
DBT,other,141.4,25.626515151515154,parietal cells,1,other,-0.4166457711143031
DBT,renal_epithelial,35.9,31.38,renal collecting duct intercalated cells,2,other,-0.4166457711143031
DBT,stromal,26.5,20.975,fibroblasts,3,other,-0.4166457711143031
DBT,vascular,22.9,19.46,vascular smooth muscle cells,4,other,-0.4166457711143031
DBT,immune,21.2,16.5,b-cells,5,other,-0.4166457711143031
DDC,other,108.9,2.6833333333333336,rod photoreceptor cells,1,other,-0.4168067446963606
DDC,renal_epithelial,16.3,3.3200000000000003,proximal tubule cells,2,other,-0.4168067446963606
DDC,immune,0.2,0.1,b-cells,3,other,-0.4168067446963606
DDC,vascular,0.2,0.1,vascular endothelial cells,3,other,-0.4168067446963606
DDC,stromal,0.1,0.07500000000000001,endometrial stromal cells,5,other,-0.4168067446963606
EMCN,vascular,971,257.98,vascular endothelial cells,1,vascular,-0.40596911923027346
EMCN,other,244.1,8.136363636363637,oocytes,2,vascular,-0.40596911923027346
EMCN,stromal,27.1,9.025,fibroblasts,3,vascular,-0.40596911923027346
EMCN,renal_epithelial,10.1,5.6,proximal tubule cells,4,vascular,-0.40596911923027346
EMCN,immune,6.3,2.1125,macrophages,5,vascular,-0.40596911923027346
FHOD1,other,74.2,9.367424242424242,megakaryocytes,1,other,0.41652762820698513
FHOD1,immune,37.7,19.8625,mast cells,2,other,0.41652762820698513
FHOD1,vascular,30.1,17.16,pericytes,3,other,0.41652762820698513
FHOD1,renal_epithelial,15.2,6.72,peritubular myoid cells,4,other,0.41652762820698513
FHOD1,stromal,13.3,9.375,fibroblasts,5,other,0.41652762820698513
FUT6,other,517.5,11.401515151515152,esophageal apical cells,1,other,-0.4058860669942024
FUT6,renal_epithelial,129.1,26.36,proximal tubule cells,2,other,-0.4058860669942024
FUT6,immune,1,0.45,mast cells,3,other,-0.4058860669942024
FUT6,stromal,1,0.55,endometrial stromal cells,3,other,-0.4058860669942024
FUT6,vascular,0.4,0.24,vascular smooth muscle cells,5,other,-0.4058860669942024
GRAMD1A,immune,679.5,132.5,neutrophils,1,immune,0.43806916847653543
GRAMD1A,other,166.8,31.810606060606062,pancreatic acinar cells,2,immune,0.43806916847653543
GRAMD1A,vascular,97.8,51.16,vascular endothelial cells,3,immune,0.43806916847653543
GRAMD1A,stromal,74.2,43.35,ovarian stromal cells,4,immune,0.43806916847653543
GRAMD1A,renal_epithelial,40.7,25.220000000000002,peritubular myoid cells,5,immune,0.43806916847653543
HHLA2,other,691.1,14.84621212121212,enterocytes,1,other,-0.46871237804694216
