repeat_id,fold,n_test,test_events
1,1,104,34
1,2,104,34
1,3,103,34
1,4,103,34
1,5,103,34
2,1,104,34
2,2,104,34
2,3,103,34
2,4,103,34
2,5,103,34
3,1,104,34
3,2,104,34
3,3,103,34
3,4,103,34
3,5,103,34
4,1,104,34
4,2,104,34
4,3,103,34
4,4,103,34
4,5,103,34
5,1,104,34
5,2,104,34
5,3,103,34
5,4,103,34
5,5,103,34
6,1,104,34
6,2,104,34
6,3,103,34
6,4,103,34
6,5,103,34
7,1,104,34
7,2,104,34
7,3,103,34
7,4,103,34
7,5,103,34
8,1,104,34
8,2,104,34
8,3,103,34
8,4,103,34
8,5,103,34
9,1,104,34
9,2,104,34
9,3,103,34
9,4,103,34
9,5,103,34
10,1,104,34
10,2,104,34
10,3,103,34
10,4,103,34
10,5,103,34
