repeat_id,fold,n_train,n_test,train_de_genes,selected_gene,outlier_replacement_fallback,no_gene_selected
1,1,413,104,3371,ENSG00000055163.20,FALSE,FALSE
1,2,413,104,3368,ENSG00000159147.18,FALSE,FALSE
1,3,414,103,3307,ENSG00000055163.20,FALSE,FALSE
1,4,414,103,3331,ENSG00000114455.13,FALSE,FALSE
1,5,414,103,3350,ENSG00000165475.15,FALSE,FALSE
2,1,413,104,3366,ENSG00000055163.20,FALSE,FALSE
2,2,413,104,3315,ENSG00000165475.15,FALSE,FALSE
2,3,414,103,3327,ENSG00000055163.20,FALSE,FALSE
2,4,414,103,3298,ENSG00000055163.20,FALSE,FALSE
2,5,414,103,3431,ENSG00000114455.13,FALSE,FALSE
3,1,413,104,3314,ENSG00000055163.20,FALSE,FALSE
3,2,413,104,3330,ENSG00000165475.15,FALSE,FALSE
3,3,414,103,3447,ENSG00000165475.15,FALSE,FALSE
3,4,414,103,3348,ENSG00000165475.15,FALSE,FALSE
3,5,414,103,3297,ENSG00000055163.20,FALSE,FALSE
4,1,413,104,3287,ENSG00000132437.18,FALSE,FALSE
4,2,413,104,3414,ENSG00000114455.13,FALSE,FALSE
4,3,414,103,3329,ENSG00000133116.8,FALSE,FALSE
4,4,414,103,3336,ENSG00000055163.20,FALSE,FALSE
4,5,414,103,3383,ENSG00000055163.20,FALSE,FALSE
5,1,413,104,3314,ENSG00000132837.15,FALSE,FALSE
5,2,413,104,3348,ENSG00000055163.20,FALSE,FALSE
5,3,414,103,3075,ENSG00000165475.15,TRUE,FALSE
5,4,414,103,3432,ENSG00000114455.13,FALSE,FALSE
5,5,414,103,3357,ENSG00000055163.20,FALSE,FALSE
6,1,413,104,3333,ENSG00000114455.13,FALSE,FALSE
6,2,413,104,3363,ENSG00000055163.20,FALSE,FALSE
6,3,414,103,3288,ENSG00000114455.13,FALSE,FALSE
6,4,414,103,3345,ENSG00000055163.20,FALSE,FALSE
6,5,414,103,3421,ENSG00000055163.20,FALSE,FALSE
7,1,413,104,3314,ENSG00000055163.20,FALSE,FALSE
7,2,413,104,3296,ENSG00000055163.20,FALSE,FALSE
7,3,414,103,3375,ENSG00000166415.15,FALSE,FALSE
7,4,414,103,3421,ENSG00000114455.13,FALSE,FALSE
7,5,414,103,3326,ENSG00000055163.20,FALSE,FALSE
8,1,413,104,3340,ENSG00000114455.13,FALSE,FALSE
8,2,413,104,3343,ENSG00000165475.15,FALSE,FALSE
8,3,414,103,3427,ENSG00000163071.11,FALSE,FALSE
8,4,414,103,3334,ENSG00000055163.20,FALSE,FALSE
8,5,414,103,3307,ENSG00000114455.13,FALSE,FALSE
9,1,413,104,3403,ENSG00000055163.20,FALSE,FALSE
9,2,413,104,3362,ENSG00000114455.13,FALSE,FALSE
9,3,414,103,3382,ENSG00000163399.16,FALSE,FALSE
9,4,414,103,3322,ENSG00000163071.11,FALSE,FALSE
9,5,414,103,3309,ENSG00000055163.20,FALSE,FALSE
10,1,413,104,3356,ENSG00000165475.15,FALSE,FALSE
10,2,413,104,3125,ENSG00000055163.20,TRUE,FALSE
10,3,414,103,3318,ENSG00000114455.13,FALSE,FALSE
10,4,414,103,3282,ENSG00000055163.20,FALSE,FALSE
10,5,414,103,3420,ENSG00000165475.15,FALSE,FALSE
