symbol,tcga_gene_id,frozen_high_confidence,repeats_modeled,main_screen_frequency,selection_frequency,median_log_hr,log_hr_ci_low,log_hr_ci_high,full_main_log_hr,full_fit_direction_agreement
PANK1,ENSG00000152782.16,TRUE,100,0.87,0.66,-0.4818563975510445,-0.6429050288010838,-0.35915645820710884,-0.4768214482591282,TRUE
CLCN5,ENSG00000171365.17,TRUE,100,0.65,0.6,-0.44134595685578043,-0.6165583413639797,-0.28536485925661087,-0.4179705520742072,TRUE
ACADM,ENSG00000117054.14,TRUE,100,0.72,0.59,-0.46253685435755054,-0.5847658540988316,-0.2976830016133863,-0.44954477780770535,TRUE
CRYL1,ENSG00000165475.15,TRUE,100,0.78,0.56,-0.47590448077232045,-0.5853950173085699,-0.32617835593535455,-0.4532002843034422,TRUE
TCIRG1,ENSG00000110719.10,TRUE,100,0.6,0.55,0.43293950679692106,0.24813315939841885,0.6264178976523244,0.4294557278534527,TRUE
KNTC1,ENSG00000184445.12,FALSE,100,0.58,0.52,0.4225766591996337,0.2189472748074056,0.5566584344857735,0.39970873826885256,TRUE
LRBA,ENSG00000198589.14,TRUE,100,0.6,0.51,-0.4295633053645266,-0.607785421618305,-0.24348198520901376,-0.4531098301322976,TRUE
GRAMD1A,ENSG00000089351.14,TRUE,100,0.54,0.51,0.41320569229997706,0.2496787258048831,0.5707991043774827,0.43806916847653543,TRUE
HIBCH,ENSG00000198130.16,TRUE,100,0.6,0.5,-0.4220176680259173,-0.5926361376730874,-0.25821581924628967,-0.4145921448859503,TRUE
TEK,ENSG00000120156.22,TRUE,100,0.56,0.49,-0.4135484686462278,-0.5661032357239397,-0.22594752629607043,-0.4058770649337851,TRUE
TMEM140,ENSG00000146859.6,FALSE,100,0.59,0.48,-0.4235984847771762,-0.547810575553189,-0.2502145856358565,-0.40438331187258514,TRUE
EMCN,ENSG00000164035.10,TRUE,100,0.53,0.46,-0.4157002736069455,-0.5511793232415513,-0.2576301007563004,-0.40596911923027346,TRUE
CYFIP2,ENSG00000055163.20,TRUE,100,0.81,0.45,-0.46954474406204416,-0.6189635990264343,-0.35248717840852795,-0.44123008987349144,TRUE
PBLD,ENSG00000108187.16,FALSE,100,0.49,0.45,-0.3989685325910097,-0.5306465229352147,-0.23974048479564553,-0.3931493498855932,TRUE
TNFAIP2,ENSG00000185215.11,TRUE,100,0.48,0.44,0.3953954183961381,0.19350055366758134,0.5890302224806075,0.4305901648197023,TRUE
SLC7A9,ENSG00000021488.13,FALSE,100,0.45,0.44,-0.3946872029527948,-0.5297777562491685,-0.23460877908301575,-0.3979594716001528,TRUE
PODXL,ENSG00000128567.17,TRUE,100,0.54,0.43,-0.4110123830461932,-0.5714754066825535,-0.24545299738118792,-0.40933662500657014,TRUE
CADPS2,ENSG00000081803.16,TRUE,100,0.53,0.42,-0.4076196596486401,-0.5357190441516732,-0.2610021976883854,-0.4246365505457781,TRUE
AJAP1,ENSG00000196581.11,FALSE,100,0.43,0.42,-0.37923188648743245,-0.5738511007436718,-0.17559559400816765,-0.3693908646309971,TRUE
SPATA18,ENSG00000163071.11,FALSE,100,0.48,0.41,-0.401588832554696,-0.5612575716854594,-0.2581061706576762,-0.3847330066661166,TRUE
PLG,ENSG00000122194.19,FALSE,100,0.47,0.41,-0.3823976876996765,-0.6118959837875648,-0.14836084267988797,-0.38072019029688103,TRUE
SLC22A6,ENSG00000197901.12,FALSE,100,0.49,0.4,-0.3999363094569643,-0.6075840405805056,-0.21301919163734984,-0.38691752939972346,TRUE
RDH12,ENSG00000139988.10,FALSE,100,0.46,0.4,-0.3949108296521605,-0.6491183816705803,-0.13396967752194983,-0.37401173861172166,TRUE
RGS17,ENSG00000091844.8,FALSE,100,0.43,0.4,0.3918028949542755,0.2551649664353385,0.5339111522628464,0.3713765166248296,TRUE
ABCD3,ENSG00000117528.14,FALSE,100,0.41,0.4,-0.3901959873362538,-0.5580444071355675,-0.1880188904400641,-0.3818866224905232,TRUE
IFFO1,ENSG00000010295.20,TRUE,100,0.5,0.39,0.4080543626005768,0.2297495413648784,0.5831968502240114,0.4205016741985371,TRUE
TROAP,ENSG00000135451.13,FALSE,100,0.47,0.39,0.3999148006041825,0.2143261557367148,0.5647529518482685,0.40496088785156314,TRUE
SBNO2,ENSG00000064932.16,FALSE,100,0.41,0.39,0.3775675224866307,0.20102247679793128,0.6039823369883794,0.3810801336731861,TRUE
