symbol,tcga_gene_id,frozen_high_confidence,repeats_modeled,main_screen_frequency,selection_frequency,median_log_hr,log_hr_ci_low,log_hr_ci_high,full_main_log_hr,full_fit_direction_agreement
PANK1,ENSG00000152782.16,TRUE,100,0.87,0.66,-0.4818563975510445,-0.6429050288010838,-0.35915645820710884,-0.4768214482591282,TRUE
CLCN5,ENSG00000171365.17,TRUE,100,0.65,0.6,-0.44134595685578043,-0.6165583413639797,-0.28536485925661087,-0.4179705520742072,TRUE
ACADM,ENSG00000117054.14,TRUE,100,0.72,0.59,-0.46253685435755054,-0.5847658540988316,-0.2976830016133863,-0.44954477780770535,TRUE
CRYL1,ENSG00000165475.15,TRUE,100,0.78,0.56,-0.47590448077232045,-0.5853950173085699,-0.32617835593535455,-0.4532002843034422,TRUE
TCIRG1,ENSG00000110719.10,TRUE,100,0.6,0.55,0.43293950679692106,0.24813315939841885,0.6264178976523244,0.4294557278534527,TRUE
LRBA,ENSG00000198589.14,TRUE,100,0.6,0.51,-0.4295633053645266,-0.607785421618305,-0.24348198520901376,-0.4531098301322976,TRUE
GRAMD1A,ENSG00000089351.14,TRUE,100,0.54,0.51,0.41320569229997706,0.2496787258048831,0.5707991043774827,0.43806916847653543,TRUE
HIBCH,ENSG00000198130.16,TRUE,100,0.6,0.5,-0.4220176680259173,-0.5926361376730874,-0.25821581924628967,-0.4145921448859503,TRUE
TEK,ENSG00000120156.22,TRUE,100,0.56,0.49,-0.4135484686462278,-0.5661032357239397,-0.22594752629607043,-0.4058770649337851,TRUE
EMCN,ENSG00000164035.10,TRUE,100,0.53,0.46,-0.4157002736069455,-0.5511793232415513,-0.2576301007563004,-0.40596911923027346,TRUE
CYFIP2,ENSG00000055163.20,TRUE,100,0.81,0.45,-0.46954474406204416,-0.6189635990264343,-0.35248717840852795,-0.44123008987349144,TRUE
TNFAIP2,ENSG00000185215.11,TRUE,100,0.48,0.44,0.3953954183961381,0.19350055366758134,0.5890302224806075,0.4305901648197023,TRUE
PODXL,ENSG00000128567.17,TRUE,100,0.54,0.43,-0.4110123830461932,-0.5714754066825535,-0.24545299738118792,-0.40933662500657014,TRUE
CADPS2,ENSG00000081803.16,TRUE,100,0.53,0.42,-0.4076196596486401,-0.5357190441516732,-0.2610021976883854,-0.4246365505457781,TRUE
IFFO1,ENSG00000010295.20,TRUE,100,0.5,0.39,0.4080543626005768,0.2297495413648784,0.5831968502240114,0.4205016741985371,TRUE
DBT,ENSG00000137992.14,TRUE,100,0.47,0.38,-0.3842449732243344,-0.5475995796322553,-0.2376706969091258,-0.4166457711143031,TRUE
FUT6,ENSG00000156413.14,TRUE,100,0.49,0.37,-0.4031905970038549,-0.54940102179907635,-0.2679173867270122,-0.4058860669942024,TRUE
C1QTNF6,ENSG00000133466.14,TRUE,100,0.6,0.36,0.4244510559308836,0.2808778261638287,0.5992705456139718,0.4485051545354674,TRUE
DDC,ENSG00000132437.18,TRUE,100,0.51,0.36,-0.4067003285735781,-0.5485210795439006,-0.2950250687243563,-0.4168067446963606,TRUE
HHLA2,ENSG00000114455.13,TRUE,100,0.8,0.34,-0.4691913967816133,-0.628786666385067,-0.3196633591034762,-0.46871237804694216,TRUE
KL,ENSG00000133116.8,TRUE,100,0.53,0.33,-0.41409817489624434,-0.5502761063238499,-0.2795564897949761,-0.4133638758779611,TRUE
ACAT1,ENSG00000075239.14,TRUE,100,0.45,0.33,-0.3951180103101326,-0.6047725317433592,-0.2377750464729679,-0.4087572707425221,TRUE
IQGAP2,ENSG00000145703.16,TRUE,100,0.44,0.25,-0.39598228705546323,-0.5518891030190924,-0.2850079683279071,-0.4156362728911144,TRUE
FHOD1,ENSG00000135723.14,TRUE,100,0.43,0.24,0.38931887188202025,0.20488769762987918,0.603586159668217,0.41652762820698513,TRUE
