symbol,bootstrap_repeats,selected_repeats,selection_frequency,oob_evaluable_repeats,mean_oob_clinical_c_index,mean_oob_clinical_gene_c_index,mean_oob_delta_c_index,median_oob_delta_c_index,oob_delta_ci_low,oob_delta_ci_high,positive_oob_delta_frequency
PANK1,100,66,0.66,66,0.7556715500962695,0.7723648507182326,0.016693300621963083,0.01858778085892543,-0.014437095342408154,0.03684969037230361,0.8939393939393939
CLCN5,100,60,0.6,60,0.7572204008954865,0.7667665622384725,0.009546161342986043,0.01079655207346858,-0.026571234183620073,0.035665750564392605,0.8
ACADM,100,59,0.59,59,0.7572266826727095,0.7691074902329181,0.011880807560208588,0.01486364223859371,-0.025544954222749133,0.035902689541027835,0.847457627118644
CRYL1,100,56,0.56,56,0.7535829777997788,0.7678695424066805,0.014286564606901706,0.01670511415960929,-0.015865177125960694,0.03447487469525137,0.8392857142857143
TCIRG1,100,55,0.55,55,0.7602246400799437,0.7667709066834241,0.006546266603480309,0.006709451575262482,-0.017723112191705463,0.027396239516402306,0.6727272727272727
GRAMD1A,100,51,0.51,51,0.7584485830818631,0.7637125373639981,0.0052639542821349755,0.00909205707791394,-0.02077484931719875,0.023052568987020794,0.6274509803921569
LRBA,100,51,0.51,51,0.7587045901271731,0.7631932537009363,0.0044886635737633055,0.006720951273103237,-0.03695083915570649,0.035204997872119836,0.6470588235294118
HIBCH,100,50,0.5,50,0.7572985795571546,0.7590956514073735,0.0017970718502188677,4.3373994736173316e-4,-0.019601101624171013,0.021387888375315887,0.54
TEK,100,49,0.49,49,0.7572202560917524,0.7662760933381909,0.009055837246438585,0.008801449650530757,-0.009145456113560345,0.03165576219776631,0.7551020408163265
EMCN,100,46,0.46,46,0.7576279838527961,0.7594878906308626,0.0018599067780665827,0.0013458554086735464,-0.027021649703396503,0.026111680701370654,0.5652173913043478
CYFIP2,100,45,0.45,45,0.7558984945300277,0.777252619524479,0.021354124994451266,0.02087682672233826,-0.005117896024510548,0.043180044640326744,0.9111111111111111
TNFAIP2,100,44,0.44,44,0.760569592501518,0.7627773592994136,0.002207766797895656,0.003743827534591515,-0.026368493129670156,0.029586918723675134,0.5681818181818182
PODXL,100,43,0.43,43,0.7574572867173879,0.762916441120626,0.005459154403238042,0.0038121170864533482,-0.020711581102180687,0.02953511380748307,0.6744186046511628
CADPS2,100,42,0.42,42,0.7610388735485162,0.7633301335534423,0.002291260004926116,0.004500284044814229,-0.02862730584634723,0.02247857152651191,0.5952380952380952
IFFO1,100,39,0.39,39,0.7607225963175744,0.7626018613525999,0.0018792650350254573,0.0017678999873721457,-0.025825009344117945,0.02233011024515196,0.6153846153846154
DBT,100,38,0.38,38,0.7606878886545199,0.7573043757276674,-0.0033835129268524463,-0.0032978993533627765,-0.02352894849402131,0.01819665753219889,0.39473684210526316
FUT6,100,37,0.37,37,0.7583528648946511,0.7632103650550223,0.004857500160371147,0.0034823791614431165,-0.023456513763749808,0.028475929480949007,0.5945945945945946
C1QTNF6,100,36,0.36,36,0.7588496231200463,0.7705662464956946,0.01171662337564821,0.012416619225259273,-0.016565141831174163,0.03239959796160309,0.8333333333333334
DDC,100,36,0.36,36,0.7548712346894714,0.7605201289085343,0.005648894219062962,0.007355156667152363,-0.015646321117245482,0.02650007576562112,0.6666666666666666
HHLA2,100,34,0.34,34,0.7564673703505009,0.7716798147101059,0.015212444359604982,0.017346314891514003,-0.008227093062076966,0.034119907700740484,0.9411764705882353
ACAT1,100,33,0.33,33,0.760030270556271,0.766219088995099,0.006188818438828058,0.007926397735314894,-0.030884060930797697,0.029080208741685338,0.7575757575757576
KL,100,33,0.33,33,0.7563875639790059,0.7599973093079396,0.0036097453289337263,0.002907681124303396,-0.022150046828361056,0.020856978872217984,0.5757575757575758
IQGAP2,100,25,0.25,25,0.7565229352632058,0.7653096734938282,0.008786738230622345,0.003151548369416224,-0.008684291573827885,0.030396184437067816,0.68
FHOD1,100,24,0.24,24,0.756911025412379,0.7479761166436883,-0.008934908768690589,-0.011430397227810196,-0.04246324060327138,0.017953543569936694,0.25
