repeat_id,inbag_draws,unique_inbag_patients,oob_patients,oob_events,modeled_genes,main_screen_genes,selected_genes,selected_frozen_candidates
1,517,326,191,64,3304,381,207,22
2,517,322,195,61,3304,60,35,9
3,517,332,185,65,3304,84,27,9
4,517,331,186,59,3304,161,61,14
5,517,340,177,57,3304,249,116,21
6,517,330,187,66,3304,99,14,2
7,517,322,195,58,3304,148,65,14
8,517,327,190,66,3304,38,20,6
9,517,314,203,66,3304,154,66,14
10,517,327,190,64,3304,49,31,4
11,517,319,198,63,3304,130,53,10
12,517,343,174,59,3304,196,70,8
13,517,334,183,63,3304,50,31,8
14,517,328,189,61,3304,252,136,23
15,517,313,204,60,3304,89,26,5
16,517,314,203,68,3304,167,101,14
17,517,321,196,61,3304,27,12,0
18,517,318,199,66,3304,245,121,17
19,517,321,196,64,3304,189,50,2
20,517,318,199,60,3304,47,30,5
21,517,334,183,60,3304,64,39,10
22,517,319,198,64,3304,53,23,5
23,517,330,187,63,3304,238,112,20
24,517,321,196,67,3304,162,87,17
25,517,323,194,61,3304,43,20,7
26,517,315,202,69,3304,174,100,14
27,517,340,177,55,3304,165,89,13
28,517,321,196,62,3304,150,70,10
29,517,323,194,69,3304,65,46,12
30,517,319,198,68,3304,139,64,10
31,517,324,193,61,3304,164,91,20
32,517,326,191,65,3304,315,162,13
33,517,327,190,60,3304,55,38,11
34,517,340,177,54,3304,148,75,16
35,517,327,190,66,3304,198,82,17
36,517,332,185,58,3304,111,68,12
37,517,326,191,63,3304,83,56,10
38,517,322,195,66,3304,201,76,15
39,517,324,193,66,3304,182,92,18
40,517,317,200,69,3304,185,112,19
41,517,319,198,61,3304,238,116,20
42,517,320,197,66,3304,149,52,8
43,517,319,198,65,3304,154,68,7
44,517,329,188,57,3304,164,101,15
45,517,319,198,63,3304,198,87,14
46,517,326,191,68,3304,54,25,9
47,517,343,174,60,3304,27,7,3
48,517,319,198,69,3304,186,84,15
49,517,340,177,58,3304,56,27,12
50,517,330,187,55,3304,80,31,8
51,517,321,196,66,3304,57,36,9
52,517,310,207,68,3304,168,82,11
53,517,336,181,57,3304,21,9,1
54,517,330,187,69,3304,314,168,12
55,517,335,182,58,3304,352,186,20
56,517,334,183,66,3304,208,43,2
57,517,328,189,60,3304,131,61,10
58,517,318,199,60,3304,205,63,0
59,517,325,192,65,3304,111,55,17
60,517,329,188,59,3304,67,36,11
61,517,326,191,61,3304,155,48,7
62,517,334,183,63,3304,134,73,16
63,517,329,188,59,3304,245,104,16
64,517,332,185,56,3304,80,32,8
65,517,335,182,66,3304,76,40,6
66,517,332,185,64,3304,133,61,13
67,517,318,199,73,3304,119,48,10
68,517,317,200,67,3304,49,24,7
69,517,335,182,61,3304,36,23,7
70,517,323,194,67,3304,364,128,9
71,517,326,191,66,3304,393,152,14
72,517,311,206,67,3304,99,24,10
73,517,313,204,72,3304,175,67,17
74,517,328,189,65,3304,203,92,15
75,517,328,189,58,3304,240,75,7
76,517,326,191,62,3304,102,41,12
77,517,321,196,62,3304,52,27,8
78,517,331,186,63,3304,34,20,5
79,517,336,181,59,3304,8,4,0
80,517,325,192,65,3304,259,143,15
81,517,331,186,65,3304,13,9,3
82,517,332,185,69,3304,128,86,8
83,517,334,183,61,3304,318,148,15
84,517,327,190,69,3304,150,82,10
85,517,326,191,67,3304,180,91,13
86,517,328,189,63,3304,35,28,8
87,517,329,188,63,3304,430,119,6
88,517,330,187,57,3304,34,23,5
89,517,332,185,58,3304,172,82,12
90,517,339,178,62,3304,151,37,5
91,517,336,181,57,3304,272,145,18
92,517,323,194,63,3304,131,62,12
93,517,333,184,62,3304,160,91,15
94,517,315,202,65,3304,22,10,4
95,517,327,190,65,3304,178,57,11
96,517,326,191,60,3304,17,6,2
97,517,325,192,61,3304,45,25,3
98,517,323,194,60,3304,23,5,1
99,517,329,188,60,3304,56,28,5
100,517,325,192,56,3304,120,72,14
