symbol,prior_gene_id,current_gene_id,status,prior_commit
KNTC1,NA,ENSG00000184445.12,added,d5a59464006c3a174c0de5d85d82a77eb549189d
TMEM140,NA,ENSG00000146859.6,added,d5a59464006c3a174c0de5d85d82a77eb549189d
TNIP1,NA,ENSG00000145901.16,added,d5a59464006c3a174c0de5d85d82a77eb549189d
ACAT1,ENSG00000075239.14,NA,removed,d5a59464006c3a174c0de5d85d82a77eb549189d
DBT,ENSG00000137992.14,NA,removed,d5a59464006c3a174c0de5d85d82a77eb549189d
EMCN,ENSG00000164035.10,NA,removed,d5a59464006c3a174c0de5d85d82a77eb549189d
FHOD1,ENSG00000135723.14,NA,removed,d5a59464006c3a174c0de5d85d82a77eb549189d
FUT6,ENSG00000156413.14,NA,removed,d5a59464006c3a174c0de5d85d82a77eb549189d
IQGAP2,ENSG00000145703.16,NA,removed,d5a59464006c3a174c0de5d85d82a77eb549189d
TEK,ENSG00000120156.22,NA,removed,d5a59464006c3a174c0de5d85d82a77eb549189d
ACADM,ENSG00000117054.14,ENSG00000117054.14,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
C1QTNF6,ENSG00000133466.14,ENSG00000133466.14,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
CADPS2,ENSG00000081803.16,ENSG00000081803.16,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
CLCN5,ENSG00000171365.17,ENSG00000171365.17,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
CRYL1,ENSG00000165475.15,ENSG00000165475.15,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
CYFIP2,ENSG00000055163.20,ENSG00000055163.20,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
DDC,ENSG00000132437.18,ENSG00000132437.18,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
GJB1,ENSG00000169562.13,ENSG00000169562.13,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
GRAMD1A,ENSG00000089351.14,ENSG00000089351.14,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
HHLA2,ENSG00000114455.13,ENSG00000114455.13,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
HIBCH,ENSG00000198130.16,ENSG00000198130.16,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
IFFO1,ENSG00000010295.20,ENSG00000010295.20,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
KL,ENSG00000133116.8,ENSG00000133116.8,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
LRBA,ENSG00000198589.14,ENSG00000198589.14,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
LTB4R,ENSG00000213903.9,ENSG00000213903.9,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
PANK1,ENSG00000152782.16,ENSG00000152782.16,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
PODXL,ENSG00000128567.17,ENSG00000128567.17,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
RBM47,ENSG00000163694.15,ENSG00000163694.15,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
TCIRG1,ENSG00000110719.10,ENSG00000110719.10,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
TNFAIP2,ENSG00000185215.11,ENSG00000185215.11,retained,d5a59464006c3a174c0de5d85d82a77eb549189d
