repeat_id,fold,lambda,n_genes,train_repro_genes,fallback_to_clinical
1,1,34.47487806311701,3371,3371,FALSE
1,2,67.5452284132536,3368,3368,FALSE
1,3,22.28956786963247,3307,3307,FALSE
1,4,26.197729721560883,3331,3331,FALSE
1,5,50.56523111376538,3350,3350,FALSE
2,1,51.0113647698728,3366,3366,FALSE
2,2,29.011615514821084,3080,3080,FALSE
2,3,43.815131436048375,3327,3327,FALSE
2,4,38.89038721973005,3091,3091,FALSE
2,5,46.416102946989625,3431,3431,FALSE
3,1,36.42526744613055,3314,3314,FALSE
3,2,47.54429703428246,3330,3330,FALSE
3,3,43.577042352132914,3447,3447,FALSE
3,4,54.283831101895025,3348,3348,FALSE
3,5,26.841180973712717,3297,3297,FALSE
4,1,43.82063835979635,3287,3287,FALSE
4,2,43.189450877637995,3414,3414,FALSE
4,3,36.93609214877997,3329,3329,FALSE
4,4,41.33971794023651,3336,3336,FALSE
4,5,37.89908456416626,3383,3383,FALSE
5,1,24.191583204042203,3067,3067,FALSE
5,2,31.320068784049056,3348,3348,FALSE
5,3,34.475221314962276,3303,3303,FALSE
5,4,32.81427854577939,3432,3432,FALSE
5,5,62.844435468856794,3357,3357,FALSE
6,1,25.0715286677066,3333,3333,FALSE
6,2,49.23729218277425,3363,3363,FALSE
6,3,44.07371067790376,3288,3288,FALSE
6,4,45.12295124776315,3345,3345,FALSE
6,5,43.7455202604687,3421,3421,FALSE
7,1,43.042169695759846,3314,3314,FALSE
7,2,47.74825680417328,3296,3296,FALSE
7,3,52.521984239779755,3375,3375,FALSE
7,4,53.55420256040108,3421,3421,FALSE
7,5,25.77150656270109,3326,3326,FALSE
8,1,19.803843999033408,3340,3340,FALSE
8,2,45.09731470521977,3343,3343,FALSE
8,3,37.29682588021177,3427,3427,FALSE
8,4,37.11803007139908,3334,3334,FALSE
8,5,50.114241487139715,3307,3307,FALSE
9,1,39.10236483071252,3403,3403,FALSE
9,2,32.573464952201675,3362,3362,FALSE
9,3,55.62802757697435,3382,3382,FALSE
9,4,36.94084909696376,3322,3322,FALSE
9,5,46.91181252294468,3309,3309,FALSE
10,1,37.08465871964979,3356,3356,FALSE
10,2,28.717779892230144,3370,3370,FALSE
10,3,31.80287786886269,3318,3318,FALSE
10,4,55.0818881551493,3282,3282,FALSE
10,5,33.82550762110366,3420,3420,FALSE
