metric,value
folds,50
fallback_folds,0
lambda_min,19.803843999033408
lambda_median,40.221041385474514
lambda_max,67.5452284132536
mean_n_genes,3335.42
min_n_genes,3067
max_n_genes,3447
mean_c,0.7692528524107471
mean_delta_c,0.02568825910931175
delta_c_ci_low,0.01157732586151937
delta_c_ci_high,0.04128100260571811
mean_brier3,0.14299716958159478
mean_delta_brier3,-0.00627343301390293
delta_brier_ci_low,-0.01414846779402848
delta_brier_ci_high,0.00165507092118496
mean_calibration_slope,0.8705910914543816
