symbol,tcga_gene_id,repeats_modeled,main_screen_frequency,selection_frequency,median_log_hr,log_hr_iqr,full_main_log_hr,frozen_high_confidence,full_fit_direction_agreement
PANK1,ENSG00000152782.16,20,1,1,-0.48307016185121204,0.04680317221928998,-0.4768214482591282,TRUE,TRUE
ACADM,ENSG00000117054.14,20,0.95,0.95,-0.46109192884382355,0.030859027378895842,-0.44954477780770535,TRUE,TRUE
DDC,ENSG00000132437.18,20,0.9,0.9,-0.4271076530309591,0.027286673666996664,-0.4168067446963606,TRUE,TRUE
CYFIP2,ENSG00000055163.20,20,1,0.85,-0.43965164889202524,0.04384061330092964,-0.44123008987349144,TRUE,TRUE
CRYL1,ENSG00000165475.15,20,0.95,0.85,-0.4736585773009079,0.03340191298949252,-0.4532002843034422,TRUE,TRUE
CLCN5,ENSG00000171365.17,20,0.85,0.85,-0.42995135489237746,0.03965027440194413,-0.4179705520742072,TRUE,TRUE
PODXL,ENSG00000128567.17,20,0.75,0.75,-0.4265008259131957,0.04825789738002606,-0.40933662500657014,TRUE,TRUE
CADPS2,ENSG00000081803.16,20,0.7,0.7,-0.41831667212141405,0.03128090583534482,-0.4246365505457781,TRUE,TRUE
TEK,ENSG00000120156.22,20,0.7,0.7,-0.4210168752258497,0.04981446651060917,-0.4058770649337851,TRUE,TRUE
TMEM140,ENSG00000146859.6,20,0.7,0.7,-0.4203835486380303,0.03198875566894077,-0.40438331187258514,FALSE,TRUE
HHLA2,ENSG00000114455.13,20,0.95,0.65,-0.48373043400374105,0.027772947758998412,-0.46871237804694216,TRUE,TRUE
GJB1,ENSG00000169562.13,20,0.85,0.65,-0.43057844802662626,0.046842905486233155,-0.4224650121316321,FALSE,TRUE
C1QTNF6,ENSG00000133466.14,20,0.7,0.65,0.4367594954636983,0.06138870907360633,0.4485051545354674,TRUE,TRUE
LRBA,ENSG00000198589.14,20,0.65,0.65,-0.418110066109666,0.059072575943244665,-0.4531098301322976,TRUE,TRUE
TNIP1,ENSG00000145901.16,20,0.65,0.65,-0.41198039420285165,0.04898070842767538,-0.4000398661892611,FALSE,TRUE
EMCN,ENSG00000164035.10,20,0.6,0.6,-0.42069166032545025,0.04495686477573452,-0.40596911923027346,TRUE,TRUE
KL,ENSG00000133116.8,20,0.6,0.6,-0.4179533976328064,0.06026645900355204,-0.4133638758779611,TRUE,TRUE
TCIRG1,ENSG00000110719.10,20,0.6,0.6,0.4218143820362666,0.0584691149209971,0.4294557278534527,TRUE,TRUE
TNFAIP2,ENSG00000185215.11,20,0.6,0.6,0.42190858940087994,0.07722342544882788,0.4305901648197023,TRUE,TRUE
GRAMD1A,ENSG00000089351.14,20,0.55,0.55,0.4074277135014416,0.06297186195774357,0.43806916847653543,TRUE,TRUE
IFFO1,ENSG00000010295.20,20,0.55,0.55,0.4087239787725551,0.07520357577408687,0.4205016741985371,TRUE,TRUE
KNTC1,ENSG00000184445.12,20,0.5,0.5,0.40437339052342247,0.04420365553050376,0.39970873826885256,FALSE,TRUE
MIAT,ENSG00000225783.8,20,0.5,0.5,0.40780439392855117,0.06414375091461383,0.3888211006563305,FALSE,TRUE
PLCL1,ENSG00000115896.16,20,0.5,0.5,-0.4063123107213089,0.09495410661640369,-0.3847581947784514,FALSE,TRUE
TROAP,ENSG00000135451.13,20,0.5,0.5,0.40925302037120526,0.07568063907426992,0.40496088785156314,FALSE,TRUE
VWF,ENSG00000110799.14,20,0.5,0.5,-0.3969787694452275,0.07189245405705258,-0.3781885530636176,FALSE,TRUE
CSNK1E,ENSG00000213923.13,20,0.5,0.45,0.4056846630959232,0.03631300190111342,0.4024417956023563,FALSE,TRUE
ACADSB,ENSG00000196177.13,20,0.45,0.45,-0.3997780836151038,0.06311071140305141,-0.39727075965729874,FALSE,TRUE
ALS2CL,ENSG00000178038.17,20,0.45,0.45,0.3925960720176923,0.04061597188649696,0.36851996161830786,FALSE,TRUE
DBT,ENSG00000137992.14,20,0.45,0.45,-0.4036557433506672,0.045364408354332475,-0.4166457711143031,TRUE,TRUE
FUT6,ENSG00000156413.14,20,0.45,0.45,-0.4004917043904729,0.036872327050317566,-0.4058860669942024,TRUE,TRUE
HIBCH,ENSG00000198130.16,20,0.45,0.45,-0.3983811805893978,0.02893547787983136,-0.4145921448859503,TRUE,TRUE
SLC22A6,ENSG00000197901.12,20,0.45,0.45,-0.40164674695465585,0.06102209094735811,-0.38691752939972346,FALSE,TRUE
SLC5A12,ENSG00000148942.15,20,0.45,0.45,-0.3955130908554467,0.0641137022984023,-0.38149159730325827,FALSE,TRUE
SLC7A9,ENSG00000021488.13,20,0.45,0.45,-0.39882978137525293,0.058837248339296266,-0.3979594716001528,FALSE,TRUE
ST6GALNAC3,ENSG00000184005.11,20,0.45,0.45,-0.40140925027450525,0.06720825223353388,-0.3897413260158228,FALSE,TRUE
IQGAP2,ENSG00000145703.16,20,0.6,0.4,-0.4236778327488049,0.0606244383839461,-0.4156362728911144,TRUE,TRUE
GLYAT,ENSG00000149124.11,20,0.45,0.4,-0.40388043276562635,0.02025510959351584,-0.3998039387359661,FALSE,TRUE
SUCLA2,ENSG00000136143.16,20,0.45,0.4,-0.39359562649893115,0.0531167576848785,-0.3926183976530704,FALSE,TRUE
ACAT1,ENSG00000075239.14,20,0.4,0.4,-0.4014632872827196,0.03237539564697245,-0.4087572707425221,TRUE,TRUE
ALDH6A1,ENSG00000119711.13,20,0.4,0.4,-0.37494006685163794,0.09622305826227406,-0.3703687873076541,FALSE,TRUE
KDR,ENSG00000128052.10,20,0.4,0.4,-0.3917639736242474,0.05550413942482424,-0.3647411036458737,FALSE,TRUE
PBLD,ENSG00000108187.16,20,0.4,0.4,-0.3941107922633602,0.036865801251406594,-0.3931493498855932,FALSE,TRUE
PLG,ENSG00000122194.19,20,0.4,0.4,-0.38596127901702726,0.08341315067635868,-0.38072019029688103,FALSE,TRUE
LTB4R,ENSG00000213903.9,20,0.55,0.35,0.4110546107065254,0.03902282554571379,0.4178160043117369,FALSE,TRUE
FHOD1,ENSG00000135723.14,20,0.5,0.35,0.40441628950571396,0.05762414552365236,0.41652762820698513,TRUE,TRUE
ABCD3,ENSG00000117528.14,20,0.35,0.35,-0.38655380322833816,0.0697427439923533,-0.3818866224905232,FALSE,TRUE
AURKB,ENSG00000178999.13,20,0.35,0.35,0.38098596045184663,0.061267114811708046,0.3879003039367351,FALSE,TRUE
CCDC146,ENSG00000135205.15,20,0.35,0.35,-0.389697674240683,0.06273487891735091,-0.3722645162005718,FALSE,TRUE
SBNO2,ENSG00000064932.16,20,0.35,0.35,0.37437690630313547,0.060355491385963855,0.3810801336731861,FALSE,TRUE
IRF9,ENSG00000213928.9,20,0.35,0.3,0.37592313445163367,0.08349225951666972,0.3694590907770381,FALSE,TRUE
CDCA3,ENSG00000111665.12,20,0.3,0.3,0.36920122857519944,0.06949755491402276,0.37258616406239864,FALSE,TRUE
CPEB4,ENSG00000113742.14,20,0.3,0.3,-0.38985663632511774,0.0411049292420087,-0.3992078117916211,FALSE,TRUE
GATM,ENSG00000171766.17,20,0.3,0.3,-0.36918587955431736,0.06729755951378885,-0.367842814112406,FALSE,TRUE
NNT,ENSG00000112992.18,20,0.3,0.3,-0.3559509384031969,0.08846942747163133,-0.3838129726721288,FALSE,TRUE
