symbol,tcga_gene_id,repeats_modeled,main_screen_frequency,selection_frequency,median_log_hr,log_hr_iqr,full_main_log_hr,frozen_high_confidence,full_fit_direction_agreement
PANK1,ENSG00000152782.16,20,1,1,-0.48307016185121204,0.04680317221928998,-0.4768214482591282,TRUE,TRUE
ACADM,ENSG00000117054.14,20,0.95,0.95,-0.46109192884382355,0.030859027378895842,-0.44954477780770535,TRUE,TRUE
DDC,ENSG00000132437.18,20,0.9,0.9,-0.4271076530309591,0.027286673666996664,-0.4168067446963606,TRUE,TRUE
CYFIP2,ENSG00000055163.20,20,1,0.85,-0.43965164889202524,0.04384061330092964,-0.44123008987349144,TRUE,TRUE
CRYL1,ENSG00000165475.15,20,0.95,0.85,-0.4736585773009079,0.03340191298949252,-0.4532002843034422,TRUE,TRUE
CLCN5,ENSG00000171365.17,20,0.85,0.85,-0.42995135489237746,0.03965027440194413,-0.4179705520742072,TRUE,TRUE
PODXL,ENSG00000128567.17,20,0.75,0.75,-0.4265008259131957,0.04825789738002606,-0.40933662500657014,TRUE,TRUE
CADPS2,ENSG00000081803.16,20,0.7,0.7,-0.41831667212141405,0.03128090583534482,-0.4246365505457781,TRUE,TRUE
TEK,ENSG00000120156.22,20,0.7,0.7,-0.4210168752258497,0.04981446651060917,-0.4058770649337851,TRUE,TRUE
HHLA2,ENSG00000114455.13,20,0.95,0.65,-0.48373043400374105,0.027772947758998412,-0.46871237804694216,TRUE,TRUE
C1QTNF6,ENSG00000133466.14,20,0.7,0.65,0.4367594954636983,0.06138870907360633,0.4485051545354674,TRUE,TRUE
LRBA,ENSG00000198589.14,20,0.65,0.65,-0.418110066109666,0.059072575943244665,-0.4531098301322976,TRUE,TRUE
EMCN,ENSG00000164035.10,20,0.6,0.6,-0.42069166032545025,0.04495686477573452,-0.40596911923027346,TRUE,TRUE
KL,ENSG00000133116.8,20,0.6,0.6,-0.4179533976328064,0.06026645900355204,-0.4133638758779611,TRUE,TRUE
TCIRG1,ENSG00000110719.10,20,0.6,0.6,0.4218143820362666,0.0584691149209971,0.4294557278534527,TRUE,TRUE
TNFAIP2,ENSG00000185215.11,20,0.6,0.6,0.42190858940087994,0.07722342544882788,0.4305901648197023,TRUE,TRUE
GRAMD1A,ENSG00000089351.14,20,0.55,0.55,0.4074277135014416,0.06297186195774357,0.43806916847653543,TRUE,TRUE
IFFO1,ENSG00000010295.20,20,0.55,0.55,0.4087239787725551,0.07520357577408687,0.4205016741985371,TRUE,TRUE
DBT,ENSG00000137992.14,20,0.45,0.45,-0.4036557433506672,0.045364408354332475,-0.4166457711143031,TRUE,TRUE
FUT6,ENSG00000156413.14,20,0.45,0.45,-0.4004917043904729,0.036872327050317566,-0.4058860669942024,TRUE,TRUE
HIBCH,ENSG00000198130.16,20,0.45,0.45,-0.3983811805893978,0.02893547787983136,-0.4145921448859503,TRUE,TRUE
IQGAP2,ENSG00000145703.16,20,0.6,0.4,-0.4236778327488049,0.0606244383839461,-0.4156362728911144,TRUE,TRUE
ACAT1,ENSG00000075239.14,20,0.4,0.4,-0.4014632872827196,0.03237539564697245,-0.4087572707425221,TRUE,TRUE
FHOD1,ENSG00000135723.14,20,0.5,0.35,0.40441628950571396,0.05762414552365236,0.41652762820698513,TRUE,TRUE
