symbol,pathway_class,evidence_score,tcga_gene_id,tcga_log2fc,gse40435_log2fc,gse53757_log2fc,main_log_hr,main_hr,main_hr_ci_low,main_hr_ci_high,main_fdr,main_ph_p_value,main_warning_count,stage_complete_log_hr,stage_complete_p_value,grade_complete_log_hr,grade_complete_p_value
CYFIP2,Metabolism,9.618290613836376,ENSG00000055163.20,-2.281149711391933,-1.131520208693071,-1.6858177738871676,-0.4403276873957715,0.6438254130397608,0.5681984587921453,0.7295182802096486,1.6496039075833828e-8,0.11023851345074288,0,-0.4525244848724998,8.924582102425174e-13,-0.5011742289302678,4.254750648053571e-17
CRYL1,Unclassified,9.511789311895217,ENSG00000165475.15,-1.0664355766496707,-1.69578909706931,-1.7178349940872006,-0.4562451822719112,0.6336584562310958,0.5553780413163518,0.7229724787128592,1.9752300440022042e-8,0.18056452806814727,0,-0.4686872323445526,1.4712438518090338e-12,-0.4659200899864024,3.3367597606598973e-13
HHLA2,Unclassified,9.243401235123986,ENSG00000114455.13,3.11873156630403,0.725911554316831,1.1893418509342688,-0.46651200190082415,0.6271860813603375,0.5467164714494546,0.7194997794912849,3.0568553030833886e-8,0.05642705568169961,0,-0.46045983091712855,1.815883649237417e-11,-0.38122638206946663,1.1074236655683729e-8
DDC,Metabolism,8.78183018980297,ENSG00000132437.18,-1.7003611404692802,-3.0840942365643587,-3.2261870369353054,-0.4170476451847731,0.6589895215186183,0.5731264634596904,0.7577161711393926,9.44690794637647e-7,0.15749640782673807,0,-0.4155695358933498,1.99992444193278e-9,-0.37592167673655097,2.032339727944992e-8
GLYAT,Unclassified,8.748483734277325,ENSG00000149124.11,-1.5174808239268225,-2.345229150059409,-3.0334648938973636,-0.3987985962068608,0.6711258550356348,0.5893418303855698,0.7642591957245538,5.439438573712407e-7,0.10463739095848434,0,-0.38540833263391794,1.822759043963965e-9,-0.34594686132895885,1.009659829446132e-7
KL,Unclassified,8.473842632193326,ENSG00000133116.8,-1.6393396573462955,-2.4495173085544577,-2.426454328769745,-0.4143562134600067,0.6607655357615693,0.5761717289518554,0.7577794454520288,7.828983753766447e-7,0.1948643174723704,0,-0.43199741095291744,2.1823132181701677e-10,-0.40961791516422486,4.171845926800827e-10
SPATA18,Unclassified,8.320473570259631,ENSG00000163071.11,1.6644510749564514,0.7487162074752467,1.3550647949788486,-0.383409778306642,0.6815335643872742,0.6051168096450839,0.7676005557651863,1.250508814175962e-7,0.736839316318689,0,-0.39168638692842034,6.392967432479594e-11,-0.3878115921985762,8.894102845845795e-12
RBM47,Unclassified,8.192422724685382,ENSG00000163694.15,-1.1026128043972716,-0.9786751691732682,-0.964544528574704,-0.406043543125073,0.6662811548295828,0.5877760949953241,0.7552715754535306,1.2074892654362825e-7,0.03994246936590942,0,-0.422463091946278,1.911708415934919e-11,-0.4257494764272216,4.813885198581292e-12
PANK1,Unclassified,7.9597997926115,ENSG00000152782.16,-1.487264489340242,-0.973737281943896,-1.539310028910279,-0.4732407037257613,0.6229800994979866,0.5346008349615079,0.7259700677393544,4.4522162039132833e-7,0.3007884399605408,0,-0.4986741199540799,9.280696330199361e-11,-0.5352030465217477,1.8282416580646612e-12
GJB1,Unclassified,7.9170601360216715,ENSG00000169562.13,-1.4671804841832965,-1.3689824870792098,-1.8533203396129423,-0.4272749730657404,0.6522841669888453,0.566609703096362,0.7509130750483677,7.54660946779054e-7,0.05705100752767134,0,-0.413226381090322,3.180041343504904e-9,-0.4129555060983059,1.093798590866854e-9
ACADM,Metabolism,7.831126054359602,ENSG00000117054.14,-1.5448144413983544,-1.5002221826782205,-1.6370101513545092,-0.4484141243283115,0.6386401528369687,0.5500624814917955,0.7414816653364318,9.375513631424824e-7,0.23934569085226448,0,-0.4662070721762217,5.900910624131833e-10,-0.4638276377426374,5.948195830008001e-11
CHDH,Unclassified,7.751263544670076,ENSG00000016391.11,-1.3284206919167552,-1.5669765747920807,-1.708740491695362,-0.3689634009332368,0.6914507164381523,0.6110845466906738,0.7823861621963852,9.44690794637647e-7,0.38169039657828147,0,-0.37866579878526857,2.139286521422643e-9,-0.36208456312575305,4.3949427892454737e-10
VWF,Unclassified,7.746325049655808,ENSG00000110799.14,3.003270347004179,3.426653638366337,3.080861215248217,-0.3806068340881252,0.6834465446873914,0.5897899701653385,0.7919754540996864,1.7176546673779324e-5,0.2530910286483258,0,-0.3904176853285762,1.3624257259674974e-7,-0.419701743053756,1.229814140014326e-8
SLC7A9,Unclassified,7.729797739379825,ENSG00000021488.13,-1.4021619596537245,-2.628228993386141,-2.6940420073399167,-0.3965322571429608,0.6726485786299152,0.5822330069803648,0.7771048788171913,5.263289316083222e-6,0.9825793871791888,0,-0.3802697189781212,1.210425431412209e-7,-0.3209891781732238,2.4357986852147316e-6
IQGAP2,Unclassified,7.675393701481337,ENSG00000145703.16,-1.156861487031763,-1.1015611278613873,-0.7124781817330204,-0.3999830015135524,0.670331440558702,0.5896356104629227,0.7620710693655773,3.6361464557693185e-7,0.09696431767590025,0,-0.4215947319631435,5.6703649549873154e-11,-0.42505363015577285,3.3736175997176924e-11
CEL,Metabolism,7.575238598124603,ENSG00000170835.16,-3.732476262995022,-1.7100922201386168,-2.789428564312235,0.3172344056123373,1.3733244491575127,1.2187889578614246,1.547454159712058,9.734896119954547e-6,0.06819104471635173,0,0.2958984346545666,2.3501101281944128e-6,0.25797671709942965,4.442771956826139e-6
