ID,Description,term_size,overlap,gene_ratio,background_ratio,pvalue,p.adjust,genes
GO:0051301,cell division,400,53,0.04453781512605042,0.01690117040605062,1.2022380659232466e-10,2.3479709427481008e-7,1018;10309;10403;10460;1058;1062;1063;10636;10783;10982;11004;11065;11200;113130;117583;146909;147841;220134;22974;23397;257364;259266;332;3833;50624;51203;5347;54443;54821;55143;55165;55743;57405;595;64151;699;701;80346;83461;83540;83872;890;899;90293;9055;9133;9134;9212;9232;9735;991;9928;995
GO:0007094,mitotic spindle assembly checkpoint signaling,29,13,0.010924369747899159,0.0012253348544386698,3.931696245169544e-10,3.83930138340806e-7,10403;1063;147841;332;5347;57405;699;701;7272;83540;9319;9735;991
GO:0006954,inflammatory response,397,47,0.03949579831932773,0.01677441162800524,4.890911992190091e-8,3.18398370691575e-5,101;10318;1051;10551;122618;1241;1393;1401;1435;1524;177;22861;27040;2829;2867;2919;2920;3373;3588;4069;5004;50507;53832;5587;56477;5731;5733;6356;6367;6374;6556;6614;7098;7130;719;727;729230;7412;837;84695;84807;84868;8809;90139;9447;948;960
GO:0000070,mitotic sister chromatid segregation,36,12,0.010084033613445379,0.0015211053365445557,1.0055333966684196e-7,4.5951741167620646e-5,10403;11004;146909;220134;2491;3833;3834;51203;5347;55143;81930;9735
GO:0007052,mitotic spindle organization,58,15,0.012605042016806723,0.0024506697088773396,1.1764398660425151e-7,4.5951741167620646e-5,10403;10460;1062;10783;24137;284403;332;3611;5347;57405;6905;7272;83540;9212;9787
GO:0000902,cell morphogenesis,54,14,0.011764705882352941,0.0022816580048168338,2.9992929580414576e-7,9.574384026501663e-5,1003;1004;1008;101;1012;10129;1016;26999;3611;50507;57619;60437;64403;999
GO:0045766,positive regulation of angiogenesis,137,23,0.019327731092436976,0.005788650864072337,3.431678862545399e-7,9.574384026501663e-5,10016;1003;146850;187;2113;2321;27329;3162;3373;3728;3791;4914;51129;5587;6356;7010;7098;719;7291;8038;8829;8877;9037
GO:0006869,lipid transport,187,27,0.0226890756302521,0.007901297164828664,7.839258924808543e-7,1.9137590850188855e-4,1071;10877;11001;114880;154664;2171;23250;24;26154;2760;29015;5104;5243;54762;55187;55937;57048;57476;57655;5825;653509;80830;81575;83985;9376;948;9619
GO:0007059,chromosome segregation,104,19,0.015966386554621848,0.004394304305573161,9.418034728431273e-7,0.00020437135360695861,10403;1062;1063;10636;10783;11004;147841;220134;2491;332;55355;57405;699;7272;79019;83540;9232;9787;9985
GO:0007043,cell-cell junction assembly,38,11,0.009243697478991597,0.0016056111885748088,1.7008289496577575e-6,3.1439029835421184e-4,1003;1004;1008;1012;1016;2701;60437;64403;6624;83660;999
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,25,9,0.007563025210084034,0.0010563231503781638,1.9591988506173977e-6,3.1439029835421184e-4,10437;1510;3111;3113;3115;3117;3120;3122;567
GO:0002503,peptide antigen assembly with MHC class II protein complex,14,7,0.0058823529411764705,5.915409642117716e-4,2.0061922158574377e-6,3.1439029835421184e-4,3111;3113;3115;3117;3120;3122;567
GO:0009410,response to xenobiotic stimulus,185,26,0.021848739495798318,0.00781679131279841,2.092715759654252e-6,3.1439029835421184e-4,10451;1063;116085;1277;18;1906;2026;210;268;3033;3158;3485;3934;4192;4914;51083;5243;5825;595;6531;6569;79897;8321;8412;847;999
GO:0060326,cell chemotaxis,81,16,0.013445378151260505,0.0034224870072252504,2.3065722952625155e-6,3.217668351891209e-4,10551;1235;1524;2826;2829;2919;2920;3219;5330;56477;6356;6367;727;729230;7412;9037
GO:0006631,fatty acid metabolic process,199,27,0.0226890756302521,0.008408332277010183,2.669728927812231e-6,3.4759870640115243e-4,11001;1573;1576;1579;27329;30;3033;3248;34;36;38;3995;5095;51084;51179;5264;5465;54677;54898;55301;5743;6296;79966;84129;8864;948;9663
GO:0016477,cell migration,252,31,0.026050420168067228,0.01064773735581189,4.108815402079021e-6,5.015322800162704e-4,1003;1004;1008;1012;1016;10451;1289;136242;161198;2321;23616;283;3728;3791;3897;4192;5175;5420;55616;5753;59277;60437;634;64403;6624;7049;727;752;79585;960;999
GO:0098609,cell-cell adhesion,208,27,0.0226890756302521,0.008788608611146323,6.211127196563061e-6,7.135489067580975e-4,1003;1004;1008;1012;1014;1016;1956;2196;22918;23767;26999;3728;3956;4345;5175;5314;57722;60437;634;64403;655;6614;7412;83660;9543;960;999
GO:0006094,gluconeogenesis,36,10,0.008403361344537815,0.0015211053365445557,7.622580390493848e-6,7.835210264544465e-4,10891;2026;2203;229;2805;5091;5105;5106;5207;8864
GO:0050870,positive regulation of T cell activation,36,10,0.008403361344537815,0.0015211053365445557,7.622580390493848e-6,7.835210264544465e-4,2494;283234;3111;3113;3115;3117;3120;3122;567;729230
GO:0016339,calcium-dependent cell-cell adhesion,44,11,0.009243697478991597,0.0018591287446655682,8.210963114997938e-6,8.018005481795487e-4,1003;1004;1008;1012;1016;22871;5098;51294;60437;64403;999
GO:0019882,antigen processing and presentation,38,10,0.008403361344537815,0.0016056111885748088,1.2932685341668135e-5,0.001148069748739903,1512;3111;3113;3115;3117;3120;3122;3133;5865;9363
GO:0044331,cell-cell adhesion mediated by cadherin,38,10,0.008403361344537815,0.0016056111885748088,1.2932685341668135e-5,0.001148069748739903,1003;1004;1008;1012;1016;1951;2196;60437;64403;999
GO:0006935,chemotaxis,147,21,0.01764705882352941,0.006211180124223602,1.5099910752168528e-5,0.0012671773548042803,10928;1235;123920;1524;2321;2826;2829;2919;2920;3897;5168;5328;5329;56477;6036;6356;6367;6374;719;727;729230
GO:0007051,spindle organization,18,7,0.0058823529411764705,7.605526682722779e-4,1.5572071948439698e-5,0.0012671773548042803,10403;1062;10636;1107;259266;7272;9212
