symbol,readout_threshold,patients_total,multiregion_patients,primary_regions,discordant_multiregion_patients,discordant_multiregion_percent,median_within_patient_log2_tpm_range,max_within_patient_log2_tpm_range,tcga_log_hr
DBT,3.0404144962947113,73,58,186,30,51.724137931034484,0.48601602453785286,1.43024531538607,-0.4166457711143031
FHOD1,3.5652238924287603,73,58,186,30,51.724137931034484,0.711698817662135,2.6231973841674834,0.41652762820698513
RBM47,5.634699149325155,73,58,186,30,51.724137931034484,0.5358353419994888,2.826619177414231,-0.4090358003875217
CLCN5,4.582624931161577,73,58,186,28,48.275862068965516,0.8924866128871671,3.4153399879305173,-0.4179705520742072
FUT6,3.2290287637088637,73,58,186,28,48.275862068965516,1.2783033662912477,4.449609601208185,-0.4058860669942024
GJB1,3.586098274878929,73,58,186,28,48.275862068965516,0.9274515912524717,4.4371603047503,-0.4224650121316321
IQGAP2,4.8608236923882835,73,58,186,28,48.275862068965516,0.6359654957650713,3.794588344117986,-0.4156362728911144
LRBA,5.281661014152436,73,58,186,28,48.275862068965516,0.5639760618865646,1.6935447839818716,-0.4531098301322976
TEK,3.8596660050074165,73,58,186,28,48.275862068965516,1.0723287024302772,4.4651559380129155,-0.4058770649337851
GRAMD1A,4.4234717114083395,73,58,186,27,46.55172413793103,0.49747895964077515,2.479487349961283,0.43806916847653543
PANK1,3.01845752559307,73,58,186,27,46.55172413793103,0.9992612767723461,3.778638518299925,-0.4768214482591282
TCIRG1,4.838108097954742,73,58,186,27,46.55172413793103,0.6823224077243897,2.9608193032187367,0.4294557278534527
TNFAIP2,5.433735751640993,73,58,186,27,46.55172413793103,0.7301147312453884,2.7662054644117315,0.4305901648197023
CYFIP2,5.324829816952492,73,58,186,26,44.827586206896555,0.7596049444982311,4.182855557286798,-0.44123008987349144
DDC,5.617792689594398,73,58,186,26,44.827586206896555,1.6239775723207233,7.706105692076335,-0.4168067446963606
LTB4R,2.381687895867016,73,58,186,26,44.827586206896555,0.6042718180045277,2.3314206357397884,0.4178160043117369
C1QTNF6,3.0964265637939996,73,58,186,25,43.10344827586207,0.6748917770731122,3.035802863669011,0.4485051545354674
HIBCH,4.94259701345127,73,58,186,25,43.10344827586207,0.6658141753202318,2.4360875681343677,-0.4145921448859503
KL,4.984101690136846,73,58,186,25,43.10344827586207,0.9730164084041966,4.973743453256651,-0.4133638758779611
ACAT1,6.790419578503468,73,58,186,24,41.37931034482759,0.7455974302089299,2.84421115459347,-0.4087572707425221
CRYL1,6.9239580498568705,73,58,186,24,41.37931034482759,0.6323198323954853,2.5251380039132503,-0.4532002843034422
IFFO1,3.666148071184082,73,58,186,23,39.6551724137931,0.5199797689187551,2.264833766791105,0.4205016741985371
CADPS2,4.0819872824854695,73,58,186,22,37.93103448275862,0.4919100888943375,1.8131701247750627,-0.4246365505457781
EMCN,4.1623171694793495,73,58,186,22,37.93103448275862,1.1766520275645957,5.008365913873916,-0.40596911923027346
HHLA2,4.69374284370792,73,58,186,22,37.93103448275862,1.2559560274649018,6.759504537438204,-0.46871237804694216
PODXL,6.230187069631654,73,58,186,21,36.206896551724135,1.1296079056337445,4.1575425973439835,-0.40933662500657014
ACADM,5.634847842773319,73,58,186,19,32.758620689655174,0.7153968265978792,3.0048853365448958,-0.44954477780770535
