scenario,repeat_id,n,events,symbol,tcga_log_hr,log_hr,hr,p_value,same_tcga_direction
full_cohort,1,73,16,CYFIP2,-0.4403276873957715,-0.23424769261320535,0.7911658256930785,0.3229535044308041,TRUE
full_cohort,1,73,16,CRYL1,-0.4562451822719112,-0.34013322854870676,0.7116755009521218,0.1335935831966527,TRUE
full_cohort,1,73,16,HHLA2,-0.46651200190082415,-0.6241438634098402,0.5357198816344874,0.012255516869112727,TRUE
full_cohort,1,73,16,DDC,-0.4170476451847731,-0.27850011436451017,0.7569181811853241,0.22836687664737312,TRUE
full_cohort,1,73,16,KL,-0.4143562134600067,0.017262611035287354,1.0174124709879324,0.9474093546256062,FALSE
full_cohort,1,73,16,RBM47,-0.406043543125073,-0.3914920551013556,0.6760474216016065,0.16245543899213066,TRUE
full_cohort,1,73,16,PANK1,-0.4732407037257613,0.1341981782102168,1.1436194376418516,0.6230872269607052,FALSE
full_cohort,1,73,16,GJB1,-0.4272749730657404,-0.29100078656224887,0.7475150900507095,0.2083994960056591,TRUE
full_cohort,1,73,16,ACADM,-0.4484141243283115,-0.9029614407264729,0.40536740886810174,0.0016354649329406396,TRUE
full_cohort,1,73,16,CLCN5,-0.4176541545204886,-0.02621337097172986,0.974127216961672,0.9168870860778926,TRUE
full_cohort,1,73,16,TMEM140,-0.4073424327415841,-0.24910586826860268,0.779497444971328,0.28847440108912464,TRUE
full_cohort,1,73,16,C1QTNF6,0.43509983532112984,0.5697593453993468,1.7678415610327889,0.03989964807132712,TRUE
full_cohort,1,73,16,CADPS2,-0.41010601450174866,-0.5402468755806359,0.5826044038178988,0.01628862458594044,TRUE
full_cohort,1,73,16,KNTC1,0.41317926152804135,0.42754933027722897,1.5334948255274392,0.07653729226137679,TRUE
full_cohort,1,73,16,PODXL,-0.41295393620776416,-0.5170460703504535,0.596279316204051,0.02429098863269675,TRUE
full_cohort,1,73,16,HIBCH,-0.4099623749107515,-0.7508516763607745,0.4719644205819588,0.014420910611679374,TRUE
full_cohort,1,73,16,TNIP1,-0.414945866298316,0.0687663782138452,1.0711859275441702,0.8151548194178994,FALSE
full_cohort,1,73,16,TCIRG1,0.4257531411377312,0.6779143582812679,1.969765220588108,0.022035133075018608,TRUE
full_cohort,1,73,16,LTB4R,0.4152348937982004,0.34677238515259035,1.4144947287243697,0.20293111472718944,TRUE
full_cohort,1,73,16,LRBA,-0.42337150345977026,-0.4569546001080554,0.6332090870343299,0.07907817726164514,TRUE
full_cohort,1,73,16,GRAMD1A,0.4057580580941821,0.5918469029041378,1.807323285483959,0.032078625049181166,TRUE
full_cohort,1,73,16,IFFO1,0.4086497996244981,0.38137659429266846,1.4642989482135935,0.13397775141809354,TRUE
full_cohort,1,73,16,TNFAIP2,0.42728551519013547,0.26953561963466804,1.3093562701875254,0.3271687757867877,TRUE
size_matched_39,1,39,9,CYFIP2,-0.4403276873957715,-0.08843291810675573,0.9153645130610272,0.7714485612585359,TRUE
size_matched_39,1,39,9,CRYL1,-0.4562451822719112,-0.46536019276145446,0.6279088962133996,0.15249508216001084,TRUE
size_matched_39,1,39,9,HHLA2,-0.46651200190082415,-1.179371711206318,0.30747185905048535,0.004788929098651194,TRUE
size_matched_39,1,39,9,DDC,-0.4170476451847731,-0.19762040939009515,0.8206813169413588,0.5563595049131178,TRUE
size_matched_39,1,39,9,KL,-0.4143562134600067,0.27085846733989866,1.3110894952685315,0.4633700973475484,FALSE
size_matched_39,1,39,9,RBM47,-0.406043543125073,-0.5019764182165926,0.6053330853116197,0.17450361018094795,TRUE
size_matched_39,1,39,9,PANK1,-0.4732407037257613,-0.14852736485256504,0.8619764189901364,0.6745998151349558,TRUE
size_matched_39,1,39,9,GJB1,-0.4272749730657404,-0.5253795654417746,0.5913308730008825,0.11091698055644887,TRUE
size_matched_39,1,39,9,ACADM,-0.4484141243283115,-1.1072739384888812,0.3304585847322107,0.006830264133599278,TRUE
size_matched_39,1,39,9,CLCN5,-0.4176541545204886,0.05796796051974088,1.05968104353651,0.8624145804388768,FALSE
size_matched_39,1,39,9,TMEM140,-0.4073424327415841,-0.49324072654742507,0.6106442530885189,0.11165331890957622,TRUE
size_matched_39,1,39,9,C1QTNF6,0.43509983532112984,0.4542379603005216,1.574972733872123,0.23872012792131106,TRUE
size_matched_39,1,39,9,CADPS2,-0.41010601450174866,-0.48983933031700483,0.6127248325807854,0.08675720773212382,TRUE
size_matched_39,1,39,9,KNTC1,0.41317926152804135,0.500939116882503,1.6502703399446754,0.1504219709597764,TRUE
size_matched_39,1,39,9,PODXL,-0.41295393620776416,-0.7525295204046817,0.47117320184638806,0.007225071414552527,TRUE
size_matched_39,1,39,9,HIBCH,-0.4099623749107515,-0.4045908489113542,0.667249760981851,0.2648295567585002,TRUE
size_matched_39,1,39,9,TNIP1,-0.414945866298316,-0.1328320168258729,0.8756121678665615,0.7119701009388499,TRUE
size_matched_39,1,39,9,TCIRG1,0.4257531411377312,0.9547239100962917,2.597953215242057,0.05517977309856798,TRUE
size_matched_39,1,39,9,LTB4R,0.4152348937982004,0.24440993391181182,1.2768676545704865,0.5688151121043902,TRUE
size_matched_39,1,39,9,LRBA,-0.42337150345977026,-0.4771559697780069,0.6205457353645818,0.22592304260403703,TRUE
size_matched_39,1,39,9,GRAMD1A,0.4057580580941821,0.5775208786669069,1.781616108776032,0.1627217692151289,TRUE
size_matched_39,1,39,9,IFFO1,0.4086497996244981,0.06750377731090884,1.0698343006870445,0.862730077939289,TRUE
size_matched_39,1,39,9,TNFAIP2,0.42728551519013547,-0.06579711399934245,0.9363208114069208,0.8664563620712732,FALSE
full_cohort,2,73,16,CYFIP2,-0.4403276873957715,-0.30823413455775217,0.7347432690781875,0.17843417795293054,TRUE
full_cohort,2,73,16,CRYL1,-0.4562451822719112,-0.46410182862265004,0.6286995316001099,0.04604476393198182,TRUE
full_cohort,2,73,16,HHLA2,-0.46651200190082415,-0.45595997919790565,0.6338392033442736,0.0760594118089398,TRUE
full_cohort,2,73,16,DDC,-0.4170476451847731,-0.2013796476831036,0.8176019719306056,0.4165452755711993,TRUE
full_cohort,2,73,16,KL,-0.4143562134600067,-0.15200630757390649,0.8589828626261455,0.5415814355198414,TRUE
full_cohort,2,73,16,RBM47,-0.406043543125073,-0.45187081556888953,0.636436382086652,0.10720233466237608,TRUE
full_cohort,2,73,16,PANK1,-0.4732407037257613,-0.004755033525155932,0.9952562537492139,0.9858767882820514,TRUE
