scenario,symbol,tcga_log_hr,successful_repeats,n,events,median_log_hr,log_hr_ci_low,log_hr_ci_high,log_hr_sd,same_tcga_direction_fraction,nominal_p_lt_0_05_fraction,patient_median_log_hr,patient_median_hr,patient_median_p_value
full_cohort,ACADM,-0.4484141243283115,1000,73,16,-0.7667332306016251,-1.175679515069048,-0.4660645257962069,0.17457251361570195,1,0.943,-0.8777873990442611,0.4157016768038603,4.636648465345258e-4
full_cohort,C1QTNF6,0.43509983532112984,1000,73,16,0.41012289238517097,0.1541206886701877,0.7006914038065957,0.138807512044155,1,0.203,0.47390463711874053,1.606253802732866,0.06302623592368108
full_cohort,CADPS2,-0.41010601450174866,1000,73,16,-0.41556244812722193,-0.6249469587546748,-0.214326802577069,0.10668068884864924,1,0.414,-0.4547891880642231,0.6345817312514561,0.035654605429475864
full_cohort,HHLA2,-0.46651200190082415,1000,73,16,-0.5868308365357644,-0.800232642834363,-0.366468919669642,0.11409159102160389,1,0.788,-0.6718655507813033,0.5107548493404805,0.010426442728086583
full_cohort,KNTC1,0.41317926152804135,1000,73,16,0.48881727555218657,0.2602485866706721,0.7023507519291251,0.11653251773294501,1,0.532,0.5172255545177693,1.6773674234463876,0.03391307737592904
full_cohort,PODXL,-0.41295393620776416,1000,73,16,-0.45021440082701975,-0.7036043884576859,-0.23648157925537278,0.11901752131714671,1,0.519,-0.466034647060053,0.6274855431414181,0.04302718477807594
full_cohort,TCIRG1,0.4257531411377312,1000,73,16,0.6072854207512388,0.2454447025408407,0.8915928162358988,0.1657228053697058,1,0.606,0.7755562267595255,2.1717998044486664,0.005493771663056814
full_cohort,GRAMD1A,0.4057580580941821,1000,73,16,0.5796831824809712,0.22771145943976517,0.8419549884809736,0.1608375280992515,0.998,0.592,0.7096438112174847,2.0332669027880605,0.007317544528592812
full_cohort,HIBCH,-0.4099623749107515,1000,73,16,-0.6494644739825275,-1.0580913347168932,-0.22928383098836297,0.21320912297300243,0.997,0.613,-0.8283859715949603,0.4367536505346687,0.006777069248399987
full_cohort,LRBA,-0.42337150345977026,1000,73,16,-0.4210396481762364,-0.7241617064130288,-0.10485288914190183,0.15691354970811774,0.996,0.28,-0.5742907414635344,0.563104113605822,0.033335329231028166
full_cohort,TMEM140,-0.4073424327415841,1000,73,16,-0.29029656828407224,-0.4945419671042224,-0.06889413779851519,0.10973483100934912,0.996,0.046,-0.3017509475285243,0.7395222217932628,0.1824880076146434
full_cohort,CRYL1,-0.4562451822719112,1000,73,16,-0.3486610682727278,-0.5483467438142209,-0.0953284731699308,0.11514631817679592,0.995,0.186,-0.3991397216994401,0.6708969559416309,0.06067132515224212
full_cohort,IFFO1,0.4086497996244981,1000,73,16,0.28514144361371935,0.043138183096272334,0.4728226678073779,0.10950268221452389,0.99,0.027,0.35497550595252925,1.4261457217726532,0.13695837657564577
full_cohort,RBM47,-0.406043543125073,1000,73,16,-0.32584971204756685,-0.6232529025756417,-0.03246369838502389,0.1472571183034269,0.989,0.092,-0.35621342131056327,0.7003231404022864,0.18566282120397373
full_cohort,CYFIP2,-0.4403276873957715,1000,73,16,-0.24478376748079006,-0.5168272089724539,-0.01763793315412168,0.12336622751809505,0.981,0.026,-0.2578453319835794,0.7727147371205375,0.29300111775322757
full_cohort,DDC,-0.4170476451847731,1000,73,16,-0.24748499164240378,-0.5089279512224496,-0.018486469591794355,0.1320247477018311,0.98,0.057,-0.30139144362825715,0.7397881307111143,0.21227277319099894
full_cohort,TNFAIP2,0.42728551519013547,1000,73,16,0.2886466178548023,-0.011390970867731364,0.5612924475333015,0.1425095389656249,0.972,0.056,0.32779368574577644,1.3879025986593698,0.21240359590191227
full_cohort,GJB1,-0.4272749730657404,1000,73,16,-0.24221257026425125,-0.5449454396859537,0.07053068165537896,0.15353340301083096,0.941,0.069,-0.3623731800312634,0.6960225776432437,0.15033343617143421
