gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
ENSG00000000003.15,5711.33022165978,-1.029749338011593,0.07885394944615749,-13.05894435528203,5.650589396551157e-39,5.285176549065408e-38,TRUE
ENSG00000000005.6,244.63395662436258,-1.5963132398625317,0.2731571656042178,-5.8439369010566535,5.098134547704146e-9,1.130197176672562e-8,TRUE
ENSG00000000419.13,1556.5745113788996,-0.08389940871487238,0.04571722347614471,-1.8351816303685016,0.06647878200738046,0.08195088988002949,FALSE
ENSG00000000457.14,746.407729456961,-0.36476313795378335,0.042618099087217705,-8.558878639971661,1.1397061150010888e-17,4.162985067867392e-17,FALSE
ENSG00000000460.17,176.3054928089721,0.5761148822744194,0.06462781126737883,8.91434927125895,4.906892947967366e-19,1.9188279674773013e-18,FALSE
ENSG00000000938.13,796.190225784754,1.4423837875068888,0.11221456268096343,12.853802154072655,8.188445300336639e-38,7.26727986560185e-37,TRUE
ENSG00000000971.16,4836.210443598977,0.4063482440726684,0.16738161669424084,2.427675464593895,0.015195934240878553,0.020270527031350596,FALSE
ENSG00000001036.14,3424.1262495716296,0.1765052074071541,0.06461389877624654,2.731691025461556,0.0063010201498597896,0.008736952335195248,FALSE
ENSG00000001084.13,2032.8305275765201,0.20999917618365277,0.08856165230491587,2.3712201694321386,0.017729466320591875,0.023460257160964955,FALSE
ENSG00000001167.14,1531.581380323081,-0.053236189725381966,0.0499085464175474,-1.0666748191781559,0.2861187017084386,0.320548836591064,FALSE
ENSG00000001460.18,799.3772647678879,-0.5927511928971169,0.062477375762918244,-9.487453428684633,2.367471004442319e-21,1.0320472402598851e-20,FALSE
ENSG00000001461.17,5155.139971205224,-0.46048906564526654,0.09115130869479686,-5.051919410034235,4.373922555816036e-7,8.517741294607421e-7,FALSE
ENSG00000001497.18,2521.9317180021144,0.30302298499210956,0.06025250811989737,5.02921777777482,4.924847891602189e-7,9.553694562776474e-7,FALSE
ENSG00000001561.7,3665.720003313693,-0.4036618333566264,0.08519782200015213,-4.737936063153183,2.1590590448096367e-6,4.015020650931146e-6,FALSE
ENSG00000001617.12,5424.806437975969,1.2132295185296955,0.10070817791183194,12.046981125920622,2.011840455484186e-33,1.504746422868994e-32,TRUE
ENSG00000001626.16,677.1879972584775,-2.4844010468589874,0.23734720900065642,-10.46736996537472,1.2198509610060586e-25,6.5058717920323125e-25,TRUE
ENSG00000001629.10,5346.911421827156,0.09323701245069367,0.07353346959096142,1.2679533954991586,0.20481459412345032,0.23538769000120094,FALSE
ENSG00000001630.17,139.52349192297413,-1.0727584646876536,0.12886954735230233,-8.324375205221733,8.477468792156451e-17,2.9710818682112365e-16,TRUE
ENSG00000001631.16,323.95663431024144,0.32935470714882287,0.05558907613334308,5.924809873774309,3.1265891397037986e-9,7.036033674511175e-9,FALSE
ENSG00000002016.18,437.5085102904501,0.03526590285127947,0.05552753829668879,0.6351065423223065,0.5253589304348938,0.5612737698763889,FALSE
ENSG00000002079.14,7.474556597778308,0.1731103352888217,0.19527304470323265,0.8865040003442725,0.3753459994689674,0.4120198611677109,FALSE
ENSG00000002330.14,573.5165156854919,0.24436411484929538,0.12130465020049636,2.01446617623811,0.04396061257719425,0.0554090191133125,FALSE
ENSG00000002549.12,8298.902499717586,0.08853369970746862,0.09472710422945742,0.9346184540067168,0.34998496523868144,0.38636924890376423,FALSE
ENSG00000002586.20,7772.694484255548,1.2122661537439008,0.09218974380326463,13.149685677952519,1.708833223752266e-39,1.6327051085708854e-38,TRUE
ENSG00000002587.10,1178.367721431945,-0.7710632958919279,0.15074757912375056,-5.114929873991227,3.1385753637119127e-7,6.182785863812523e-7,FALSE
ENSG00000002726.21,20305.75650683955,-0.9259072611441509,0.23456334877424656,-3.9473654600458583,7.901589468673755e-5,1.3021747896308986e-4,FALSE
ENSG00000002745.13,6.113460082414453,-1.130604779157042,0.2162130087068855,-5.229124676257451,1.703144848206924e-7,3.4125397692513043e-7,TRUE
ENSG00000002746.15,691.3494384355022,-3.2151951619778805,0.3040266353023368,-10.5753733016864,3.8763070989037527e-26,2.124874638110637e-25,TRUE
ENSG00000002822.15,24.026426811595737,1.155433200604596,0.12990406120530065,8.894511764174538,5.867669416094292e-19,2.287029745047579e-18,TRUE
ENSG00000002834.18,14475.86201785476,0.36778434267378474,0.055012747580286125,6.685438536532588,2.3023413804142864e-11,5.915663029205648e-11,FALSE
ENSG00000002919.15,1694.4059853992353,-0.24204249911315595,0.04647853900005341,-5.207618490608705,1.9127969210539938e-7,3.8209284837639535e-7,FALSE
ENSG00000002933.9,24187.05228539678,1.3676232345196848,0.13370773342099432,10.22845275683168,1.4786280708998045e-24,7.476728628620891e-24,TRUE
ENSG00000003056.8,4946.288622238722,0.209946075998904,0.06118492019836033,3.43133692612923,6.00614120503659e-4,9.215441057408755e-4,FALSE
ENSG00000003096.14,2119.374636510498,-2.0546154730115407,0.109933285798347,-18.689657623627898,6.00974259743806e-78,2.419406052129903e-76,TRUE
ENSG00000003137.8,1034.725300708386,-1.6407864305885551,0.15537692281931662,-10.560039424236628,4.564700734752851e-26,2.4938852794747285e-25,TRUE
ENSG00000003147.19,922.1407225062628,-1.2950979813666248,0.09243370306858241,-14.011101344773667,1.3332127918706215e-44,1.5867775135942438e-43,TRUE
ENSG00000003249.15,1255.2453106417386,-0.09144765881089892,0.13812501162974106,-0.6620644424344679,0.5079299227164054,0.5443842233898316,FALSE
ENSG00000003393.15,2073.7614662144088,-0.17099976890908639,0.04641537268993117,-3.6841192690925255,2.2949477125494571e-4,3.641900675173852e-4,FALSE
ENSG00000003400.15,1757.4232205341161,0.18071761633735453,0.06197018433237176,2.9162026591383223,0.003543202703922953,0.00503935835808394,FALSE
ENSG00000003402.20,10114.954731031337,0.2984840748796449,0.06079496712281645,4.909683959145087,9.122328995467829e-7,1.7384962064661203e-6,FALSE
ENSG00000003436.16,10850.346924013103,1.0715316529822854,0.14833448556174061,7.223752783612051,5.057215859752597e-13,1.4303854225382696e-12,TRUE
ENSG00000003509.16,730.6436209841451,0.016066738574952694,0.06099900846389412,0.2633934383451945,0.7922473475490813,0.813539770123067,FALSE
ENSG00000003756.17,2128.9555610474026,-0.21627726321176768,0.056048735482197964,-3.8587358189456573,1.139750588071538e-4,1.857161366089211e-4,FALSE
ENSG00000003987.14,122.5681820052622,-0.5456729112590474,0.11680081213929833,-4.671824632591338,2.985357995580042e-6,5.492857508295544e-6,FALSE
ENSG00000003989.18,3654.4783133519923,-0.039032100620518276,0.15027952494985325,-0.2597299973735137,0.795072051949852,0.8160589150740862,FALSE
ENSG00000004059.11,4130.339239512337,0.16323044421321342,0.06843375734823687,2.385232822780538,0.017068315412362464,0.022621948534803045,FALSE
ENSG00000004139.14,424.6173056202836,0.15068975781661895,0.0680940683143434,2.2129645290245863,0.026900091218582774,0.034842225494544694,FALSE
ENSG00000004142.12,9073.156929783188,-0.5107592781647137,0.06308676780296545,-8.09613958603701,5.673072441117362e-16,1.9010341712927222e-15,FALSE
ENSG00000004399.13,10762.177532530977,1.510811569871199,0.09885467083516825,15.283158166500284,9.902318868485982e-53,1.6311751911079862e-51,TRUE
ENSG00000004455.17,9818.66838393377,-0.2676318573450316,0.056353670488016795,-4.749146861728227,2.042765626248437e-6,3.805302546927219e-6,FALSE
